,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-370017.448201,-778500.0,1456604.7,0.0,0.0,,
Tax Rate For Calcs,0.317339,0.15,0.15,0.0,0.0,,
Normalized EBITDA,21329000.0,13990000.0,3364158.0,-6274405.0,-5729000.0,,
Total Unusual Items,-1166000.0,-5190000.0,9710698.0,246118.0,-216000.0,,
Total Unusual Items Excluding Goodwill,-1166000.0,-5190000.0,9710698.0,246118.0,-216000.0,,
Net Income From Continuing Operation Net Minority Interest,10642000.0,983000.0,9530452.0,-6760515.0,-6776000.0,,
Reconciled Depreciation,3573000.0,3532000.0,2064402.0,225598.0,226000.0,,
Reconciled Cost Of Revenue,32484000.0,38214000.0,24283402.0,225538.0,0.0,,
EBITDA,20163000.0,8800000.0,13074856.0,-6028287.0,-5945000.0,,
EBIT,16590000.0,5268000.0,11010454.0,-6253885.0,-6171000.0,,
Net Interest Income,-94000.0,-522000.0,-423940.0,-366309.0,-479000.0,,
Interest Expense,1001000.0,861000.0,744002.0,506630.0,605000.0,,
Interest Income,907000.0,339000.0,320062.0,140321.0,126000.0,,
Normalized Income,11437982.551799,5394500.0,1276358.7,-7006633.0,-6560000.0,,
Net Income From Continuing And Discontinued Operation,10642000.0,983000.0,9530452.0,-6760515.0,-6776000.0,,
Total Expenses,43465000.0,46873000.0,29284932.0,6759633.0,6105000.0,,
Total Operating Income As Reported,18905000.0,10950000.0,2009750.0,-6496057.0,-6116000.0,,
Diluted Average Shares,190128000.0,188284963.0,,88459000.0,88459000.0,73134556.0,
Basic Average Shares,168930000.0,168710837.0,,88459000.0,88459000.0,73134556.0,
Diluted EPS,0.06,0.01,,-0.08,-0.07,-0.08,
Basic EPS,0.06,0.01,,-0.08,-0.07,-0.08,
Diluted NI Availto Com Stockholders,10642000.0,983000.0,9530452.0,-6760515.0,-6776000.0,,
Net Income Common Stockholders,10642000.0,983000.0,9530452.0,-6760515.0,-6776000.0,,
Net Income,10642000.0,983000.0,9530452.0,-6760515.0,-6776000.0,,
Net Income Including Noncontrolling Interests,10642000.0,983000.0,9530452.0,-6760515.0,-6776000.0,,
Net Income Continuous Operations,10642000.0,983000.0,9530452.0,-6760515.0,-6776000.0,,
Tax Provision,4947000.0,3424000.0,,,0.0,0.0,
Pretax Income,15589000.0,4407000.0,10266452.0,-6760515.0,-6776000.0,,
Other Income Expense,-1924000.0,-5223000.0,9625324.0,365427.0,-192000.0,,
Other Non Operating Income Expenses,-758000.0,-33000.0,-85374.0,119309.0,24000.0,,
Special Income Charges,,-2131000.0,11832168.0,59005.0,-11743.0,62000.0,
Gain On Sale Of Ppe,,-36000.0,168.0,59005.0,-11743.0,62000.0,
Other Special Charges,,,,,,,97887.0
Restructuring And Mergern Acquisition,,2095000.0,,,,0.0,
Gain On Sale Of Security,-1166000.0,-3059000.0,-2121470.0,187113.0,-216000.0,,
Net Non Operating Interest Income Expense,-94000.0,-522000.0,-423940.0,-366309.0,-479000.0,,
Interest Expense Non Operating,1001000.0,861000.0,744002.0,506630.0,605000.0,,
Interest Income Non Operating,907000.0,339000.0,320062.0,140321.0,126000.0,,
Operating Income,17607000.0,10152000.0,1065068.0,-6759633.0,-6105000.0,,
Operating Expense,7603000.0,5332000.0,5001530.0,6534095.0,6105000.0,,
Other Operating Expenses,4936000.0,3102000.0,3626801.0,4244740.0,4281000.0,,
Depreciation Amortization Depletion Income Statement,195000.0,205000.0,,,226000.0,241000.0,
Depreciation And Amortization In Income Statement,195000.0,205000.0,,,226000.0,241000.0,
Depreciation Income Statement,195000.0,205000.0,,,226000.0,241000.0,
Research And Development,,,,134770.0,100848.0,142851.0,98206.0
Selling General And Administration,2472000.0,2025000.0,855198.0,2154585.0,1598000.0,,
Selling And Marketing Expense,,129000.0,,,,143000.0,
General And Administrative Expense,2472000.0,1896000.0,339198.0,2154585.0,1598000.0,,
Other Gand A,1862000.0,676000.0,-576356.0,1160153.0,1149000.0,,
Salaries And Wages,610000.0,1220000.0,915554.0,994432.0,449000.0,,
Gross Profit,25210000.0,15484000.0,6066598.0,-225538.0,0.0,,
Cost Of Revenue,35862000.0,41541000.0,24283402.0,225538.0,0.0,,
Total Revenue,61072000.0,57025000.0,30350000.0,0.0,0.0,,
Operating Revenue,61072000.0,57025000.0,30350000.0,0.0,0.0,,
