,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,1749500.275786,-5673.821745,-76216610.0,-165329.158181,118614.075988,,
Tax Rate For Calcs,0.09294,0.101318,0.17,0.113162,0.055195,,
Normalized EBITDA,46595000.0,51594000.0,65942000.0,57483000.0,47328000.0,,
Total Unusual Items,18824000.0,-56000.0,-448333000.0,-1461000.0,2149000.0,,
Total Unusual Items Excluding Goodwill,18824000.0,-56000.0,-448333000.0,-1461000.0,2149000.0,,
Net Income From Continuing Operation Net Minority Interest,60825000.0,45402000.0,-304145000.0,60557000.0,52066000.0,,
Reconciled Cost Of Revenue,322515000.0,315736000.0,345663000.0,350536000.0,366189000.0,,
EBITDA,65419000.0,51538000.0,-382391000.0,56022000.0,49477000.0,,
EBIT,65419000.0,51538000.0,-382391000.0,56022000.0,49477000.0,,
Net Interest Income,40648000.0,39281000.0,38548000.0,40532000.0,44838000.0,,
Interest Expense,151000.0,106000.0,312000.0,535000.0,1864000.0,,
Interest Income,40799000.0,39387000.0,38860000.0,41067000.0,46702000.0,,
Normalized Income,43750500.275786,45452326.178255,67971390.0,61852670.841819,50035614.075988,,
Net Income From Continuing And Discontinued Operation,60825000.0,1921323000.0,-304145000.0,60557000.0,52066000.0,,
Total Expenses,501964000.0,482144000.0,522364000.0,542238000.0,564502000.0,,
Total Operating Income As Reported,5796000.0,12207000.0,-427853000.0,16416000.0,2269000.0,,
Diluted Average Shares,53353026.0,53780111.0,2686893.0,57220581.0,64101951.0,,
Basic Average Shares,52788040.0,53237127.0,2686893.0,56573411.0,59537049.0,,
Diluted EPS,1.13,0.84,-113.4,1.05,0.83,,
Basic EPS,1.15,0.84,-113.4,1.06,0.87,,
Diluted NI Availto Com Stockholders,60478000.0,1920976000.0,-304492000.0,60210000.0,51719000.0,,
Net Income Common Stockholders,60478000.0,1920976000.0,-304492000.0,60210000.0,51719000.0,,
Preferred Stock Dividends,347000.0,347000.0,347000.0,347000.0,347000.0,,
Net Income,60825000.0,1921323000.0,-304145000.0,60557000.0,52066000.0,,
Minority Interests,2799000.0,2499000.0,82392000.0,4603000.0,4276000.0,,
Net Income Including Noncontrolling Interests,58026000.0,1918824000.0,-386537000.0,55954000.0,47790000.0,,
Net Income Discontinuous Operations,0.0,1875921000.0,,,0.0,0.0,
Net Income Continuous Operations,58026000.0,42903000.0,-386537000.0,55954000.0,47790000.0,,
Earnings From Equity Interest Net Of Tax,-1176000.0,-3318000.0,-3793000.0,6746000.0,2805000.0,,
Tax Provision,6066000.0,5211000.0,41000.0,6279000.0,2628000.0,,
Pretax Income,65268000.0,51432000.0,-382703000.0,55487000.0,47613000.0,,
Other Income Expense,18824000.0,-56000.0,-448333000.0,-1461000.0,2149000.0,,
Special Income Charges,0.0,0.0,-454935000.0,0.0,1643000.0,,
Gain On Sale Of Business,0.0,,0.0,0.0,1643000.0,,0.0
Impairment Of Capital Assets,,0.0,,,,0.0,
Gain On Sale Of Security,18824000.0,-56000.0,6602000.0,-1461000.0,506000.0,,
Net Non Operating Interest Income Expense,40648000.0,39281000.0,38548000.0,40532000.0,44838000.0,,
Interest Expense Non Operating,151000.0,106000.0,312000.0,535000.0,1864000.0,,
Interest Income Non Operating,40799000.0,39387000.0,38860000.0,41067000.0,46702000.0,,
Operating Income,5796000.0,12207000.0,27082000.0,16416000.0,626000.0,,
Operating Expense,179449000.0,166408000.0,176701000.0,191702000.0,198313000.0,,
Other Operating Expenses,-400000.0,-839000.0,-1839000.0,-255000.0,-361000.0,,
Research And Development,60075000.0,62426000.0,67485000.0,72360000.0,69856000.0,,
Selling General And Administration,119774000.0,104821000.0,111055000.0,119597000.0,128818000.0,,
Selling And Marketing Expense,71852000.0,72131000.0,67040000.0,83524000.0,88132000.0,,
General And Administrative Expense,47922000.0,32690000.0,44015000.0,36073000.0,40686000.0,,
Other Gand A,47922000.0,32690000.0,44015000.0,36073000.0,40686000.0,,
Gross Profit,185245000.0,178615000.0,203783000.0,208118000.0,198939000.0,,
Cost Of Revenue,322515000.0,315736000.0,345663000.0,350536000.0,366189000.0,,
Total Revenue,507760000.0,494351000.0,549446000.0,558654000.0,565128000.0,,
Operating Revenue,375409000.0,371348000.0,422418000.0,439482000.0,459730000.0,,
