,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.137,0.21,0.005187,0.142351,
Normalized EBITDA,1727993.0,2020420.0,-12006.0,-2118156.0,1348844.0,
Net Income From Continuing Operation Net Minority Interest,-5806.0,655288.0,-1345216.0,-3088758.0,220713.0,
Reconciled Depreciation,907026.0,746845.0,762767.0,815920.0,843168.0,
Reconciled Cost Of Revenue,30001947.0,33182244.0,36295845.0,20073952.0,23057845.0,
EBITDA,1727993.0,2020420.0,-12006.0,-2118156.0,1348844.0,
EBIT,820967.0,1273575.0,-774773.0,-2934076.0,505676.0,
Net Interest Income,-364939.0,-503149.0,-480203.0,-220440.0,-234971.0,
Interest Expense,364939.0,503149.0,480203.0,220440.0,234971.0,
Normalized Income,-5806.0,655288.0,-1345216.0,-3088758.0,220713.0,
Net Income From Continuing And Discontinued Operation,-5806.0,655288.0,-1345216.0,-3088758.0,220713.0,
Total Expenses,34677010.0,39105718.0,41764524.0,24595023.0,27144322.0,
Total Operating Income As Reported,707727.0,1134409.0,-828808.0,-3020569.0,375799.0,
Diluted Average Shares,12294840.0,12460241.0,12294840.0,,12294840.0,12294840.0
Basic Average Shares,12294840.0,12294840.0,12294840.0,,12294840.0,12294840.0
Diluted EPS,0.0,0.05,-0.11,,0.02,0.03
Basic EPS,0.0,0.05,-0.11,,0.02,0.03
Diluted NI Availto Com Stockholders,-5806.0,655288.0,-1345216.0,-3088758.0,220713.0,
Net Income Common Stockholders,-5806.0,655288.0,-1345216.0,-3088758.0,220713.0,
Net Income,-5806.0,655288.0,-1345216.0,-3088758.0,220713.0,
Minority Interests,-12120.0,-9261.0,21481.0,49397.0,-11457.0,
Net Income Including Noncontrolling Interests,6314.0,664549.0,-1366697.0,-3138155.0,232170.0,
Net Income Continuous Operations,6314.0,664549.0,-1366697.0,-3138155.0,232170.0,
Tax Provision,449714.0,105877.0,111721.0,-16361.0,38535.0,
Pretax Income,456028.0,770426.0,-1254976.0,-3154516.0,270705.0,
Other Income Expense,113240.0,139166.0,54035.0,86493.0,129877.0,
Other Non Operating Income Expenses,113240.0,139166.0,54035.0,86493.0,129877.0,
Net Non Operating Interest Income Expense,-364939.0,-503149.0,-480203.0,-220440.0,-234971.0,
Interest Expense Non Operating,364939.0,503149.0,480203.0,220440.0,234971.0,
Operating Income,707727.0,1134409.0,-828808.0,-3020569.0,375799.0,
Operating Expense,4675063.0,5923474.0,5468679.0,4521071.0,4086477.0,
Selling General And Administration,4675063.0,5923474.0,5468679.0,4521071.0,4086477.0,
General And Administrative Expense,4675063.0,5923474.0,5468679.0,4521071.0,4086477.0,
Other Gand A,4200975.0,5449386.0,4999744.0,4262721.0,3843029.0,
Salaries And Wages,474088.0,474088.0,468935.0,258350.0,243448.0,
Gross Profit,5382790.0,7057883.0,4639871.0,1500502.0,4462276.0,
Cost Of Revenue,30001947.0,33182244.0,36295845.0,20073952.0,23057845.0,
Total Revenue,35384737.0,40240127.0,40935716.0,21574454.0,27520121.0,
Operating Revenue,35384737.0,40240127.0,40935716.0,21574454.0,27520121.0,
