,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.215213,0.212,0.21,0.188,0.185075,,
Total Unusual Items,,0.0,,,,-29000000.0,
Total Unusual Items Excluding Goodwill,,0.0,,,,-29000000.0,
Net Income From Continuing Operation Net Minority Interest,423000000.0,406000000.0,-244000000.0,-411000000.0,273000000.0,,
Reconciled Depreciation,8000000.0,3000000.0,5000000.0,19000000.0,25000000.0,,
Net Interest Income,1141000000.0,1096000000.0,1051000000.0,952000000.0,887000000.0,,
Interest Expense,966000000.0,974000000.0,1081000000.0,1223000000.0,1201000000.0,,
Interest Income,2107000000.0,2070000000.0,2132000000.0,2175000000.0,2088000000.0,,
Normalized Income,423000000.0,406000000.0,-244000000.0,-411000000.0,273000000.0,,
Net Income From Continuing And Discontinued Operation,425000000.0,405000000.0,-244000000.0,-410000000.0,274000000.0,,
Rent Expense Supplemental,10000000.0,11000000.0,15000000.0,14000000.0,17000000.0,,
Diluted Average Shares,1107210000.0,1106140000.0,986829000.0,957929000.0,938487000.0,,
Basic Average Shares,1100033000.0,1096654000.0,986829000.0,948979000.0,931726000.0,,
Diluted EPS,0.35,0.33,-0.28,-0.47,0.25,,
Basic EPS,0.35,0.34,-0.28,-0.47,0.25,,
Diluted NI Availto Com Stockholders,389000000.0,369000000.0,-279000000.0,-446000000.0,238000000.0,,
Net Income Common Stockholders,389000000.0,369000000.0,-279000000.0,-446000000.0,238000000.0,,
Preferred Stock Dividends,36000000.0,36000000.0,35000000.0,36000000.0,36000000.0,,
Net Income,425000000.0,405000000.0,-244000000.0,-410000000.0,274000000.0,,
Minority Interests,,,,,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,425000000.0,405000000.0,-244000000.0,-410000000.0,274000000.0,,
Net Income Discontinuous Operations,2000000.0,-1000000.0,0.0,1000000.0,1000000.0,,
Net Income Continuous Operations,423000000.0,406000000.0,-244000000.0,-411000000.0,273000000.0,,
Tax Provision,116000000.0,109000000.0,-169000000.0,-95000000.0,62000000.0,,
Pretax Income,539000000.0,515000000.0,-413000000.0,-506000000.0,335000000.0,,
Special Income Charges,,0.0,,,,-29000000.0,
Other Special Charges,,,,,,29000000.0,
Gain On Sale Of Security,0.0,0.0,-908000000.0,-935000000.0,-10000000.0,,
Selling General And Administration,739000000.0,712000000.0,780000000.0,705000000.0,674000000.0,,
Selling And Marketing Expense,24000000.0,21000000.0,33000000.0,21000000.0,21000000.0,,
General And Administrative Expense,715000000.0,691000000.0,747000000.0,684000000.0,653000000.0,,
Rent And Landing Fees,10000000.0,11000000.0,15000000.0,14000000.0,17000000.0,,
Salaries And Wages,705000000.0,680000000.0,732000000.0,670000000.0,636000000.0,,
Total Revenue,1783000000.0,1724000000.0,793000000.0,642000000.0,1477000000.0,,
Operating Revenue,1783000000.0,1724000000.0,793000000.0,642000000.0,1477000000.0,,
Occupancy And Equipment,90000000.0,87000000.0,87000000.0,86000000.0,86000000.0,,
Other Non Interest Expense,277000000.0,292000000.0,330000000.0,262000000.0,282000000.0,,
