,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,-38860.907018,-21247.939407,-52215.662157,618010.0,-16278.822816,
Tax Rate For Calcs,0.021282,0.014034,0.03034,0.23,0.022148,
Normalized EBITDA,9182000.0,9377000.0,7556000.0,5500000.0,7614000.0,
Total Unusual Items,-1826000.0,-1514000.0,-1721000.0,2687000.0,-735000.0,
Total Unusual Items Excluding Goodwill,-1826000.0,-1514000.0,-1721000.0,2687000.0,-735000.0,
Net Income From Continuing Operation Net Minority Interest,3863000.0,4426000.0,2365000.0,5058000.0,3223000.0,
Reconciled Depreciation,3242000.0,3229000.0,3237000.0,3208000.0,3179000.0,
Reconciled Cost Of Revenue,24506000.0,23521000.0,20985000.0,22020000.0,23131000.0,
EBITDA,7356000.0,7863000.0,5835000.0,8187000.0,6879000.0,
EBIT,4114000.0,4634000.0,2598000.0,4979000.0,3700000.0,
Net Interest Income,479000.0,363000.0,121000.0,541000.0,-337000.0,
Interest Expense,167000.0,145000.0,159000.0,-45000.0,404000.0,
Interest Income,646000.0,508000.0,280000.0,496000.0,67000.0,
Normalized Income,5650139.092982,5918752.060593,4033784.337843,2989010.0,3941721.177184,
Net Income From Continuing And Discontinued Operation,3863000.0,4426000.0,2365000.0,5058000.0,3223000.0,
Total Expenses,36446000.0,36832000.0,33697000.0,33656000.0,33566000.0,
Total Operating Income As Reported,5294000.0,5640000.0,4039000.0,2776000.0,4368000.0,
Diluted Average Shares,55185714.0,55325000.0,59125000.0,,53716667.0,45300000.0
Basic Average Shares,55185714.0,55325000.0,59125000.0,,46042857.0,45300000.0
Diluted EPS,0.07,0.08,0.04,,0.06,0.04
Basic EPS,0.07,0.08,0.04,,0.07,0.04
Diluted NI Availto Com Stockholders,3863000.0,4426000.0,2365000.0,5058000.0,3223000.0,
Net Income Common Stockholders,3863000.0,4426000.0,2365000.0,5058000.0,3223000.0,
Net Income,3863000.0,4426000.0,2365000.0,5058000.0,3223000.0,
Net Income Including Noncontrolling Interests,3863000.0,4426000.0,2365000.0,5058000.0,3223000.0,
Net Income Continuous Operations,3863000.0,4426000.0,2365000.0,5058000.0,3223000.0,
Tax Provision,84000.0,63000.0,74000.0,-34000.0,73000.0,
Pretax Income,3947000.0,4489000.0,2439000.0,5024000.0,3296000.0,
Other Income Expense,-1826000.0,-1514000.0,-1721000.0,1707000.0,-735000.0,
Special Income Charges,-1766000.0,-1705000.0,-1845000.0,,-1288000.0,-309000.0
Restructuring And Mergern Acquisition,1766000.0,1705000.0,1845000.0,,1288000.0,309000.0
Gain On Sale Of Security,-60000.0,191000.0,124000.0,-671000.0,553000.0,
Net Non Operating Interest Income Expense,479000.0,363000.0,121000.0,541000.0,-337000.0,
Total Other Finance Cost,,,1845000.0,,1288000.0,309000.0
Interest Expense Non Operating,167000.0,145000.0,159000.0,-45000.0,404000.0,
Interest Income Non Operating,646000.0,508000.0,280000.0,496000.0,67000.0,
Operating Income,5294000.0,5640000.0,4039000.0,2776000.0,4368000.0,
Operating Expense,11940000.0,13311000.0,12712000.0,11636000.0,10435000.0,
Other Operating Expenses,11000.0,,,-1000.0,-157000.0,98000.0
Research And Development,3414000.0,4803000.0,4295000.0,3239000.0,3180000.0,
Selling General And Administration,8515000.0,8508000.0,8417000.0,5273000.0,7412000.0,
Selling And Marketing Expense,4501000.0,4730000.0,4631000.0,-2377000.0,3711000.0,
General And Administrative Expense,4014000.0,3778000.0,3786000.0,7650000.0,3701000.0,
Other Gand A,4014000.0,3778000.0,3786000.0,-3877000.0,3701000.0,
Gross Profit,17234000.0,18951000.0,16751000.0,14412000.0,14803000.0,
Cost Of Revenue,24506000.0,23521000.0,20985000.0,22020000.0,23131000.0,
Total Revenue,41740000.0,42472000.0,37736000.0,36432000.0,37934000.0,
Operating Revenue,41740000.0,42472000.0,37736000.0,36432000.0,37934000.0,
