,2025-05-31,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.257,0.241022,0.246,0.253,0.262,
Normalized EBITDA,587484000.0,414013000.0,460458000.0,471285000.0,489546000.0,
Net Income From Continuing Operation Net Minority Interest,210381000.0,89866000.0,125441000.0,132809000.0,152440000.0,
Reconciled Depreciation,79784000.0,77469000.0,75368000.0,72720000.0,69244000.0,
Reconciled Cost Of Revenue,6643173000.0,5327105000.0,5539164000.0,6248543000.0,6318327000.0,
EBITDA,587484000.0,414013000.0,460458000.0,471285000.0,489546000.0,
EBIT,507700000.0,336544000.0,385090000.0,398565000.0,420302000.0,
Net Interest Income,240630000.0,227060000.0,230382000.0,224479000.0,219638000.0,
Interest Expense,224570000.0,218140000.0,218618000.0,220721000.0,213662000.0,
Interest Income,485400000.0,467700000.0,469200000.0,464500000.0,452500000.0,
Normalized Income,210381000.0,89866000.0,125441000.0,132809000.0,152440000.0,
Net Income From Continuing And Discontinued Operation,210381000.0,89866000.0,125441000.0,132809000.0,152440000.0,
Total Expenses,7504257000.0,6102674000.0,6281932000.0,7063463000.0,7125971000.0,
Rent Expense Supplemental,68900000.0,66500000.0,73500000.0,74700000.0,70600000.0,
Diluted Average Shares,152607000.0,,155265000.0,156526000.0,157706000.0,158228000.0
Basic Average Shares,152137000.0,,154582000.0,155866000.0,157161000.0,157821000.0
Diluted EPS,1.38,,0.81,0.85,0.97,0.32
Basic EPS,1.38,,0.81,0.85,0.97,0.32
Diluted NI Availto Com Stockholders,210381000.0,89866000.0,125441000.0,132809000.0,152440000.0,
Net Income Common Stockholders,210381000.0,89866000.0,125441000.0,132809000.0,152440000.0,
Net Income,210381000.0,89866000.0,125441000.0,132809000.0,152440000.0,
Net Income Including Noncontrolling Interests,210381000.0,89866000.0,125441000.0,132809000.0,152440000.0,
Net Income Continuous Operations,210381000.0,89866000.0,125441000.0,132809000.0,152440000.0,
Tax Provision,72749000.0,28538000.0,41031000.0,45035000.0,54200000.0,
Pretax Income,283130000.0,118404000.0,166472000.0,177844000.0,206640000.0,
Other Income Expense,309000.0,-9119000.0,-5370000.0,3281000.0,-416000.0,
Other Non Operating Income Expenses,309000.0,-9119000.0,-5370000.0,3281000.0,-416000.0,
Net Non Operating Interest Income Expense,240630000.0,227060000.0,230382000.0,224479000.0,219638000.0,
Total Other Finance Cost,20200000.0,22500000.0,20200000.0,19300000.0,19200000.0,
Interest Expense Non Operating,224570000.0,218140000.0,218618000.0,220721000.0,213662000.0,
Interest Income Non Operating,485400000.0,467700000.0,469200000.0,464500000.0,452500000.0,
Operating Income,42284000.0,-99551000.0,-58561000.0,-49934000.0,-12574000.0,
Operating Expense,851339000.0,767444000.0,736207000.0,810401000.0,804469000.0,
Other Operating Expenses,101700000.0,68300000.0,72600000.0,112600000.0,81200000.0,
Provision For Doubtful Accounts,,68300000.0,72600000.0,112600000.0,81200000.0,71500000.0
Depreciation Amortization Depletion Income Statement,70039000.0,69344000.0,68807000.0,68201000.0,66069000.0,
Depreciation And Amortization In Income Statement,70039000.0,69344000.0,68807000.0,68201000.0,66069000.0,
Selling General And Administration,679600000.0,629800000.0,594800000.0,629600000.0,657200000.0,
Selling And Marketing Expense,67900000.0,72100000.0,53800000.0,63000000.0,71700000.0,
General And Administrative Expense,611700000.0,557700000.0,541000000.0,566600000.0,585500000.0,
Other Gand A,128200000.0,117900000.0,114400000.0,119500000.0,121100000.0,
Rent And Landing Fees,68900000.0,66500000.0,73500000.0,74700000.0,70600000.0,
Salaries And Wages,414600000.0,373300000.0,353100000.0,372400000.0,393800000.0,
Gross Profit,893623000.0,667893000.0,677646000.0,760467000.0,791895000.0,
Cost Of Revenue,6652918000.0,5335230000.0,5545725000.0,6253062000.0,6321502000.0,
Total Revenue,7546541000.0,6003123000.0,6223371000.0,7013529000.0,7113397000.0,
Operating Revenue,7356178000.0,5844153000.0,6057497000.0,6831546000.0,6933915000.0,
