,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,-2134045.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.262178,0.265,0.134765,0.248248,0.259904,
Normalized EBITDA,118127000.0,110859000.0,45827000.0,85160000.0,122643000.0,
Total Unusual Items,0.0,-8053000.0,,,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,-8053000.0,,,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,57635000.0,49438000.0,9547000.0,35612000.0,61163000.0,
Reconciled Depreciation,30323000.0,29542000.0,29693000.0,31272000.0,32039000.0,
Reconciled Cost Of Revenue,837229000.0,793841000.0,633732000.0,695539000.0,788099000.0,
EBITDA,118127000.0,102806000.0,45827000.0,85160000.0,122643000.0,
EBIT,87804000.0,73264000.0,16134000.0,53888000.0,90604000.0,
Net Interest Income,-9689000.0,-5991000.0,-5100000.0,-6516000.0,-7962000.0,
Interest Expense,9689000.0,5991000.0,5100000.0,6516000.0,7962000.0,
Normalized Income,57635000.0,55356955.0,9547000.0,35612000.0,61163000.0,
Net Income From Continuing And Discontinued Operation,57635000.0,49438000.0,9547000.0,35612000.0,61163000.0,
Total Expenses,1019446000.0,964273000.0,787004000.0,861609000.0,963940000.0,
Total Operating Income As Reported,87804000.0,81317000.0,16134000.0,53888000.0,90604000.0,
Diluted Average Shares,25157000.0,25426000.0,25599000.0,25558000.0,25504000.0,
Basic Average Shares,25157000.0,25426000.0,25481000.0,25480000.0,25473000.0,
Diluted EPS,2.29,1.94,0.37,1.39,2.4,
Basic EPS,2.29,1.94,0.37,1.4,2.4,
Diluted NI Availto Com Stockholders,57635000.0,49438000.0,9547000.0,35612000.0,61163000.0,
Net Income Common Stockholders,57635000.0,49438000.0,9547000.0,35612000.0,61163000.0,
Net Income,57635000.0,49438000.0,9547000.0,35612000.0,61163000.0,
Net Income Including Noncontrolling Interests,57635000.0,49438000.0,9547000.0,35612000.0,61163000.0,
Net Income Continuous Operations,57635000.0,49438000.0,9547000.0,35612000.0,61163000.0,
Tax Provision,20480000.0,17835000.0,1487000.0,11760000.0,21479000.0,
Pretax Income,78115000.0,67273000.0,11034000.0,47372000.0,82642000.0,
Other Income Expense,,-8053000.0,,,,
Special Income Charges,0.0,-8053000.0,,,0.0,0.0
Other Special Charges,,8053000.0,,,,
Net Non Operating Interest Income Expense,-9689000.0,-5991000.0,-5100000.0,-6516000.0,-7962000.0,
Interest Expense Non Operating,9689000.0,5991000.0,5100000.0,6516000.0,7962000.0,
Operating Income,87804000.0,81317000.0,16134000.0,53888000.0,90604000.0,
Operating Expense,182217000.0,170432000.0,153272000.0,166070000.0,175841000.0,
Selling General And Administration,182217000.0,170432000.0,153272000.0,166070000.0,175841000.0,
Gross Profit,270021000.0,251749000.0,169406000.0,219958000.0,266445000.0,
Cost Of Revenue,837229000.0,793841000.0,633732000.0,695539000.0,788099000.0,
Total Revenue,1107250000.0,1045590000.0,803138000.0,915497000.0,1054544000.0,
Operating Revenue,1107250000.0,1045590000.0,803138000.0,915497000.0,1054544000.0,
