,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-23098530.0,-11794020.0,0.0,0.0,2559270.0,,
Tax Rate For Calcs,0.21,0.21,0.351189,0.21,0.21,,
Normalized EBITDA,-3729000.0,-32708000.0,52459000.0,-109910000.0,-19304000.0,,
Total Unusual Items,-109993000.0,-56162000.0,,,12187000.0,49505000.0,-10265000.0
Total Unusual Items Excluding Goodwill,-109993000.0,-56162000.0,,,12187000.0,49505000.0,-10265000.0
Net Income From Continuing Operation Net Minority Interest,-125380000.0,-100916000.0,26284000.0,-125321000.0,-18196000.0,,
Reconciled Depreciation,5854000.0,5199000.0,6796000.0,5472000.0,5369000.0,,
Reconciled Cost Of Revenue,97991000.0,71344000.0,73922000.0,55469000.0,50451000.0,,
EBITDA,-113722000.0,-88870000.0,52459000.0,-109910000.0,-7117000.0,,
EBIT,-119576000.0,-94069000.0,45663000.0,-115382000.0,-12486000.0,,
Net Interest Income,5211000.0,6995000.0,8502000.0,11127000.0,11565000.0,,
Interest Expense,5222000.0,5061000.0,5152000.0,5504000.0,5484000.0,,
Interest Income,10433000.0,12056000.0,13654000.0,16631000.0,17049000.0,,
Normalized Income,-38485530.0,-56548020.0,26284000.0,-125321000.0,-27823730.0,,
Net Income From Continuing And Discontinued Operation,-125380000.0,-100916000.0,26284000.0,-125321000.0,-18196000.0,,
Total Expenses,276939000.0,245700000.0,260917000.0,230255000.0,228493000.0,,
Diluted Average Shares,184135562.0,183762928.0,201403496.0,,182602077.0,182005214.0,
Basic Average Shares,184135562.0,183762928.0,183324276.0,,182602077.0,182005214.0,
Diluted EPS,-0.68,-0.54,0.14,,-0.1,-0.32,
Basic EPS,-0.68,-0.54,0.14,,-0.1,-0.32,
Diluted NI Availto Com Stockholders,-125380000.0,-100916000.0,26284000.0,-125321000.0,-18196000.0,,
Net Income Common Stockholders,-125380000.0,-100916000.0,26284000.0,-125321000.0,-18196000.0,,
Net Income,-125380000.0,-100916000.0,26284000.0,-125321000.0,-18196000.0,,
Net Income Including Noncontrolling Interests,-125380000.0,-100916000.0,26284000.0,-125321000.0,-18196000.0,,
Net Income Continuous Operations,-125380000.0,-100916000.0,26284000.0,-125321000.0,-18196000.0,,
Tax Provision,582000.0,1786000.0,14227000.0,4435000.0,226000.0,,
Pretax Income,-124798000.0,-99130000.0,40511000.0,-120886000.0,-17970000.0,,
Other Income Expense,-108128000.0,-55478000.0,106404000.0,-61963000.0,12435000.0,,
Other Non Operating Income Expenses,1865000.0,684000.0,1481000.0,-1058000.0,248000.0,,
Special Income Charges,0.0,-970000.0,,,0.0,0.0,
Impairment Of Capital Assets,0.0,970000.0,,,0.0,0.0,
Gain On Sale Of Security,-109993000.0,-55192000.0,,,12187000.0,49505000.0,-10265000.0
Net Non Operating Interest Income Expense,5211000.0,6995000.0,8502000.0,11127000.0,11565000.0,,
Interest Expense Non Operating,5222000.0,5061000.0,5152000.0,5504000.0,5484000.0,,
Interest Income Non Operating,10433000.0,12056000.0,13654000.0,16631000.0,17049000.0,,
Operating Income,-21881000.0,-50647000.0,-74395000.0,-70050000.0,-41970000.0,,
Operating Expense,178948000.0,174356000.0,186995000.0,174786000.0,178042000.0,,
Other Operating Expenses,,,-563000.0,-306000.0,-420000.0,-616000.0,-1203000.0
Research And Development,98302000.0,101924000.0,104432000.0,95522000.0,112626000.0,,
Selling General And Administration,80646000.0,72432000.0,83126000.0,79570000.0,65416000.0,,
Selling And Marketing Expense,48052000.0,40969000.0,48925000.0,44270000.0,30063000.0,,
General And Administrative Expense,32594000.0,31463000.0,34201000.0,35300000.0,35353000.0,,
Other Gand A,32594000.0,31463000.0,34201000.0,35300000.0,35353000.0,,
Gross Profit,157067000.0,123709000.0,112600000.0,104736000.0,136072000.0,,
Cost Of Revenue,97991000.0,71344000.0,73922000.0,55469000.0,50451000.0,,
Total Revenue,255058000.0,195053000.0,186522000.0,160205000.0,186523000.0,,
Operating Revenue,255055000.0,194963000.0,186298000.0,159924000.0,184100000.0,,
