,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.202,0.197,0.21,0.237481
Normalized EBITDA,76890000.0,-40108000.0,-31463000.0,35078000.0,105942000.0
Net Income From Continuing Operation Net Minority Interest,21730000.0,-51320000.0,-44564000.0,-9923000.0,60650000.0
Reconciled Depreciation,8572000.0,8271000.0,8237000.0,8658000.0,8247000.0
Reconciled Cost Of Revenue,302457000.0,133188000.0,127511000.0,254645000.0,340798000.0
EBITDA,76890000.0,-40108000.0,-31463000.0,35078000.0,105942000.0
EBIT,68318000.0,-48379000.0,-39700000.0,26420000.0,97695000.0
Net Interest Income,-15764000.0,-15897000.0,-15763000.0,-17015000.0,-18156000.0
Interest Expense,15764000.0,15897000.0,15763000.0,17015000.0,18156000.0
Normalized Income,21730000.0,-51320000.0,-44564000.0,-9923000.0,60650000.0
Net Income From Continuing And Discontinued Operation,21730000.0,-51320000.0,-44564000.0,-9923000.0,60650000.0
Total Expenses,432029000.0,225513000.0,214928000.0,371439000.0,471943000.0
Total Operating Income As Reported,68318000.0,-48379000.0,-39700000.0,26420000.0,97695000.0
Diluted Average Shares,185490000.0,185256000.0,185022000.0,184936000.0,184861000.0
Basic Average Shares,185490000.0,185256000.0,185022000.0,184936000.0,184834000.0
Diluted EPS,0.12,-0.28,-0.24,-0.05,0.33
Basic EPS,0.12,-0.28,-0.24,-0.05,0.33
Diluted NI Availto Com Stockholders,21730000.0,-51320000.0,-44564000.0,-9923000.0,60650000.0
Net Income Common Stockholders,21730000.0,-51320000.0,-44564000.0,-9923000.0,60650000.0
Net Income,21730000.0,-51320000.0,-44564000.0,-9923000.0,60650000.0
Net Income Including Noncontrolling Interests,21730000.0,-51320000.0,-44564000.0,-9923000.0,60650000.0
Net Income Continuous Operations,21730000.0,-51320000.0,-44564000.0,-9923000.0,60650000.0
Tax Provision,30824000.0,-12956000.0,-10899000.0,19328000.0,18889000.0
Pretax Income,52554000.0,-64276000.0,-55463000.0,9405000.0,79539000.0
Net Non Operating Interest Income Expense,-15764000.0,-15897000.0,-15763000.0,-17015000.0,-18156000.0
Interest Expense Non Operating,15764000.0,15897000.0,15763000.0,17015000.0,18156000.0
Operating Income,68318000.0,-48379000.0,-39700000.0,26420000.0,97695000.0
Operating Expense,129572000.0,92325000.0,87417000.0,116794000.0,131145000.0
Selling General And Administration,129572000.0,92325000.0,87417000.0,116794000.0,131145000.0
Gross Profit,197890000.0,43946000.0,47717000.0,143214000.0,228840000.0
Cost Of Revenue,302457000.0,133188000.0,127511000.0,254645000.0,340798000.0
Total Revenue,500347000.0,177134000.0,175228000.0,397859000.0,569638000.0
Operating Revenue,500347000.0,177134000.0,175228000.0,397859000.0,569638000.0
