,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,
Normalized EBITDA,-12068000.0,-9974000.0,-7034000.0,-17817000.0,-15514000.0,
Total Unusual Items,1921000.0,1096000.0,-4180000.0,-36915000.0,1766000.0,
Total Unusual Items Excluding Goodwill,1921000.0,1096000.0,-4180000.0,-36915000.0,1766000.0,
Net Income From Continuing Operation Net Minority Interest,-34327000.0,-25267000.0,-24050000.0,-65554000.0,-24258000.0,
Reconciled Depreciation,5868000.0,3889000.0,3228000.0,2953000.0,3405000.0,
Reconciled Cost Of Revenue,8829000.0,8092000.0,7597000.0,6186000.0,6405000.0,
EBITDA,-10147000.0,-8878000.0,-11214000.0,-54732000.0,-13748000.0,
EBIT,-16015000.0,-12767000.0,-14442000.0,-57685000.0,-17153000.0,
Net Interest Income,-18312000.0,-12500000.0,-9608000.0,-7869000.0,-7105000.0,
Interest Expense,18312000.0,12500000.0,9608000.0,7869000.0,7105000.0,
Normalized Income,-36248000.0,-26363000.0,-19870000.0,-28639000.0,-26024000.0,
Net Income From Continuing And Discontinued Operation,-34327000.0,-25267000.0,-24050000.0,-65554000.0,-24258000.0,
Total Expenses,28273000.0,23307000.0,18682000.0,27637000.0,25812000.0,
Total Operating Income As Reported,-18031000.0,-13864000.0,-10299000.0,-59252000.0,-19002000.0,
Diluted Average Shares,8568970.0,8411226.0,8325944.0,8092866.0,8019561.0,
Basic Average Shares,8568970.0,8411226.0,8325944.0,8092866.0,8019561.0,
Diluted EPS,-4.01,-3.0,-2.89,-8.1,-3.02,
Basic EPS,-4.01,-3.0,-2.89,-8.1,-3.02,
Diluted NI Availto Com Stockholders,-34327000.0,-25267000.0,-24050000.0,-65554000.0,-24258000.0,
Net Income Common Stockholders,-34327000.0,-25267000.0,-24050000.0,-65554000.0,-24258000.0,
Net Income,-34327000.0,-25267000.0,-24050000.0,-65554000.0,-24258000.0,
Net Income Including Noncontrolling Interests,-34327000.0,-25267000.0,-24050000.0,-65554000.0,-24258000.0,
Net Income Continuous Operations,-34327000.0,-25267000.0,-24050000.0,-65554000.0,-24258000.0,
Pretax Income,-34327000.0,-25267000.0,-24050000.0,-65554000.0,-24258000.0,
Other Income Expense,2016000.0,1097000.0,-4143000.0,-36914000.0,1849000.0,
Other Non Operating Income Expenses,95000.0,1000.0,37000.0,1000.0,83000.0,
Gain On Sale Of Security,1921000.0,1096000.0,-4180000.0,1566000.0,1766000.0,
Net Non Operating Interest Income Expense,-18312000.0,-12500000.0,-9608000.0,-7869000.0,-7105000.0,
Interest Expense Non Operating,18312000.0,12500000.0,9608000.0,7869000.0,7105000.0,
Operating Income,-18031000.0,-13864000.0,-10299000.0,-20771000.0,-19002000.0,
Operating Expense,19444000.0,15215000.0,11085000.0,21451000.0,19407000.0,
Research And Development,7096000.0,4519000.0,3487000.0,3983000.0,5001000.0,
Selling General And Administration,12348000.0,10696000.0,7598000.0,17468000.0,14406000.0,
General And Administrative Expense,,,,,,16704000.0
Other Gand A,,,,,,12854000.0
Salaries And Wages,,,,,,3850000.0
Gross Profit,1413000.0,1351000.0,786000.0,680000.0,405000.0,
Cost Of Revenue,8829000.0,8092000.0,7597000.0,6186000.0,6405000.0,
Total Revenue,10242000.0,9443000.0,8383000.0,6866000.0,6810000.0,
Operating Revenue,10242000.0,9443000.0,8383000.0,6866000.0,6810000.0,
