,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,,
Normalized EBITDA,-4211000.0,-26678000.0,-7261000.0,-11720000.0,-10257000.0,,
Total Unusual Items,0.0,0.0,-4051000.0,-435000.0,-513000.0,,
Total Unusual Items Excluding Goodwill,0.0,0.0,-4051000.0,-435000.0,-513000.0,,
Net Income From Continuing Operation Net Minority Interest,-4439000.0,-26908000.0,-11541000.0,-12371000.0,-11005000.0,,
Reconciled Depreciation,222000.0,221000.0,222000.0,215000.0,229000.0,,
Reconciled Cost Of Revenue,1446000.0,1435000.0,2029000.0,1574000.0,1490000.0,,
EBITDA,-4211000.0,-26678000.0,-11312000.0,-12155000.0,-10770000.0,,
EBIT,-4433000.0,-26899000.0,-11534000.0,-12370000.0,-10999000.0,,
Net Interest Income,104000.0,57000.0,59000.0,80000.0,101000.0,,
Interest Expense,6000.0,9000.0,7000.0,1000.0,6000.0,,
Interest Income,110000.0,66000.0,66000.0,81000.0,107000.0,,
Normalized Income,-4439000.0,-26908000.0,-7490000.0,-11936000.0,-10492000.0,,
Net Income From Continuing And Discontinued Operation,-4439000.0,-26908000.0,-11541000.0,-12371000.0,-11005000.0,,
Total Expenses,12547000.0,13315000.0,13572000.0,12866000.0,12168000.0,,
Total Operating Income As Reported,-11384000.0,-12487000.0,-12375000.0,-11694000.0,-11192000.0,,
Diluted Average Shares,98989161.0,68796392.0,57705000.0,50374146.0,48212040.0,,
Basic Average Shares,98989161.0,68796392.0,57705000.0,50374146.0,48212040.0,,
Diluted EPS,-0.08,-0.52,-0.2,-0.25,-0.23,,
Basic EPS,-0.08,-0.52,-0.2,-0.25,-0.23,,
Diluted NI Availto Com Stockholders,-7888000.0,-36018000.0,-11541000.0,-12371000.0,-11005000.0,,
Net Income Common Stockholders,-7888000.0,-36018000.0,-11541000.0,-12371000.0,-11005000.0,,
Preferred Stock Dividends,3449000.0,9110000.0,0.0,,,7496000.0,
Net Income,-4439000.0,-26908000.0,-11541000.0,-12371000.0,-11005000.0,,
Net Income Including Noncontrolling Interests,-4439000.0,-26908000.0,-11541000.0,-12371000.0,-11005000.0,,
Net Income Continuous Operations,-4439000.0,-26908000.0,-11541000.0,-12371000.0,-11005000.0,,
Tax Provision,0.0,0.0,0.0,0.0,0.0,,
Pretax Income,-4439000.0,-26908000.0,-11541000.0,-12371000.0,-11005000.0,,
Other Income Expense,6841000.0,-14478000.0,775000.0,-757000.0,86000.0,,
Other Non Operating Income Expenses,6841000.0,-14478000.0,4826000.0,-322000.0,599000.0,,
Special Income Charges,0.0,0.0,-4051000.0,-435000.0,-513000.0,,
Other Special Charges,,,4051000.0,435000.0,513000.0,167000.0,0.0
Gain On Sale Of Security,,-14478000.0,,-322000.0,599000.0,291000.0,
Net Non Operating Interest Income Expense,104000.0,57000.0,59000.0,80000.0,101000.0,,
Interest Expense Non Operating,6000.0,9000.0,7000.0,1000.0,6000.0,,
Interest Income Non Operating,110000.0,66000.0,66000.0,81000.0,107000.0,,
Operating Income,-11384000.0,-12487000.0,-12375000.0,-11694000.0,-11192000.0,,
Operating Expense,10984000.0,11764000.0,11427000.0,11182000.0,10554000.0,,
Depreciation Amortization Depletion Income Statement,105000.0,105000.0,106000.0,105000.0,105000.0,,
Depreciation And Amortization In Income Statement,105000.0,105000.0,106000.0,105000.0,105000.0,,
Amortization,105000.0,105000.0,106000.0,105000.0,105000.0,,
Amortization Of Intangibles Income Statement,105000.0,105000.0,106000.0,105000.0,105000.0,,
Research And Development,1255000.0,1428000.0,1453000.0,1666000.0,1372000.0,,
Selling General And Administration,9624000.0,10231000.0,9868000.0,9411000.0,9077000.0,,
Selling And Marketing Expense,4007000.0,4069000.0,4004000.0,4056000.0,4210000.0,,
General And Administrative Expense,5617000.0,6162000.0,5864000.0,5355000.0,4867000.0,,
Other Gand A,5617000.0,6162000.0,5864000.0,5355000.0,4867000.0,,
Gross Profit,-400000.0,-723000.0,-948000.0,-512000.0,-638000.0,,
Cost Of Revenue,1563000.0,1551000.0,2145000.0,1684000.0,1614000.0,,
Total Revenue,1163000.0,828000.0,1197000.0,1172000.0,976000.0,,
Operating Revenue,1163000.0,828000.0,1197000.0,1172000.0,976000.0,,
