,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-681081.081081,-25700.0,-1329729.72973,1679800.0,-2163000.0,,
Tax Rate For Calcs,0.324324,0.257,0.108108,0.227,0.21,,
Normalized EBITDA,13700000.0,11400000.0,23000000.0,11000000.0,17900000.0,,
Total Unusual Items,-2100000.0,-100000.0,-12300000.0,7400000.0,-10300000.0,,
Total Unusual Items Excluding Goodwill,-2100000.0,-100000.0,-12300000.0,7400000.0,-10300000.0,,
Net Income From Continuing Operation Net Minority Interest,5000000.0,5500000.0,3300000.0,12600000.0,-400000.0,,
Reconciled Depreciation,3300000.0,3100000.0,5900000.0,700000.0,3600000.0,,
Reconciled Cost Of Revenue,80000000.0,75600000.0,80500000.0,77000000.0,77700000.0,,
EBITDA,11600000.0,11300000.0,10700000.0,18400000.0,7600000.0,,
EBIT,8300000.0,8200000.0,4800000.0,17700000.0,4000000.0,,
Net Interest Income,-900000.0,-800000.0,-1100000.0,-1400000.0,-1300000.0,,
Interest Expense,900000.0,800000.0,1100000.0,1400000.0,1300000.0,,
Normalized Income,6418918.918919,5574300.0,14270270.27027,6879800.0,7737000.0,,
Net Income From Continuing And Discontinued Operation,2600000.0,5500000.0,3500000.0,12700000.0,-500000.0,,
Total Expenses,94200000.0,89300000.0,87100000.0,89400000.0,85600000.0,,
Total Operating Income As Reported,7700000.0,7600000.0,4000000.0,17400000.0,3800000.0,,
Diluted Average Shares,27098197.0,27131737.0,,26932411.0,26932291.0,26866976.0,
Basic Average Shares,26749018.0,26733252.0,,26808401.0,26831372.0,26820968.0,
Diluted EPS,0.1,0.2,,0.47,-0.02,0.1,
Basic EPS,0.1,0.21,,0.47,-0.02,0.1,
Diluted NI Availto Com Stockholders,2600000.0,5500000.0,3500000.0,12700000.0,-500000.0,,
Net Income Common Stockholders,2600000.0,5500000.0,3500000.0,12700000.0,-500000.0,,
Net Income,2600000.0,5500000.0,3500000.0,12700000.0,-500000.0,,
Net Income Including Noncontrolling Interests,2600000.0,5500000.0,3500000.0,12700000.0,-500000.0,,
Net Income Discontinuous Operations,-2400000.0,0.0,200000.0,100000.0,-100000.0,,
Net Income Continuous Operations,5000000.0,5500000.0,3300000.0,12600000.0,-400000.0,,
Tax Provision,2400000.0,1900000.0,400000.0,3700000.0,3100000.0,,
Pretax Income,7400000.0,7400000.0,3700000.0,16300000.0,2700000.0,,
Other Income Expense,-1500000.0,500000.0,-11500000.0,7700000.0,-10100000.0,,
Other Non Operating Income Expenses,600000.0,600000.0,800000.0,300000.0,200000.0,,
Special Income Charges,-2100000.0,-100000.0,-12300000.0,7400000.0,-10300000.0,,
Gain On Sale Of Ppe,,,7500000.0,6100000.0,,,
Gain On Sale Of Business,,,,-100000.0,,,
Other Special Charges,,,,-1900000.0,,,
Write Off,,,2800000.0,0.0,,,
Restructuring And Mergern Acquisition,2100000.0,100000.0,11800000.0,500000.0,10300000.0,,
Net Non Operating Interest Income Expense,-900000.0,-800000.0,-1100000.0,-1400000.0,-1300000.0,,
Interest Expense Non Operating,900000.0,800000.0,1100000.0,1400000.0,1300000.0,,
Operating Income,9800000.0,7700000.0,16300000.0,10000000.0,14100000.0,,
Operating Expense,14200000.0,13700000.0,6600000.0,12400000.0,7900000.0,,
Other Operating Expenses,,,,,-5100000.0,-200000.0,
Research And Development,1100000.0,1100000.0,1100000.0,1000000.0,1100000.0,,
Selling General And Administration,13100000.0,12600000.0,13200000.0,11400000.0,11900000.0,,
Selling And Marketing Expense,,,,,,,12100000.0
General And Administrative Expense,,,,,11700000.0,11600000.0,4100000.0
Other Gand A,,,,,11900000.0,11600000.0,12100000.0
Salaries And Wages,,,,,-200000.0,,
Gross Profit,24000000.0,21400000.0,22900000.0,22400000.0,22000000.0,,
Cost Of Revenue,80000000.0,75600000.0,80500000.0,77000000.0,77700000.0,,
Total Revenue,104000000.0,97000000.0,103400000.0,99400000.0,99700000.0,,
Operating Revenue,104000000.0,97000000.0,103400000.0,99400000.0,99700000.0,,
