,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,,
Normalized EBITDA,-6016088.0,-5126274.0,-1478471.0,-2923911.0,-3553834.0,,
Total Unusual Items,,,,,,,0.0
Total Unusual Items Excluding Goodwill,,,,,,,0.0
Net Income From Continuing Operation Net Minority Interest,-6176084.0,-5102408.0,-2274581.0,-2959216.0,-3632859.0,,
Reconciled Depreciation,,,,26322.0,26037.0,26036.0,
EBITDA,-6016088.0,-5126274.0,-1478471.0,-2923911.0,-3553834.0,,
EBIT,-6016088.0,-5126274.0,-1478471.0,-2950233.0,-3553834.0,,
Net Interest Income,40004.0,23866.0,-162393.0,46531.0,-79025.0,,
Interest Expense,,,796110.0,8983.0,88260.0,9008.0,0.0
Interest Income,,23866.0,48897.0,55514.0,,0.0,
Normalized Income,-6176084.0,-5102408.0,-2274581.0,-2959216.0,-3632859.0,,
Net Income From Continuing And Discontinued Operation,-6176084.0,-5102408.0,-2274581.0,-2959216.0,-3632859.0,,
Total Expenses,6016088.0,5126274.0,2350705.0,3005747.0,3553834.0,,
Total Operating Income As Reported,-6016088.0,-5126274.0,-2350705.0,-3005747.0,-3553834.0,,
Diluted Average Shares,14284261.0,12240437.0,,9514738.0,8167993.0,8076673.0,
Basic Average Shares,14284261.0,12240437.0,,9514738.0,8167993.0,8076673.0,
Diluted EPS,-0.43,-0.42,,-0.31,-0.44,-0.21,
Basic EPS,-0.43,-0.42,,-0.31,-0.44,-0.21,
Diluted NI Availto Com Stockholders,-6176084.0,-5102408.0,-2274581.0,-2959216.0,-3632859.0,,
Net Income Common Stockholders,-6176084.0,-5102408.0,-2274581.0,-2959216.0,-3632859.0,,
Net Income,-6176084.0,-5102408.0,-2274581.0,-2959216.0,-3632859.0,,
Net Income Including Noncontrolling Interests,-6176084.0,-5102408.0,-2274581.0,-2959216.0,-3632859.0,,
Net Income Continuous Operations,-6176084.0,-5102408.0,-2274581.0,-2959216.0,-3632859.0,,
Pretax Income,-6176084.0,-5102408.0,-2274581.0,-2959216.0,-3632859.0,,
Other Income Expense,-200000.0,,,,,,-720797.0
Other Non Operating Income Expenses,-200000.0,,,,,,-720797.0
Gain On Sale Of Security,,,,,,,0.0
Net Non Operating Interest Income Expense,40004.0,23866.0,-162393.0,46531.0,-79025.0,,
Total Other Finance Cost,-40004.0,,,,79025.0,,0.0
Interest Expense Non Operating,,,796110.0,8983.0,88260.0,9008.0,0.0
Interest Income Non Operating,,23866.0,48897.0,55514.0,,0.0,
Operating Income,-6016088.0,-5126274.0,-2350705.0,-3005747.0,-3553834.0,,
Operating Expense,6016088.0,5126274.0,2350705.0,3005747.0,3553834.0,,
Depreciation Amortization Depletion Income Statement,,,,26322.0,26037.0,26036.0,
Depreciation And Amortization In Income Statement,,,,26322.0,26037.0,26036.0,
Depreciation Income Statement,,,,26322.0,26037.0,26036.0,
Research And Development,1439564.0,2006214.0,1365106.0,777514.0,1277158.0,,
Selling General And Administration,4576524.0,3120060.0,1063994.0,2201911.0,2276676.0,,
General And Administrative Expense,4576524.0,3120060.0,1063994.0,2201911.0,2276676.0,,
Other Gand A,3667925.0,2650266.0,614237.0,1922553.0,1973286.0,,
Insurance And Claims,,,,157018.0,,151854.0,
Salaries And Wages,908599.0,469794.0,449757.0,279358.0,303390.0,,
Total Revenue,0.0,0.0,0.0,0.0,0.0,,
Operating Revenue,0.0,0.0,0.0,0.0,0.0,,
