,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-12-31
Tax Effect Of Unusual Items,-748845.309143,-831553.505535,-270830.0214,-369487.491698,-89848.13146,
Tax Rate For Calcs,0.25376,0.269373,0.208652,0.289794,0.155447,
Normalized EBITDA,19086000.0,9838000.0,20046000.0,22668000.0,20826000.0,
Total Unusual Items,-2951000.0,-3087000.0,-1298000.0,-1275000.0,-578000.0,
Total Unusual Items Excluding Goodwill,-2951000.0,-3087000.0,-1298000.0,-1275000.0,-578000.0,
Net Income From Continuing Operation Net Minority Interest,3017000.0,-3186000.0,5193000.0,6401000.0,6369000.0,
Reconciled Depreciation,7707000.0,7763000.0,8284000.0,8056000.0,8289000.0,
Reconciled Cost Of Revenue,125739000.0,115286000.0,115358000.0,122392000.0,132535000.0,
EBITDA,16135000.0,6751000.0,18748000.0,21393000.0,20248000.0,
EBIT,8428000.0,-1012000.0,10464000.0,13337000.0,11959000.0,
Net Interest Income,-4239000.0,-3324000.0,-3922000.0,-4303000.0,-4413000.0,
Interest Expense,4239000.0,3324000.0,3922000.0,4303000.0,4413000.0,
Normalized Income,5219154.690857,-930553.505535,6220169.9786,7306512.508302,6857151.86854,
Net Income From Continuing And Discontinued Operation,3017000.0,-3186000.0,5193000.0,6401000.0,6369000.0,
Total Expenses,174026000.0,159540000.0,160975000.0,169561000.0,177236000.0,
Total Operating Income As Reported,8428000.0,-1012000.0,10458000.0,11858000.0,11959000.0,
Diluted Average Shares,31693000.0,31095000.0,31660000.0,31660000.0,31293000.0,
Basic Average Shares,31439000.0,31095000.0,31002000.0,31002000.0,30979000.0,
Diluted EPS,0.1,-0.1,0.17,0.2,0.2,
Basic EPS,0.1,-0.1,0.17,0.21,0.21,
Diluted NI Availto Com Stockholders,3017000.0,-3186000.0,5193000.0,6401000.0,6369000.0,
Net Income Common Stockholders,3017000.0,-3186000.0,5193000.0,6401000.0,6369000.0,
Net Income,3017000.0,-3186000.0,5193000.0,6401000.0,6369000.0,
Minority Interests,-109000.0,-18000.0,16000.0,-15000.0,-4000.0,
Net Income Including Noncontrolling Interests,3126000.0,-3168000.0,5177000.0,6416000.0,6373000.0,
Net Income Continuous Operations,3126000.0,-3168000.0,5177000.0,6416000.0,6373000.0,
Tax Provision,1063000.0,-1168000.0,1365000.0,2618000.0,1173000.0,
Pretax Income,4189000.0,-4336000.0,6542000.0,9034000.0,7546000.0,
Other Income Expense,-2951000.0,-3087000.0,-1292000.0,204000.0,-578000.0,
Other Non Operating Income Expenses,,,6000.0,1479000.0,,
Special Income Charges,-2951000.0,-3087000.0,-1298000.0,-1275000.0,-578000.0,
Other Special Charges,,,0.0,-868000.0,60000.0,908000.0
Impairment Of Capital Assets,,,0.0,0.0,,0.0
Restructuring And Mergern Acquisition,2951000.0,3087000.0,1298000.0,2143000.0,518000.0,
Net Non Operating Interest Income Expense,-4239000.0,-3324000.0,-3922000.0,-4303000.0,-4413000.0,
Interest Expense Non Operating,4239000.0,3324000.0,3922000.0,4303000.0,4413000.0,
Operating Income,11379000.0,2075000.0,11756000.0,13133000.0,12537000.0,
Operating Expense,42566000.0,38817000.0,39570000.0,41444000.0,38803000.0,
Other Operating Expenses,518000.0,540000.0,,,,
Provision For Doubtful Accounts,,,,,,0.0
Depreciation Amortization Depletion Income Statement,1986000.0,2326000.0,2237000.0,2331000.0,2391000.0,
Depreciation And Amortization In Income Statement,1986000.0,2326000.0,2237000.0,2331000.0,2391000.0,
Research And Development,269000.0,299000.0,303000.0,241000.0,231000.0,
Selling General And Administration,39793000.0,35652000.0,35370000.0,38872000.0,36181000.0,
Gross Profit,53945000.0,40892000.0,51326000.0,54577000.0,51340000.0,
Cost Of Revenue,131460000.0,120723000.0,121405000.0,128117000.0,138433000.0,
Total Revenue,185405000.0,161615000.0,172731000.0,182694000.0,189773000.0,
Operating Revenue,185405000.0,161615000.0,172731000.0,182694000.0,189773000.0,
