,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,5017.399461,-25757.16281,0.0,0.0,26611.405214
Tax Rate For Calcs,0.014401,0.221798,0.35,0.116855,0.119189
Normalized EBITDA,-1417107.0,-2248612.0,-627059.0,-1665405.0,-1739628.0
Total Unusual Items,348396.0,-116129.0,0.0,0.0,223270.0
Total Unusual Items Excluding Goodwill,348396.0,-116129.0,0.0,0.0,223270.0
Net Income From Continuing Operation Net Minority Interest,-1915499.0,-2535511.0,-1402229.0,-1783517.0,-1591003.0
Reconciled Depreciation,324607.0,283540.0,289392.0,250712.0,190517.0
Reconciled Cost Of Revenue,1361449.0,1456285.0,2018116.0,20040.0,1471289.0
EBITDA,-1068711.0,-2364741.0,-627059.0,-1665405.0,-1516358.0
EBIT,-1393318.0,-2648281.0,-916451.0,-1916117.0,-1706875.0
Net Interest Income,-180993.0,-182122.0,766638.0,-226462.0,238351.0
Interest Expense,550170.0,609884.0,358828.0,103390.0,99419.0
Interest Income,346513.0,346513.0,,,346513.0
Normalized Income,-2258877.600539,-2445139.16281,-1402229.0,-1783517.0,-1787661.594786
Net Income From Continuing And Discontinued Operation,-1915499.0,-2535511.0,-1402229.0,-1783517.0,-1591003.0
Total Expenses,3658457.0,4463076.0,4151776.0,2045159.0,4007965.0
Total Operating Income As Reported,-2101455.0,-2939974.0,-2041917.0,-1793045.0,-2267915.0
Diluted Average Shares,38683302.0,36220000.0,37766789.0,37806468.0,37806468.0
Basic Average Shares,38683302.0,36220000.0,37766789.0,37806468.0,37806468.0
Diluted EPS,-0.05,-0.07,-0.04,-0.05,-0.04
Basic EPS,-0.05,-0.07,-0.04,-0.05,-0.04
Diluted NI Availto Com Stockholders,-1915499.0,-2535511.0,-1402229.0,-1783517.0,-1591003.0
Net Income Common Stockholders,-1915499.0,-2535511.0,-1402229.0,-1783517.0,-1591003.0
Net Income,-1915499.0,-2535511.0,-1402229.0,-1783517.0,-1591003.0
Net Income Including Noncontrolling Interests,-1915499.0,-2535511.0,-1402229.0,-1783517.0,-1591003.0
Net Income Continuous Operations,-1915499.0,-2535511.0,-1402229.0,-1783517.0,-1591003.0
Tax Provision,-27989.0,-722654.0,126950.0,-235990.0,-215291.0
Pretax Income,-1943488.0,-3258165.0,-1275279.0,-2019507.0,-1806294.0
Other Income Expense,338960.0,-136069.0,,,223270.0
Special Income Charges,113305.0,474409.0,0.0,0.0,536178.0
Other Special Charges,-113305.0,-474409.0,,,-536178.0
Restructuring And Mergern Acquisition,,0.0,0.0,0.0,
Earnings From Equity Interest,-9436.0,,,,0.0
Gain On Sale Of Security,235091.0,-590538.0,,,-312908.0
Net Non Operating Interest Income Expense,-180993.0,-182122.0,766638.0,-226462.0,238351.0
Total Other Finance Cost,-22664.0,-81249.0,-1125466.0,123072.0,8743.0
Interest Expense Non Operating,550170.0,609884.0,358828.0,103390.0,99419.0
Interest Income Non Operating,346513.0,346513.0,,,346513.0
Operating Income,-2101455.0,-2939974.0,-2041917.0,-1793045.0,-2267915.0
Operating Expense,2116228.0,2868331.0,2133660.0,2025119.0,2488323.0
Other Operating Expenses,-78641.0,-138910.0,-153701.0,-189932.0,17909.0
Other Taxes,10899.0,,,,0.0
Depreciation Amortization Depletion Income Statement,143827.0,145080.0,,,142164.0
Depreciation And Amortization In Income Statement,143827.0,145080.0,,,142164.0
Amortization,131756.0,132167.0,,,138111.0
Amortization Of Intangibles Income Statement,131756.0,132167.0,,,138111.0
Depreciation Income Statement,12071.0,12913.0,,,4053.0
Research And Development,425542.0,420895.0,447621.0,516022.0,387736.0
Selling General And Administration,1614601.0,1995311.0,1839740.0,1699029.0,1940514.0
Selling And Marketing Expense,180991.0,182119.0,228001.0,13680.0,219260.0
General And Administrative Expense,1433610.0,1813192.0,1611739.0,1685349.0,1721254.0
Other Gand A,620563.0,525477.0,1611739.0,1685349.0,966258.0
Insurance And Claims,236138.0,247170.0,,,141941.0
Salaries And Wages,576909.0,1040545.0,0.0,0.0,613055.0
Gross Profit,14773.0,-71643.0,91743.0,232074.0,220408.0
Cost Of Revenue,1542229.0,1594745.0,2018116.0,20040.0,1519642.0
Total Revenue,1557002.0,1523102.0,2109859.0,252114.0,1740050.0
Operating Revenue,1557002.0,1523102.0,2109859.0,252114.0,1740050.0
