,2025-05-31,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29
Tax Effect Of Unusual Items,-29526000.0,-882000.0,0.0,0.0,-8169000.0,
Tax Rate For Calcs,0.21,0.21,0.218,0.21,0.21,
Normalized EBITDA,229500000.0,-43200000.0,101000000.0,52800000.0,108000000.0,
Total Unusual Items,-140600000.0,-4200000.0,0.0,0.0,-38900000.0,
Total Unusual Items Excluding Goodwill,-140600000.0,-4200000.0,0.0,0.0,-38900000.0,
Net Income From Continuing Operation Net Minority Interest,-57100000.0,-12700000.0,34100000.0,-1200000.0,9900000.0,
Reconciled Depreciation,35900000.0,34300000.0,35700000.0,34600000.0,43500000.0,
Reconciled Cost Of Revenue,584900000.0,543800000.0,593400000.0,525200000.0,536500000.0,
EBITDA,88900000.0,-47400000.0,101000000.0,52800000.0,69100000.0,
EBIT,53000000.0,-81700000.0,65300000.0,18200000.0,25600000.0,
Net Interest Income,-16200000.0,-17900000.0,-18900000.0,-18300000.0,-17500000.0,
Interest Expense,17300000.0,19100000.0,20400000.0,19900000.0,18800000.0,
Interest Income,1100000.0,1200000.0,1500000.0,1600000.0,1300000.0,
Normalized Income,53974000.0,-9382000.0,34100000.0,-1200000.0,40631000.0,
Net Income From Continuing And Discontinued Operation,-57100000.0,-12700000.0,34100000.0,-1200000.0,9900000.0,
Total Expenses,766200000.0,954200000.0,907900000.0,846300000.0,826300000.0,
Total Operating Income As Reported,55000000.0,-82200000.0,62500000.0,15200000.0,23700000.0,
Diluted Average Shares,,68353906.0,70032959.0,70206373.0,72658582.0,74146826.0
Basic Average Shares,,68353906.0,69298740.0,70206373.0,71383146.0,72720734.0
Diluted EPS,,-0.19,0.49,-0.02,0.14,0.3
Basic EPS,,-0.19,0.49,-0.02,0.14,0.31
Diluted NI Availto Com Stockholders,-57100000.0,-12700000.0,34100000.0,-1200000.0,9900000.0,
Net Income Common Stockholders,-57100000.0,-12700000.0,34100000.0,-1200000.0,9900000.0,
Net Income,-57100000.0,-12700000.0,34100000.0,-1200000.0,9900000.0,
Minority Interests,-900000.0,-1000000.0,-1100000.0,-700000.0,-1100000.0,
Net Income Including Noncontrolling Interests,-56200000.0,-11700000.0,35200000.0,-500000.0,11000000.0,
Net Income Continuous Operations,-56200000.0,-11700000.0,35200000.0,-500000.0,11000000.0,
Earnings From Equity Interest Net Of Tax,0.0,100000.0,100000.0,100000.0,-100000.0,
Tax Provision,91900000.0,-89000000.0,9800000.0,-1100000.0,-4300000.0,
Pretax Income,35700000.0,-100800000.0,44900000.0,-1700000.0,6800000.0,
Other Income Expense,-143700000.0,-4900000.0,1300000.0,1400000.0,-38300000.0,
Other Non Operating Income Expenses,-3100000.0,-700000.0,1300000.0,1400000.0,600000.0,
Special Income Charges,-140600000.0,-4200000.0,0.0,0.0,-38900000.0,
Impairment Of Capital Assets,,,,,16800000.0,0.0
Restructuring And Mergern Acquisition,10600000.0,4200000.0,0.0,0.0,22100000.0,
Net Non Operating Interest Income Expense,-16200000.0,-17900000.0,-18900000.0,-18300000.0,-17500000.0,
Interest Expense Non Operating,17300000.0,19100000.0,20400000.0,19900000.0,18800000.0,
Interest Income Non Operating,1100000.0,1200000.0,1500000.0,1600000.0,1300000.0,
Operating Income,195600000.0,-78000000.0,62500000.0,15200000.0,62600000.0,
Operating Expense,181300000.0,410400000.0,314500000.0,321100000.0,289800000.0,
Research And Development,24200000.0,22300000.0,24600000.0,22700000.0,26900000.0,
Selling General And Administration,157100000.0,388100000.0,289900000.0,298400000.0,262900000.0,
Gross Profit,376900000.0,332400000.0,377000000.0,336300000.0,352400000.0,
Cost Of Revenue,584900000.0,543800000.0,593400000.0,525200000.0,536500000.0,
Total Revenue,961800000.0,876200000.0,970400000.0,861500000.0,888900000.0,
Operating Revenue,969200000.0,872700000.0,969000000.0,858900000.0,896400000.0,
