GradeDate,Firm,ToGrade,FromGrade,Action
2023-09-07 10:53:54,Wells Fargo,Equal-Weight,,init
2022-05-20 11:43:16,BMO Capital,Market Perform,,main
2020-10-29 15:04:36,BMO Capital,Market Perform,,main
2020-09-30 09:54:24,Wolfe Research,Peer Perform,,init
2020-07-30 14:52:43,SunTrust Robinson Humphrey,Hold,,main
2020-05-29 13:01:03,Guggenheim,Neutral,Buy,down
2020-04-06 15:44:05,BMO Capital,Market Perform,,main
2020-04-03 16:07:18,SunTrust Robinson Humphrey,Hold,,main
2020-01-30 17:30:13,CFRA,Hold,,main
2019-12-10 12:18:24,Guggenheim,Buy,Neutral,up
2019-10-25 12:39:52,BMO Capital,Market Perform,,main
2019-08-09 10:47:59,BMO Capital,Market Perform,,init
2019-07-11 11:24:01,Oppenheimer,Perform,Outperform,down
2019-04-04 11:15:28,Guggenheim,Neutral,Buy,down
2018-07-13 12:03:36,Goldman Sachs,Buy,Neutral,up
2018-04-17 13:32:13,Guggenheim,Buy,,init
2018-03-23 12:04:49,SunTrust Robinson Humphrey,Hold,,init
2017-10-12 10:34:43,Jefferies,Hold,Buy,down
2017-06-29 10:44:18,Stephens & Co.,Equal-Weight,Overweight,down
2017-06-20 11:24:13,Susquehanna,Neutral,Positive,down
2017-01-31 13:07:58,Gabelli & Co.,Buy,Hold,up
2016-10-27 04:00:00,Northcoast Research,Neutral,Sell,up
2016-08-26 01:04:33,Gabelli & Co.,Hold,,init
2016-08-26 00:57:10,Susquehanna,Positive,,init
2016-05-20 16:51:51,Jefferies,Buy,,main
2016-04-06 10:44:42,Goldman Sachs,Neutral,,main
2016-03-29 07:51:03,Oppenheimer,Outperform,,init
2015-12-21 13:06:03,Evercore ISI Group,Hold,Buy,down
2015-12-17 15:44:55,Goldman Sachs,Neutral,,init
2015-10-23 17:01:20,Jefferies,Buy,,main
2015-09-15 20:14:13,Jefferies,Buy,,init
2015-08-19 10:44:59,Keybanc,Sector Weight,,up
2015-08-05 11:16:47,Evercore ISI Group,Buy,Hold,up
2015-03-18 13:00:00,Keybanc,Overweight,,main
2015-03-18 10:07:02,SunTrust Robinson Humphrey,Buy,Neutral,up
2015-01-26 11:20:05,SunTrust Robinson Humphrey,Neutral,Reduce,up
2013-12-19 21:00:00,Keybanc,Buy,,init
2013-09-24 11:10:38,ISI Group,Neutral,Buy,down
2013-05-22 12:35:49,Stifel,Buy,,main
2013-02-11 11:35:58,ISI Group,Buy,Neutral,up
2012-12-19 16:57:54,Stifel,Buy,,init
2012-12-19 16:00:10,Stifel,Buy,,init
2012-10-18 10:03:00,ISI Group,Hold,,init
2012-05-29 12:50:00,Princeton Securities,Outperform,,init
2012-05-25 10:40:00,Piper Sandler,Neutral,,main
2012-03-16 17:22:00,Morgan Keegan,Outperform,,main
