,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.083,0.201,0.178714,0.193,0.191
Net Income From Continuing Operation Net Minority Interest,2618000.0,3305000.0,5147000.0,6341000.0,6946000.0
Reconciled Depreciation,1007000.0,873000.0,822000.0,644000.0,640000.0
Net Interest Income,15289000.0,15373000.0,17007000.0,18578000.0,19271000.0
Interest Expense,18038000.0,17001000.0,16071000.0,13116000.0,11435000.0
Interest Income,33327000.0,32374000.0,33078000.0,31694000.0,30706000.0
Normalized Income,2618000.0,3305000.0,5147000.0,6341000.0,6946000.0
Net Income From Continuing And Discontinued Operation,2618000.0,3305000.0,5147000.0,6341000.0,6946000.0
Diluted Average Shares,7608389.0,7611990.0,7527327.0,7524332.0,7522764.0
Basic Average Shares,7608389.0,7611990.0,7527327.0,7524332.0,7522764.0
Diluted EPS,0.27,0.36,0.61,0.77,0.85
Basic EPS,0.27,0.36,0.61,0.77,0.85
Diluted NI Availto Com Stockholders,2079000.0,2766000.0,4608000.0,5802000.0,6407000.0
Net Income Common Stockholders,2079000.0,2766000.0,4608000.0,5802000.0,6407000.0
Preferred Stock Dividends,539000.0,539000.0,539000.0,539000.0,539000.0
Net Income,2618000.0,3305000.0,5147000.0,6341000.0,6946000.0
Net Income Including Noncontrolling Interests,2618000.0,3305000.0,5147000.0,6341000.0,6946000.0
Net Income Continuous Operations,2618000.0,3305000.0,5147000.0,6341000.0,6946000.0
Tax Provision,238000.0,830000.0,1120000.0,1516000.0,1645000.0
Pretax Income,2856000.0,4135000.0,6267000.0,7857000.0,8591000.0
Gain On Sale Of Security,-48000.0,,0.0,0.0,0.0
Selling General And Administration,8279000.0,8184000.0,8749000.0,7778000.0,7504000.0
Selling And Marketing Expense,566000.0,454000.0,271000.0,577000.0,698000.0
General And Administrative Expense,7713000.0,7730000.0,8478000.0,7201000.0,6806000.0
Other Gand A,229000.0,242000.0,219000.0,277000.0,211000.0
Salaries And Wages,7484000.0,7488000.0,7128000.0,6924000.0,6595000.0
Total Revenue,16162000.0,16264000.0,17868000.0,19541000.0,20081000.0
Operating Revenue,16162000.0,16264000.0,17868000.0,19541000.0,20081000.0
Occupancy And Equipment,1355000.0,1370000.0,1201000.0,1088000.0,1198000.0
Other Non Interest Expense,3034000.0,2770000.0,1185000.0,2563000.0,2150000.0
