,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,-719400.0,-1219680.0,-84980.0,811650.0,417690.0,
Tax Rate For Calcs,0.327,0.21,0.01,0.21,0.21,
Normalized EBITDA,22573000.0,20549000.0,7351000.0,13838000.0,9253000.0,
Total Unusual Items,-2200000.0,-5808000.0,-8498000.0,3865000.0,1989000.0,
Total Unusual Items Excluding Goodwill,-2200000.0,-5808000.0,-8498000.0,3865000.0,1989000.0,
Net Income From Continuing Operation Net Minority Interest,2291000.0,-2954000.0,-18085000.0,1338000.0,-47214000.0,
Reconciled Depreciation,2532000.0,2601000.0,2729000.0,2775000.0,2878000.0,
Reconciled Cost Of Revenue,141294000.0,166909000.0,140713000.0,154685000.0,141819000.0,
EBITDA,20373000.0,14741000.0,-1147000.0,17703000.0,11242000.0,
EBIT,17841000.0,12140000.0,-3876000.0,14928000.0,8364000.0,
Net Interest Income,-14435000.0,-14182000.0,-14387000.0,-14640000.0,-18297000.0,
Interest Expense,14435000.0,14182000.0,14387000.0,14640000.0,18297000.0,
Normalized Income,3771600.0,1634320.0,-9671980.0,-1715350.0,-48785310.0,
Net Income From Continuing And Discontinued Operation,2291000.0,-2954000.0,-18085000.0,1338000.0,-47214000.0,
Total Expenses,166135000.0,190238000.0,165265000.0,178415000.0,165487000.0,
Total Operating Income As Reported,17581000.0,12520000.0,-6456000.0,12218000.0,9524000.0,
Diluted Average Shares,20416958.0,19760028.0,19674539.0,,19634306.0,19599162.0
Basic Average Shares,19783170.0,19760028.0,19674539.0,,19634306.0,19599162.0
Diluted EPS,0.11,-0.15,-0.92,,-2.4,-0.1
Basic EPS,0.12,-0.15,-0.92,,-2.4,-0.1
Diluted NI Availto Com Stockholders,2291000.0,-2954000.0,-18085000.0,1338000.0,-47214000.0,
Net Income Common Stockholders,2291000.0,-2954000.0,-18085000.0,1338000.0,-47214000.0,
Net Income,2291000.0,-2954000.0,-18085000.0,1338000.0,-47214000.0,
Net Income Including Noncontrolling Interests,2291000.0,-2954000.0,-18085000.0,1338000.0,-47214000.0,
Net Income Continuous Operations,2291000.0,-2954000.0,-18085000.0,1338000.0,-47214000.0,
Tax Provision,1115000.0,912000.0,-178000.0,-1050000.0,37281000.0,
Pretax Income,3406000.0,-2042000.0,-18263000.0,288000.0,-9933000.0,
Other Income Expense,-2200000.0,-5808000.0,-8498000.0,3865000.0,1989000.0,
Special Income Charges,0.0,0.0,,0.0,0.0,-168000.0
Other Special Charges,,,,0.0,,168000.0
Gain On Sale Of Security,-2200000.0,-5808000.0,-8498000.0,3865000.0,1989000.0,
Net Non Operating Interest Income Expense,-14435000.0,-14182000.0,-14387000.0,-14640000.0,-18297000.0,
Interest Expense Non Operating,14435000.0,14182000.0,14387000.0,14640000.0,18297000.0,
Operating Income,20041000.0,17948000.0,4622000.0,11063000.0,6375000.0,
Operating Expense,24841000.0,23329000.0,24552000.0,23730000.0,23668000.0,
Research And Development,3008000.0,2443000.0,2433000.0,2643000.0,2539000.0,
Selling General And Administration,21833000.0,20886000.0,22119000.0,21087000.0,21129000.0,
Selling And Marketing Expense,5621000.0,5834000.0,5449000.0,5443000.0,5931000.0,
General And Administrative Expense,16212000.0,15052000.0,16670000.0,15644000.0,15198000.0,
Other Gand A,16212000.0,15052000.0,16670000.0,15644000.0,15198000.0,
Gross Profit,44882000.0,41277000.0,29174000.0,34793000.0,30043000.0,
Cost Of Revenue,141294000.0,166909000.0,140713000.0,154685000.0,141819000.0,
Total Revenue,186176000.0,208186000.0,169887000.0,189478000.0,171862000.0,
Operating Revenue,186176000.0,208186000.0,169887000.0,189478000.0,171862000.0,
