,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-2312310.0,-52052.0,-92817.09201,-12792.764927,-7347.865704
Tax Rate For Calcs,0.21,0.182,0.182352,0.172875,0.174949
Total Unusual Items,-11011000.0,-286000.0,-509000.0,-74000.0,-42000.0
Total Unusual Items Excluding Goodwill,-11011000.0,-286000.0,-509000.0,-74000.0,-42000.0
Net Income From Continuing Operation Net Minority Interest,4762000.0,13742000.0,13232000.0,12301000.0,11771000.0
Reconciled Depreciation,1961000.0,1606000.0,1715000.0,1739000.0,1711000.0
Net Interest Income,48206000.0,42509000.0,41280000.0,40169000.0,38766000.0
Interest Expense,31814000.0,29235000.0,32032000.0,33672000.0,32473000.0
Interest Income,80020000.0,71744000.0,73312000.0,73841000.0,71239000.0
Normalized Income,13460690.0,13975948.0,13648182.90799,12362207.235073,11805652.134296
Net Income From Continuing And Discontinued Operation,4762000.0,13742000.0,13232000.0,12301000.0,11771000.0
Diluted Average Shares,21599435.0,19416265.0,18377778.0,16612657.0,16578873.0
Basic Average Shares,21566617.0,19355867.0,18377778.0,16612657.0,16578873.0
Diluted EPS,0.22,0.71,0.72,0.74,0.71
Basic EPS,0.22,0.71,0.72,0.74,0.71
Diluted NI Availto Com Stockholders,4762000.0,13742000.0,13232000.0,12301000.0,11771000.0
Net Income Common Stockholders,4762000.0,13742000.0,13232000.0,12301000.0,11771000.0
Net Income,4762000.0,13742000.0,13232000.0,12301000.0,11771000.0
Net Income Including Noncontrolling Interests,4762000.0,13742000.0,13232000.0,12301000.0,11771000.0
Net Income Continuous Operations,4762000.0,13742000.0,13232000.0,12301000.0,11771000.0
Tax Provision,-480000.0,3063000.0,2951000.0,2571000.0,2496000.0
Pretax Income,4282000.0,16805000.0,16183000.0,14872000.0,14267000.0
Special Income Charges,-11011000.0,-314000.0,-436000.0,-109000.0,0.0
Restructuring And Mergern Acquisition,11011000.0,314000.0,436000.0,109000.0,0.0
Gain On Sale Of Security,-7000.0,-9000.0,11000.0,-1000.0,0.0
Depreciation Amortization Depletion Income Statement,744000.0,428000.0,471000.0,460000.0,425000.0
Depreciation And Amortization In Income Statement,744000.0,428000.0,471000.0,460000.0,425000.0
Amortization,744000.0,428000.0,471000.0,460000.0,425000.0
Amortization Of Intangibles Income Statement,744000.0,428000.0,471000.0,460000.0,425000.0
Selling General And Administration,21747000.0,17299000.0,17790000.0,17306000.0,16765000.0
General And Administrative Expense,21747000.0,17299000.0,17790000.0,17306000.0,16765000.0
Insurance And Claims,994000.0,990000.0,843000.0,1150000.0,1232000.0
Salaries And Wages,20753000.0,16309000.0,16947000.0,16156000.0,15533000.0
Total Revenue,53728000.0,47043000.0,46722000.0,44776000.0,43543000.0
Operating Revenue,53728000.0,47043000.0,46722000.0,44776000.0,43543000.0
Occupancy And Equipment,3613000.0,3368000.0,3126000.0,3021000.0,3148000.0
Professional Expense And Contract Services Expense,993000.0,826000.0,1006000.0,1613000.0,689000.0
Other Non Interest Expense,9069000.0,7702000.0,6749000.0,6879000.0,6645000.0
