GradeDate,Firm,ToGrade,FromGrade,Action
2024-07-26 19:18:40,Argus Research,Buy,Buy,main
2024-07-24 16:27:30,Barclays,Overweight,Overweight,main
2024-07-24 16:15:57,RBC Capital,Outperform,Outperform,reit
2024-07-24 14:22:58,Goldman Sachs,Neutral,Neutral,main
2024-07-24 11:18:25,Morgan Stanley,Overweight,Overweight,main
2024-07-09 20:10:43,UBS,Buy,Buy,main
2024-06-25 14:10:22,RBC Capital,Outperform,Outperform,reit
2024-05-13 09:56:19,Redburn Atlantic,Neutral,Sell,up
2024-04-30 10:04:56,B of A Securities,Neutral,Underperform,up
2024-04-24 16:48:40,UBS,Buy,Buy,main
2024-04-24 15:41:51,Barclays,Overweight,Overweight,main
2024-04-24 13:39:13,Goldman Sachs,Neutral,Neutral,main
2024-04-24 12:32:42,B of A Securities,Underperform,Underperform,main
2024-04-24 10:30:12,Morgan Stanley,Overweight,Overweight,main
2024-04-24 09:12:26,Deutsche Bank,Buy,Hold,up
2024-04-12 14:31:37,RBC Capital,Outperform,Outperform,reit
2024-04-09 12:29:31,Oppenheimer,Outperform,Outperform,main
2024-03-26 10:36:09,Wolfe Research,Peer Perform,,init
2024-02-01 14:05:59,Goldman Sachs,Neutral,Neutral,main
2024-01-31 16:38:18,RBC Capital,Outperform,Outperform,main
2024-01-31 15:59:49,Goldman Sachs,Neutral,Neutral,main
2024-01-31 15:12:35,Wells Fargo,Overweight,Overweight,main
2024-01-31 10:58:00,Barclays,Overweight,Overweight,main
2024-01-08 18:07:46,Oppenheimer,Outperform,Outperform,main
2024-01-05 11:52:20,Raymond James,Market Perform,Outperform,down
2023-12-13 11:11:00,Morgan Stanley,Overweight,Equal-Weight,up
2023-11-01 16:42:01,RBC Capital,Outperform,Outperform,reit
2023-11-01 13:59:47,Barclays,Overweight,Overweight,main
2023-11-01 12:48:16,Morgan Stanley,Equal-Weight,Equal-Weight,main
2023-11-01 10:07:03,Raymond James,Outperform,Outperform,main
2023-10-18 14:31:48,JP Morgan,Overweight,Overweight,main
2023-10-05 14:22:56,Oppenheimer,Outperform,Outperform,main
2023-09-14 09:54:10,Redburn Partners,Neutral,Buy,down
2023-07-27 11:20:16,Goldman Sachs,Neutral,Neutral,main
2023-07-26 15:11:06,Morgan Stanley,Equal-Weight,Equal-Weight,main
2023-07-26 14:08:22,RBC Capital,Outperform,Outperform,reit
2023-07-26 13:24:10,Wells Fargo,Overweight,Overweight,main
2023-07-26 10:12:33,Barclays,Overweight,Overweight,main
2023-07-26 08:12:06,Raymond James,Outperform,Outperform,main
2023-07-17 08:51:37,Exane BNP Paribas,Underperform,Neutral,down
2023-07-14 11:29:14,Raymond James,Outperform,Outperform,main
2023-07-05 12:31:23,Oppenheimer,Outperform,Outperform,main
2023-06-15 14:04:52,B of A Securities,Underperform,,init
2023-05-09 12:20:21,Wells Fargo,Overweight,,init
2023-04-26 14:00:26,RBC Capital,Outperform,,reit
2023-04-26 13:26:40,Oppenheimer,Outperform,,main
2023-04-26 12:46:29,Morgan Stanley,Equal-Weight,,main
2023-04-26 12:24:54,Goldman Sachs,Neutral,,main
2023-04-26 09:07:35,Raymond James,Outperform,,main
2023-04-19 13:52:27,JP Morgan,Overweight,,main
2023-04-13 20:35:33,Raymond James,Outperform,,main
2023-04-04 12:24:40,Oppenheimer,Outperform,,main
2023-03-27 12:37:49,Morgan Stanley,Equal-Weight,,main
2023-02-02 14:12:58,JP Morgan,Overweight,,main
2023-02-01 15:16:06,Morgan Stanley,Equal-Weight,,main
2023-02-01 14:55:49,RBC Capital,Outperform,,main
2023-02-01 13:51:31,Oppenheimer,Outperform,,main
2023-02-01 10:04:26,Raymond James,Outperform,,main
2023-01-04 14:39:10,Morgan Stanley,Equal-Weight,,main
2022-12-13 13:39:16,JP Morgan,Overweight,,init
2022-12-02 12:42:59,Barclays,Overweight,,main
2022-10-26 14:21:30,Morgan Stanley,Equal-Weight,,main
2022-10-26 08:44:32,Raymond James,Outperform,,main
2022-10-20 13:35:45,Deutsche Bank,Hold,,main
2022-10-17 11:23:30,Raymond James,Outperform,,main
2022-08-16 11:35:27,Oppenheimer,Outperform,,main
2022-08-10 11:14:17,Deutsche Bank,Hold,,main
2022-07-29 14:22:22,UBS,Buy,,main
2022-07-27 12:43:18,Morgan Stanley,Equal-Weight,,main
2022-07-27 08:45:54,Raymond James,Outperform,,main
2022-07-20 12:57:23,Morgan Stanley,Equal-Weight,,main
2022-07-15 11:22:43,Raymond James,Outperform,,main
2022-06-28 11:03:22,RBC Capital,Outperform,,main
2022-06-24 11:04:01,Barclays,Overweight,,main
2022-04-28 10:15:00,Raymond James,Outperform,Market Perform,up
2022-04-27 14:43:25,Deutsche Bank,Hold,,main
2022-04-27 14:07:56,Barclays,Overweight,,main
2022-04-27 12:23:48,Morgan Stanley,Equal-Weight,,main
2022-04-01 09:33:30,Goldman Sachs,Neutral,,init
2022-03-30 08:57:26,Deutsche Bank,Hold,,init
2022-01-28 13:33:31,Morgan Stanley,Equal-Weight,,main
2022-01-05 14:15:09,Morgan Stanley,Equal-Weight,,main
2021-10-27 14:29:16,Morgan Stanley,Equal-Weight,,main
2021-10-27 12:08:03,Oppenheimer,Outperform,,main
2021-09-23 12:47:14,Morgan Stanley,Equal-Weight,,main
2021-09-21 10:42:08,RBC Capital,Outperform,,main
2021-07-28 14:25:13,Deutsche Bank,Buy,,main
2021-07-28 13:18:13,Morgan Stanley,Equal-Weight,,main
2021-07-28 11:53:18,Oppenheimer,Outperform,,main
2021-07-08 09:24:10,RBC Capital,Outperform,,init
2021-06-16 11:07:15,Oppenheimer,Outperform,,main
2021-05-27 13:27:25,Morgan Stanley,Equal-Weight,,main
2021-04-28 13:09:52,Morgan Stanley,Equal-Weight,,main
2021-04-28 12:02:14,Oppenheimer,Outperform,,main
2021-03-12 12:29:37,Deutsche Bank,Buy,,init
2021-02-01 14:38:59,UBS,Buy,Neutral,up
2021-01-29 15:18:31,Morgan Stanley,Equal-Weight,,main
2021-01-06 16:00:32,Morgan Stanley,Equal-Weight,,main
2020-10-28 12:02:08,Morgan Stanley,Equal-Weight,,main
2020-10-20 13:30:51,Morgan Stanley,Equal-Weight,,main
2020-10-06 11:03:53,Oppenheimer,Outperform,,init
2020-07-29 15:38:51,UBS,Neutral,,main
2020-07-29 12:54:22,Morgan Stanley,Equal-Weight,,main
2020-07-10 12:35:05,Morgan Stanley,Equal-Weight,,main
2020-07-08 12:24:28,BMO Capital,Outperform,,main
2020-04-30 14:14:34,BMO Capital,Outperform,,main
2020-04-29 13:05:48,Morgan Stanley,Equal-Weight,,main
2020-04-22 12:47:39,Morgan Stanley,Equal-Weight,,main
2020-04-01 15:47:15,BMO Capital,Outperform,,main
2020-03-13 13:23:19,UBS,Neutral,,main
2020-02-12 10:25:41,Atlantic Equities,Overweight,Neutral,up
2020-01-31 16:02:07,Morgan Stanley,Equal-Weight,,main
2020-01-31 13:32:04,Wells Fargo,Overweight,,main
2020-01-31 13:19:25,UBS,Neutral,,main
2020-01-24 14:30:21,Morgan Stanley,Equal-Weight,,main
2019-11-04 12:39:47,BMO Capital,Outperform,,main
2019-11-01 11:44:42,Wells Fargo,Outperform,,main
2019-10-11 12:04:53,Buckingham Research,Neutral,,main
2019-10-02 12:33:27,UBS,Neutral,,main
2019-09-25 10:53:21,Atlantic Equities,Neutral,,init
2019-07-19 13:21:56,Morgan Stanley,Equal-Weight,,main
2019-07-08 11:11:11,UBS,Neutral,Buy,down
2019-06-13 11:33:50,Morgan Stanley,Equal-Weight,,main
2019-01-25 12:32:27,Buckingham Research,Neutral,,init
2019-01-08 15:27:12,Morgan Stanley,Equal-Weight,Equal-Weight,main
2019-01-07 14:48:29,Barclays,Overweight,Overweight,main
2018-12-07 11:07:16,Barclays,Overweight,Equal-Weight,up
2018-11-05 15:09:25,BMO Capital,Outperform,Outperform,main
2018-11-02 16:24:58,Barclays,Equal-Weight,Equal-Weight,main
2018-10-15 11:15:18,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-09-13 12:08:39,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-08-03 11:14:59,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-07-25 12:18:18,BMO Capital,Outperform,,init
2018-07-18 12:34:37,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-06-25 12:14:54,Wells Fargo,Outperform,Outperform,main
2018-05-04 14:38:56,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-03-02 13:28:39,UBS,Buy,Buy,main
2018-02-02 14:24:09,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-01-31 14:04:21,Morgan Stanley,Equal-Weight,Equal-Weight,main
2017-11-03 18:24:32,UBS,Buy,,main
2017-11-03 17:41:43,Morgan Stanley,Equal-Weight,,main
