,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-10710.0,-259140.0,-4312350.0,-434582.75957,-139020.0,,
Tax Rate For Calcs,0.21,0.21,0.21,0.147067,0.21,,
Normalized EBITDA,6159000.0,9460000.0,29204000.0,13001000.0,9732000.0,,
Total Unusual Items,-51000.0,-1234000.0,-20535000.0,-2955000.0,-662000.0,,
Total Unusual Items Excluding Goodwill,-51000.0,-1234000.0,-20535000.0,-2955000.0,-662000.0,,
Net Income From Continuing Operation Net Minority Interest,-2948000.0,-2880000.0,-22412000.0,-3097000.0,-2611000.0,,
Reconciled Depreciation,9535000.0,9632000.0,10627000.0,11593000.0,11654000.0,,
Reconciled Cost Of Revenue,14563000.0,15779000.0,17865000.0,17832000.0,18068000.0,,
EBITDA,6108000.0,8226000.0,8669000.0,10046000.0,9070000.0,,
EBIT,-3427000.0,-1406000.0,-1958000.0,-1547000.0,-2584000.0,,
Net Interest Income,946000.0,906000.0,981000.0,1127000.0,1374000.0,,
Interest Income,946000.0,906000.0,,,1374000.0,1420000.0,
Normalized Income,-2907710.0,-1905140.0,-6189350.0,-576582.75957,-2088020.0,,
Net Income From Continuing And Discontinued Operation,-2948000.0,-2880000.0,-22412000.0,-3097000.0,-2611000.0,,
Total Expenses,62765000.0,64115000.0,69740000.0,72776000.0,75174000.0,,
Total Operating Income As Reported,-3487000.0,-2741000.0,-22420000.0,-4778000.0,-3963000.0,,
Diluted Average Shares,125448000.0,125253000.0,124794000.0,125007000.0,132475000.0,,
Basic Average Shares,125448000.0,125253000.0,124794000.0,125007000.0,132475000.0,,
Diluted EPS,-0.02,-0.02,-0.18,-0.02,-0.02,,
Basic EPS,-0.02,-0.02,-0.18,-0.02,-0.02,,
Diluted NI Availto Com Stockholders,-2948000.0,-2880000.0,-22412000.0,-3097000.0,-2611000.0,,
Net Income Common Stockholders,-2948000.0,-2880000.0,-22412000.0,-3097000.0,-2611000.0,,
Net Income,-2948000.0,-2880000.0,-22412000.0,-3097000.0,-2611000.0,,
Net Income Including Noncontrolling Interests,-2948000.0,-2880000.0,-22412000.0,-3097000.0,-2611000.0,,
Net Income Continuous Operations,-2948000.0,-2880000.0,-22412000.0,-3097000.0,-2611000.0,,
Tax Provision,209000.0,348000.0,1344000.0,-534000.0,475000.0,,
Pretax Income,-2739000.0,-2532000.0,-21068000.0,-3631000.0,-2136000.0,,
Other Income Expense,-258000.0,-2032000.0,-20091000.0,-3211000.0,-926000.0,,
Other Non Operating Income Expenses,-207000.0,-798000.0,444000.0,-256000.0,-264000.0,,
Special Income Charges,-60000.0,-1335000.0,-20462000.0,-3231000.0,-1379000.0,,
Restructuring And Mergern Acquisition,60000.0,1335000.0,20462000.0,3231000.0,1379000.0,,
Gain On Sale Of Security,9000.0,101000.0,-73000.0,276000.0,717000.0,,
Net Non Operating Interest Income Expense,946000.0,906000.0,981000.0,1127000.0,1374000.0,,
Total Other Finance Cost,,,,-1127000.0,-1374000.0,,-1337000.0
Interest Income Non Operating,946000.0,906000.0,,,1374000.0,1420000.0,
Operating Income,-3427000.0,-1406000.0,-1958000.0,-1547000.0,-2584000.0,,
Operating Expense,48202000.0,48336000.0,51875000.0,54944000.0,57106000.0,,
Depreciation Amortization Depletion Income Statement,9535000.0,9632000.0,10627000.0,11593000.0,11654000.0,,
Depreciation And Amortization In Income Statement,9535000.0,9632000.0,10627000.0,11593000.0,11654000.0,,
Research And Development,14214000.0,13674000.0,16265000.0,16654000.0,16743000.0,,
Selling General And Administration,24453000.0,25030000.0,24983000.0,26697000.0,28709000.0,,
Selling And Marketing Expense,13108000.0,13169000.0,13867000.0,15116000.0,17064000.0,,
General And Administrative Expense,11345000.0,11861000.0,11116000.0,11581000.0,11645000.0,,
Other Gand A,11345000.0,11861000.0,11116000.0,11581000.0,11645000.0,,
Gross Profit,44775000.0,46930000.0,49917000.0,53397000.0,54522000.0,,
Cost Of Revenue,14563000.0,15779000.0,17865000.0,17832000.0,18068000.0,,
Total Revenue,59338000.0,62709000.0,67782000.0,71229000.0,72590000.0,,
Operating Revenue,59336000.0,62709000.0,67480000.0,71229000.0,72483000.0,,
