Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-02-22 16:00:00-05:00,0.58,0.39,-0.3264
2023-10-31 16:00:00-04:00,0.8,0.87,0.0898
2023-08-02 16:00:00-04:00,0.45,0.38,-0.1489
2023-05-03 19:00:00-04:00,0.17,0.19,0.1223
2023-02-27 00:00:00-05:00,0.54,0.41,-0.24230000000000002
2022-11-02 21:00:00-04:00,0.39,0.5,0.27390000000000003
2022-08-08 16:00:00-04:00,0.46,0.4,-0.1257
2022-05-02 18:00:00-04:00,0.06,-0.12,-3.0869999999999997
2022-02-16 18:00:00-05:00,0.01,-0.35,-71.0
2021-11-04 19:00:00-04:00,0.08,0.15,0.9564
