,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.27003,0.1959,0.228561,0.300346,0.259623,,
Total Unusual Items,,,,,,-1300000.0,-271000.0
Total Unusual Items Excluding Goodwill,,,,,,-1300000.0,-271000.0
Net Income From Continuing Operation Net Minority Interest,13703000.0,9367000.0,18324000.0,11934000.0,10945000.0,,
Reconciled Depreciation,274000.0,146000.0,214000.0,517000.0,521000.0,,
Net Interest Income,13923000.0,13933000.0,11292000.0,10981000.0,9126000.0,,
Interest Expense,22595000.0,23957000.0,22435000.0,20290000.0,20227000.0,,
Interest Income,36518000.0,37890000.0,33727000.0,31271000.0,29353000.0,,
Normalized Income,13703000.0,9367000.0,18324000.0,11934000.0,10945000.0,,
Net Income From Continuing And Discontinued Operation,13703000.0,9367000.0,18324000.0,11934000.0,10945000.0,,
Diluted Average Shares,25648000.0,25550000.0,,26589000.0,24706000.0,24358000.0,
Basic Average Shares,25167000.0,25156000.0,,25425000.0,24599000.0,24287000.0,
Diluted EPS,0.52,0.35,,0.45,0.43,0.38,
Basic EPS,0.53,0.36,,0.45,0.43,0.38,
Diluted NI Availto Com Stockholders,13303000.0,8967000.0,17924000.0,11934000.0,10545000.0,,
Average Dilution Earnings,0.0,0.0,0.0,400000.0,0.0,,
Net Income Common Stockholders,13303000.0,8967000.0,17924000.0,11534000.0,10545000.0,,
Preferred Stock Dividends,400000.0,400000.0,400000.0,400000.0,400000.0,,
Net Income,13703000.0,9367000.0,18324000.0,11934000.0,10945000.0,,
Net Income Including Noncontrolling Interests,13703000.0,9367000.0,18324000.0,11934000.0,10945000.0,,
Net Income Continuous Operations,13703000.0,9367000.0,18324000.0,11934000.0,10945000.0,,
Tax Provision,5069000.0,2282000.0,5429000.0,5123000.0,3838000.0,,
Pretax Income,18772000.0,11649000.0,23753000.0,17057000.0,14783000.0,,
Special Income Charges,,,,,,-1300000.0,-271000.0
Restructuring And Mergern Acquisition,,,,,,1300000.0,0.0
Gain On Sale Of Security,31465000.0,0.0,0.0,0.0,0.0,,
Depreciation Amortization Depletion Income Statement,274000.0,146000.0,214000.0,517000.0,521000.0,,
Depreciation And Amortization In Income Statement,274000.0,146000.0,214000.0,517000.0,521000.0,,
Selling General And Administration,30016000.0,28732000.0,24432000.0,24035000.0,25172000.0,,
General And Administrative Expense,30016000.0,28732000.0,24432000.0,24035000.0,25172000.0,,
Other Gand A,6881000.0,7416000.0,6946000.0,4886000.0,4382000.0,,
Salaries And Wages,23135000.0,21316000.0,17486000.0,19149000.0,20790000.0,,
Total Revenue,65770000.0,61884000.0,70465000.0,58394000.0,55453000.0,,
Operating Revenue,65770000.0,61884000.0,70465000.0,58394000.0,55453000.0,,
Professional Expense And Contract Services Expense,4304000.0,3435000.0,4576000.0,3929000.0,2743000.0,,
Other Non Interest Expense,3287000.0,4417000.0,8016000.0,5928000.0,6435000.0,,
