,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,-15.54,-500.43,0.0,-50461.11,-9184.98,
Tax Rate For Calcs,0.21,0.21,0.0,0.21,0.21,
Normalized EBITDA,-2216348.0,-300114.0,-1367813.0,-3540290.0,-687550.0,
Total Unusual Items,-74.0,-2383.0,73032.0,-240291.0,-43738.0,
Total Unusual Items Excluding Goodwill,-74.0,-2383.0,73032.0,-240291.0,-43738.0,
Net Income From Continuing Operation Net Minority Interest,-2466064.0,-563489.0,-1462756.0,-4673732.0,-1288629.0,
Reconciled Depreciation,190445.0,195167.0,193610.0,25183.0,319649.0,
Reconciled Cost Of Revenue,1436552.0,1493566.0,1360233.0,1273977.0,1411573.0,
EBITDA,-2216422.0,-302497.0,-1294781.0,-3780581.0,-731288.0,
EBIT,-2406867.0,-497664.0,-1488391.0,-3805764.0,-1050937.0,
Net Interest Income,-59113.0,-59728.0,-48978.0,-48127.0,-46899.0,
Normalized Income,-2466005.54,-561606.43,-1535788.0,-4483902.11,-1254075.98,
Net Income From Continuing And Discontinued Operation,-2466064.0,-563489.0,-1462756.0,-4673732.0,-1288629.0,
Total Expenses,5022674.0,3186197.0,3864784.0,6080095.0,3527071.0,
Total Operating Income As Reported,-2406867.0,-497664.0,-1488391.0,-3805764.0,-1050937.0,
Diluted Average Shares,3446032.0,2538792.0,2236514.0,,1547423.0,1459655.0
Basic Average Shares,3446032.0,2538792.0,2236514.0,,1547423.0,1459655.0
Diluted EPS,-0.72,-0.22,-0.65,,-0.83,-0.37
Basic EPS,-0.72,-0.22,-0.65,,-0.83,-0.37
Diluted NI Availto Com Stockholders,-2466064.0,-563489.0,-1462756.0,-4673732.0,-1288629.0,
Net Income Common Stockholders,-2466064.0,-563489.0,-1462756.0,-4673732.0,-1288629.0,
Net Income,-2466064.0,-563489.0,-1462756.0,-4673732.0,-1288629.0,
Net Income Including Noncontrolling Interests,-2466064.0,-563489.0,-1462756.0,-4673732.0,-1288629.0,
Net Income Discontinuous Operations,,,,0.0,0.0,0.0
Net Income Continuous Operations,-2466064.0,-563489.0,-1462756.0,-4673732.0,-1288629.0,
Tax Provision,211.0,4876.0,0.0,581321.0,147371.0,
Pretax Income,-2465853.0,-558613.0,-1462756.0,-4092411.0,-1141258.0,
Other Income Expense,127.0,-1221.0,74613.0,-238520.0,-43422.0,
Other Non Operating Income Expenses,201.0,1162.0,1581.0,1771.0,316.0,
Special Income Charges,,,,,,0.0
Gain On Sale Of Ppe,,,,,,0.0
Gain On Sale Of Security,-74.0,-2383.0,73032.0,-240291.0,-43738.0,
Net Non Operating Interest Income Expense,-59113.0,-59728.0,-48978.0,-48127.0,-46899.0,
Total Other Finance Cost,59113.0,59728.0,48978.0,48127.0,46899.0,
Operating Income,-2406867.0,-497664.0,-1488391.0,-3805764.0,-1050937.0,
Operating Expense,3586122.0,1692631.0,2504551.0,4806118.0,2115498.0,
Research And Development,1221231.0,-518.0,751216.0,,0.0,10026.0
Selling General And Administration,2364891.0,1693149.0,1753335.0,1687992.0,2115498.0,
Selling And Marketing Expense,415903.0,405212.0,559470.0,545783.0,592089.0,
General And Administrative Expense,1948988.0,1287937.0,1193865.0,1142209.0,1523409.0,
Other Gand A,1948988.0,1287937.0,1193865.0,1142209.0,1523409.0,
Gross Profit,1179255.0,1194967.0,1016160.0,1000354.0,1064561.0,
Cost Of Revenue,1436552.0,1493566.0,1360233.0,1273977.0,1411573.0,
Total Revenue,2615807.0,2688533.0,2376393.0,2274331.0,2476134.0,
Operating Revenue,2615807.0,2688533.0,2376393.0,2274331.0,2476134.0,
