,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.216004,0.216,0.206064,0.206,0.208511,
Normalized EBITDA,43596000000.0,46046000000.0,34944000000.0,37355000000.0,35739000000.0,
Net Income From Continuing Operation Net Minority Interest,26503000000.0,29034000000.0,28230000000.0,27301000000.0,20050000000.0,
Reconciled Depreciation,4833000000.0,3830000000.0,-5364000000.0,2150000000.0,8845000000.0,
Reconciled Cost Of Revenue,12846000000.0,12890000000.0,13024000000.0,11308000000.0,10274000000.0,
EBITDA,43596000000.0,46046000000.0,34944000000.0,37355000000.0,35739000000.0,
EBIT,38763000000.0,42216000000.0,34944000000.0,35205000000.0,26894000000.0,
Net Interest Income,356000000.0,-1758000000.0,-123000000.0,562000000.0,-602000000.0,
Interest Expense,4958000000.0,5183000000.0,-613000000.0,821000000.0,1562000000.0,
Interest Income,5314000000.0,3425000000.0,-447000000.0,1383000000.0,960000000.0,
Normalized Income,26503000000.0,29034000000.0,28230000000.0,27301000000.0,20050000000.0,
Net Income From Continuing And Discontinued Operation,26503000000.0,29034000000.0,28230000000.0,27301000000.0,20050000000.0,
Total Expenses,43408000000.0,39296000000.0,48946000000.0,37489000000.0,42126000000.0,
Total Operating Income As Reported,33449000000.0,38791000000.0,36737000000.0,33822000000.0,25934000000.0,
Diluted Average Shares,4446812081.0,4446400000.0,,4460500000.0,4465478842.0,4470500000.0
Basic Average Shares,4446812081.0,4439500000.0,,4452300000.0,4455555556.0,4459600000.0
Diluted EPS,5.96,6.53,,6.12,4.49,5.68
Basic EPS,5.96,6.54,,6.13,4.5,5.7
Diluted NI Availto Com Stockholders,26503000000.0,29034000000.0,28230000000.0,27301000000.0,20050000000.0,
Net Income Common Stockholders,26503000000.0,29034000000.0,28230000000.0,27301000000.0,20050000000.0,
Net Income,26503000000.0,29034000000.0,28230000000.0,27301000000.0,20050000000.0,
Net Income Including Noncontrolling Interests,26503000000.0,29034000000.0,28230000000.0,27301000000.0,20050000000.0,
Net Income Continuous Operations,26503000000.0,29034000000.0,28230000000.0,27301000000.0,20050000000.0,
Tax Provision,7302000000.0,7999000000.0,7327000000.0,7083000000.0,5282000000.0,
Pretax Income,33805000000.0,37033000000.0,35557000000.0,34384000000.0,25332000000.0,
Net Non Operating Interest Income Expense,356000000.0,-1758000000.0,-123000000.0,562000000.0,-602000000.0,
Interest Expense Non Operating,4958000000.0,5183000000.0,-613000000.0,821000000.0,1562000000.0,
Interest Income Non Operating,5314000000.0,3425000000.0,-447000000.0,1383000000.0,960000000.0,
Operating Income,33449000000.0,38791000000.0,36737000000.0,33822000000.0,25934000000.0,
Operating Expense,30562000000.0,26406000000.0,35922000000.0,26181000000.0,31852000000.0,
Other Operating Expenses,23000000.0,-14000000.0,1839000000.0,101000000.0,-405000000.0,
Research And Development,11690000000.0,10308000000.0,13802000000.0,9488000000.0,16166000000.0,
Selling General And Administration,18849000000.0,16112000000.0,20281000000.0,16592000000.0,16091000000.0,
Selling And Marketing Expense,17533000000.0,14892000000.0,18701000000.0,15210000000.0,14934000000.0,
General And Administrative Expense,1316000000.0,1220000000.0,1580000000.0,1382000000.0,1157000000.0,
Other Gand A,1316000000.0,1220000000.0,1580000000.0,1382000000.0,1157000000.0,
Gross Profit,64011000000.0,65197000000.0,72659000000.0,60003000000.0,57786000000.0,
Cost Of Revenue,12846000000.0,12890000000.0,13024000000.0,11308000000.0,10274000000.0,
Total Revenue,76857000000.0,78087000000.0,85683000000.0,71311000000.0,68060000000.0,
Operating Revenue,76857000000.0,78087000000.0,475843000000.0,71311000000.0,68060000000.0,
