,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,307566.42,0.0,0.0,,
Tax Rate For Calcs,0.0,0.0,0.21,0.0,0.0,,
Normalized EBITDA,-15275277.0,-5389319.0,-3190255.0,-2091726.0,-7264039.0,,
Total Unusual Items,565800.0,-124618.0,1464602.0,329990.0,1592679.0,,
Total Unusual Items Excluding Goodwill,565800.0,-124618.0,1464602.0,329990.0,1592679.0,,
Net Income From Continuing Operation Net Minority Interest,-13378800.0,-6873003.0,-5070008.0,-1649843.0,-3938747.0,,
Reconciled Depreciation,87748.0,72677.0,83696.0,75105.0,92514.0,,
Reconciled Cost Of Revenue,131065.0,561244.0,1504311.0,918087.0,602715.0,,
EBITDA,-14709477.0,-5513937.0,-1725653.0,-1761736.0,-5671360.0,,
EBIT,-14797225.0,-5586614.0,-1809349.0,-1836841.0,-5763874.0,,
Net Interest Income,-707017.0,-535817.0,-544653.0,-242468.0,10736.0,,
Interest Income,,,,,10736.0,9012.0,2988.0
Normalized Income,-13944600.0,-6748385.0,-6227043.58,-1979833.0,-5531426.0,,
Net Income From Continuing And Discontinued Operation,-13378800.0,-6873003.0,-5070008.0,-1649843.0,-3938747.0,,
Total Expenses,15130214.0,6419469.0,7312161.0,3646174.0,6434633.0,,
Total Operating Income As Reported,-14797225.0,-5586614.0,-5612341.0,-1836841.0,-5763874.0,,
Diluted Average Shares,6313968.0,1772214.0,881144.0,666894.0,623028.0,,
Basic Average Shares,6313968.0,1772214.0,881144.0,666894.0,623028.0,,
Diluted EPS,-2.12,-3.88,-5.75,-2.47,-6.7,,
Basic EPS,-2.12,-3.88,-5.75,-2.47,-6.7,,
Diluted NI Availto Com Stockholders,-13378800.0,-6873003.0,-5070008.0,-1649843.0,-4176717.0,,
Net Income Common Stockholders,-13378800.0,-6873003.0,-5070008.0,-1649843.0,-4176717.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,161466.0,,
Preferred Stock Dividends,,,,,76504.0,75004.0,73533.0
Net Income,-13378800.0,-6873003.0,-5070008.0,-1649843.0,-3938747.0,,
Minority Interests,189662.0,5598.0,28809.0,0.0,10268.0,,
Net Income Including Noncontrolling Interests,-13568462.0,-6878601.0,-5098817.0,-1649843.0,-3949015.0,,
Net Income Continuous Operations,-13568462.0,-6878601.0,-5098817.0,-1649843.0,-3949015.0,,
Tax Provision,0.0,0.0,1600.0,0.0,0.0,,
Pretax Income,-13568462.0,-6878601.0,-5097217.0,-1649843.0,-3949015.0,,
Other Income Expense,1935780.0,-756170.0,1059777.0,429466.0,1804123.0,,
Other Non Operating Income Expenses,1369980.0,-631552.0,-404825.0,99476.0,211444.0,,
Gain On Sale Of Security,565800.0,-124618.0,1464602.0,329990.0,1592679.0,,
Net Non Operating Interest Income Expense,-707017.0,-535817.0,-544653.0,-242468.0,10736.0,,
Total Other Finance Cost,707017.0,535817.0,,242468.0,-10736.0,-9012.0,
Interest Income Non Operating,,,,,10736.0,9012.0,2988.0
Operating Income,-14797225.0,-5586614.0,-5612341.0,-1836841.0,-5763874.0,,
Operating Expense,14999149.0,5858225.0,5807850.0,2728087.0,5831918.0,,
Other Operating Expenses,,-101449.0,-86255.0,-108885.0,-131421.0,-83416.0,
Research And Development,1093163.0,883772.0,767558.0,710291.0,1473567.0,,
Selling General And Administration,13905986.0,5075902.0,5126547.0,2126681.0,4489772.0,,
Gross Profit,201924.0,271611.0,195509.0,891246.0,68044.0,,
Cost Of Revenue,131065.0,561244.0,1504311.0,918087.0,602715.0,,
Total Revenue,332989.0,832855.0,1699820.0,1809333.0,670759.0,,
Operating Revenue,332989.0,832855.0,1699820.0,1809333.0,670759.0,,
