,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,,
Normalized EBITDA,-1373000.0,-3307000.0,-1378000.0,-994000.0,-1155000.0,,
Total Unusual Items,-42000.0,1401000.0,,,,,0.0
Total Unusual Items Excluding Goodwill,-42000.0,1401000.0,,,,,0.0
Net Income From Continuing Operation Net Minority Interest,-1520000.0,-525000.0,-8344000.0,-1060000.0,-1155000.0,,
Reconciled Depreciation,92000.0,65000.0,53000.0,66000.0,47000.0,,
Reconciled Cost Of Revenue,669000.0,358000.0,297000.0,406000.0,324000.0,,
EBITDA,-1415000.0,-1906000.0,-1378000.0,-994000.0,-1155000.0,,
EBIT,-1507000.0,-1971000.0,-1431000.0,-1060000.0,-1202000.0,,
Net Interest Income,29000.0,45000.0,-6891000.0,30000.0,47000.0,,
Interest Expense,,,6913000.0,0.0,,,
Interest Income,29000.0,45000.0,22000.0,30000.0,47000.0,,
Normalized Income,-1478000.0,-1926000.0,-8344000.0,-1060000.0,-1155000.0,,
Net Income From Continuing And Discontinued Operation,-1520000.0,-525000.0,-8344000.0,-1060000.0,-1155000.0,,
Total Expenses,3575000.0,3181000.0,2502000.0,2301000.0,2015000.0,,
Total Operating Income As Reported,-1507000.0,-1971000.0,-1431000.0,-1090000.0,-1202000.0,,
Diluted Average Shares,4509619.0,953959.0,,48652.0,48653.0,48653.0,
Basic Average Shares,4509619.0,953959.0,,48652.0,48653.0,48653.0,
Diluted EPS,-0.34,-0.55,,-21.9,-23.7,-24.52,
Basic EPS,-0.34,-0.55,,-21.9,-23.7,-24.52,
Diluted NI Availto Com Stockholders,-1520000.0,-525000.0,-8344000.0,-1060000.0,-1155000.0,,
Net Income Common Stockholders,-1520000.0,-525000.0,-8344000.0,-1060000.0,-1155000.0,,
Net Income,-1520000.0,-525000.0,-8344000.0,-1060000.0,-1155000.0,,
Net Income Including Noncontrolling Interests,-1520000.0,-525000.0,-8344000.0,-1060000.0,-1155000.0,,
Net Income Continuous Operations,-1520000.0,-525000.0,-8344000.0,-1060000.0,-1155000.0,,
Pretax Income,-1520000.0,-525000.0,-8344000.0,-1060000.0,-1155000.0,,
Other Income Expense,-42000.0,1401000.0,,,,,
Special Income Charges,,,,,,,0.0
Gain On Sale Of Security,-42000.0,1401000.0,,,,,
Net Non Operating Interest Income Expense,29000.0,45000.0,-6891000.0,30000.0,47000.0,,
Total Other Finance Cost,,,,,-47000.0,-62000.0,-76000.0
Interest Expense Non Operating,,,6913000.0,0.0,,,
Interest Income Non Operating,29000.0,45000.0,22000.0,30000.0,47000.0,,
Operating Income,-1507000.0,-1971000.0,-1431000.0,-1090000.0,-1202000.0,,
Operating Expense,2906000.0,2823000.0,2205000.0,1895000.0,1691000.0,,
Research And Development,143000.0,282000.0,145000.0,201000.0,207000.0,,
Selling General And Administration,2763000.0,2541000.0,2060000.0,1694000.0,1484000.0,,
Gross Profit,1399000.0,852000.0,774000.0,805000.0,489000.0,,
Cost Of Revenue,669000.0,358000.0,297000.0,406000.0,324000.0,,
Total Revenue,2068000.0,1210000.0,1071000.0,1211000.0,813000.0,,
Operating Revenue,2068000.0,1210000.0,1071000.0,1211000.0,813000.0,,
