,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,6391770.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.21,
Normalized EBITDA,30537000.0,30326000.0,30999000.0,29682000.0,30655000.0,
Total Unusual Items,7000000.0,7778000.0,-8727000.0,12014000.0,30437000.0,
Total Unusual Items Excluding Goodwill,7000000.0,7778000.0,-8727000.0,12014000.0,30437000.0,
Net Income From Continuing Operation Net Minority Interest,-7033000.0,-6897000.0,-26931000.0,-8853000.0,10596000.0,
Reconciled Depreciation,24059000.0,24350000.0,24389000.0,24608000.0,24442000.0,
Reconciled Cost Of Revenue,26688000.0,26986000.0,26870000.0,29073000.0,28221000.0,
EBITDA,37537000.0,38104000.0,22272000.0,41696000.0,61092000.0,
EBIT,13478000.0,13754000.0,-2117000.0,17088000.0,36650000.0,
Net Interest Income,-22167000.0,-22322000.0,-26234000.0,-26608000.0,-26714000.0,
Interest Expense,20539000.0,20678000.0,24921000.0,25976000.0,26012000.0,
Normalized Income,-14033000.0,-14675000.0,-18204000.0,-20867000.0,-13449230.0,
Net Income From Continuing And Discontinued Operation,-7033000.0,-6897000.0,-26931000.0,-8853000.0,10596000.0,
Total Expenses,53327000.0,55793000.0,56134000.0,58516000.0,55587000.0,
Total Operating Income As Reported,7903000.0,7423000.0,11508000.0,5579000.0,25482000.0,
Diluted Average Shares,25384000.0,25448000.0,,25404000.0,26309000.0,26354000.0
Basic Average Shares,25384000.0,25448000.0,,25404000.0,25540000.0,25721000.0
Diluted EPS,-0.28,-0.27,,-0.35,0.4,1.0
Basic EPS,-0.28,-0.27,,-0.35,0.41,1.02
Diluted NI Availto Com Stockholders,-7033000.0,-6897000.0,-26931000.0,-8853000.0,10596000.0,
Net Income Common Stockholders,-7033000.0,-6897000.0,-26931000.0,-8853000.0,10596000.0,
Net Income,-7033000.0,-6897000.0,-26931000.0,-8853000.0,10596000.0,
Minority Interests,28000.0,27000.0,107000.0,35000.0,-42000.0,
Net Income Including Noncontrolling Interests,-7061000.0,-6924000.0,-27038000.0,-8888000.0,10638000.0,
Net Income Continuous Operations,-7061000.0,-6924000.0,-27038000.0,-8888000.0,10638000.0,
Pretax Income,-7061000.0,-6924000.0,-27038000.0,-8888000.0,10638000.0,
Other Income Expense,7203000.0,7975000.0,-8461000.0,12141000.0,30556000.0,
Other Non Operating Income Expenses,144000.0,142000.0,238000.0,74000.0,66000.0,
Special Income Charges,-5000.0,-163000.0,-23291000.0,0.0,-992000.0,
Other Special Charges,5000.0,163000.0,23291000.0,,992000.0,347000.0
Earnings From Equity Interest,59000.0,55000.0,28000.0,53000.0,53000.0,
Gain On Sale Of Security,7005000.0,7941000.0,14564000.0,12014000.0,31429000.0,
Net Non Operating Interest Income Expense,-22167000.0,-22322000.0,-26234000.0,-26608000.0,-26714000.0,
Total Other Finance Cost,1628000.0,1644000.0,1313000.0,632000.0,702000.0,
Interest Expense Non Operating,20539000.0,20678000.0,24921000.0,25976000.0,26012000.0,
Operating Income,7903000.0,7423000.0,7657000.0,5579000.0,6796000.0,
Operating Expense,26639000.0,28807000.0,29264000.0,29443000.0,27366000.0,
Other Operating Expenses,-1919000.0,,,,-1855000.0,
Depreciation Amortization Depletion Income Statement,24059000.0,24350000.0,24389000.0,24608000.0,24442000.0,
Depreciation And Amortization In Income Statement,24059000.0,24350000.0,24389000.0,24608000.0,24442000.0,
Selling General And Administration,4499000.0,4457000.0,4875000.0,4835000.0,4779000.0,
General And Administrative Expense,4499000.0,4457000.0,4875000.0,4835000.0,4779000.0,
Other Gand A,4499000.0,4457000.0,4875000.0,4835000.0,4779000.0,
Gross Profit,34542000.0,36230000.0,36921000.0,35022000.0,34162000.0,
Cost Of Revenue,26688000.0,26986000.0,26870000.0,29073000.0,28221000.0,
Total Revenue,61230000.0,63216000.0,63791000.0,64095000.0,62383000.0,
Operating Revenue,61230000.0,61440000.0,61569000.0,62311000.0,62383000.0,
