,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,-7620178.041543,0.0,0.0,,
Tax Rate For Calcs,0.3,0.297,0.317507,0.262,0.288591,,
Normalized EBITDA,424000000.0,440000000.0,685000000.0,547000000.0,470000000.0,,
Total Unusual Items,,,-24000000.0,,,40000000.0,-35000000.0
Total Unusual Items Excluding Goodwill,,,-24000000.0,,,40000000.0,-35000000.0
Net Income From Continuing Operation Net Minority Interest,97000000.0,108000000.0,242000000.0,187000000.0,118000000.0,,
Reconciled Depreciation,197000000.0,205000000.0,220000000.0,190000000.0,208000000.0,,
Reconciled Cost Of Revenue,557000000.0,551000000.0,558000000.0,563000000.0,552000000.0,,
EBITDA,424000000.0,440000000.0,661000000.0,547000000.0,470000000.0,,
EBIT,227000000.0,235000000.0,441000000.0,357000000.0,262000000.0,,
Net Interest Income,-97000000.0,-97000000.0,-104000000.0,-113000000.0,-113000000.0,,
Interest Expense,97000000.0,97000000.0,104000000.0,113000000.0,113000000.0,,
Normalized Income,97000000.0,108000000.0,258379821.958457,187000000.0,118000000.0,,
Net Income From Continuing And Discontinued Operation,97000000.0,108000000.0,242000000.0,187000000.0,118000000.0,,
Total Expenses,1016000000.0,1014000000.0,1046000000.0,1031000000.0,1029000000.0,,
Total Operating Income As Reported,213000000.0,220000000.0,417000000.0,335000000.0,240000000.0,,
Diluted Average Shares,30514000.0,30927000.0,31449000.0,32441000.0,33287000.0,,
Basic Average Shares,30221000.0,30532000.0,30978000.0,32020000.0,32816000.0,,
Diluted EPS,3.06,3.37,7.56,5.27,3.54,,
Basic EPS,3.09,3.41,7.68,5.34,3.59,,
Diluted NI Availto Com Stockholders,93000000.0,108000000.0,242000000.0,187000000.0,118000000.0,,
Net Income Common Stockholders,93000000.0,108000000.0,242000000.0,187000000.0,118000000.0,,
Otherunder Preferred Stock Dividend,4000000.0,,,,0.0,,
Net Income,97000000.0,108000000.0,242000000.0,187000000.0,118000000.0,,
Minority Interests,6000000.0,11000000.0,12000000.0,7000000.0,12000000.0,,
Net Income Including Noncontrolling Interests,91000000.0,97000000.0,230000000.0,180000000.0,106000000.0,,
Net Income Continuous Operations,91000000.0,97000000.0,230000000.0,180000000.0,106000000.0,,
Tax Provision,39000000.0,41000000.0,107000000.0,64000000.0,43000000.0,,
Pretax Income,130000000.0,138000000.0,337000000.0,244000000.0,149000000.0,,
Other Income Expense,14000000.0,15000000.0,0.0,22000000.0,22000000.0,,
Other Non Operating Income Expenses,3000000.0,7000000.0,6000000.0,5000000.0,6000000.0,,
Special Income Charges,,,,,,40000000.0,-35000000.0
Gain On Sale Of Business,,,,,,40000000.0,
Restructuring And Mergern Acquisition,,,,,,,0.0
Earnings From Equity Interest,11000000.0,8000000.0,18000000.0,17000000.0,16000000.0,,
Gain On Sale Of Security,,,0.0,,,40000000.0,
Net Non Operating Interest Income Expense,-97000000.0,-97000000.0,-104000000.0,-113000000.0,-113000000.0,,
Interest Expense Non Operating,97000000.0,97000000.0,104000000.0,113000000.0,113000000.0,,
Operating Income,213000000.0,220000000.0,441000000.0,335000000.0,240000000.0,,
Operating Expense,459000000.0,463000000.0,488000000.0,468000000.0,477000000.0,,
Other Operating Expenses,,1000000.0,,,-1000000.0,-1000000.0,
Depreciation Amortization Depletion Income Statement,197000000.0,205000000.0,220000000.0,190000000.0,208000000.0,,
Depreciation And Amortization In Income Statement,197000000.0,205000000.0,220000000.0,190000000.0,208000000.0,,
Selling General And Administration,262000000.0,257000000.0,270000000.0,278000000.0,270000000.0,,
General And Administrative Expense,,257000000.0,,278000000.0,269000000.0,272000000.0,
Other Gand A,,257000000.0,,278000000.0,269000000.0,272000000.0,
Salaries And Wages,,,,-6000000.0,-7000000.0,-7000000.0,
Gross Profit,672000000.0,683000000.0,929000000.0,803000000.0,717000000.0,,
Cost Of Revenue,557000000.0,551000000.0,558000000.0,563000000.0,552000000.0,,
Total Revenue,1229000000.0,1234000000.0,1487000000.0,1366000000.0,1269000000.0,,
Operating Revenue,1208000000.0,1234000000.0,1536000000.0,1341000000.0,1256000000.0,,
