,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,7617.661534,128100.0,-13098.619993,-413700.0,-644700.0,,
Tax Rate For Calcs,0.009984,0.21,0.018984,0.21,0.21,,
Normalized EBITDA,6961000.0,-12555000.0,13233000.0,-2669000.0,-8806000.0,,
Total Unusual Items,763000.0,610000.0,-690000.0,-1970000.0,-3070000.0,,
Total Unusual Items Excluding Goodwill,763000.0,610000.0,-690000.0,-1970000.0,-3070000.0,,
Net Income From Continuing Operation Net Minority Interest,-14081000.0,-53094000.0,-29146000.0,-27388000.0,-33443000.0,,
Reconciled Depreciation,17997000.0,35682000.0,27333000.0,16788000.0,15540000.0,,
Reconciled Cost Of Revenue,49463000.0,54700000.0,43824000.0,49316000.0,52649000.0,,
EBITDA,7724000.0,-11945000.0,12543000.0,-4639000.0,-11876000.0,,
EBIT,-10273000.0,-47627000.0,-14790000.0,-21427000.0,-27416000.0,,
Net Interest Income,-3950000.0,-4506000.0,-14920000.0,-5210000.0,-4943000.0,,
Interest Expense,3950000.0,4506000.0,14920000.0,5210000.0,4943000.0,,
Normalized Income,-14836382.338466,-53575900.0,-28469098.619993,-25831700.0,-31017700.0,,
Net Income From Continuing And Discontinued Operation,-14081000.0,-53094000.0,-29146000.0,-27388000.0,-33443000.0,,
Total Expenses,219887000.0,243129000.0,226444000.0,213535000.0,220456000.0,,
Total Operating Income As Reported,-16003000.0,-48873000.0,-11477000.0,-18899000.0,-24906000.0,,
Diluted Average Shares,39501000.0,39188000.0,38700000.0,38488000.0,38020000.0,,
Basic Average Shares,39501000.0,39188000.0,38700000.0,38488000.0,38020000.0,,
Diluted EPS,-0.36,-1.35,-0.75,-0.71,-0.88,,
Basic EPS,-0.36,-1.35,-0.75,-0.71,-0.88,,
Diluted NI Availto Com Stockholders,-14081000.0,-53094000.0,-29146000.0,-27388000.0,-33443000.0,,
Net Income Common Stockholders,-14081000.0,-53094000.0,-29146000.0,-27388000.0,-33443000.0,,
Net Income,-14081000.0,-53094000.0,-29146000.0,-27388000.0,-33443000.0,,
Net Income Including Noncontrolling Interests,-14081000.0,-53094000.0,-29146000.0,-27388000.0,-33443000.0,,
Net Income Continuous Operations,-14081000.0,-53094000.0,-29146000.0,-27388000.0,-33443000.0,,
Tax Provision,-142000.0,961000.0,-564000.0,751000.0,1084000.0,,
Pretax Income,-14223000.0,-52133000.0,-29710000.0,-26637000.0,-32359000.0,,
Other Income Expense,6493000.0,1856000.0,-4003000.0,-4498000.0,-5580000.0,,
Other Non Operating Income Expenses,5730000.0,1246000.0,-3313000.0,-2528000.0,-2510000.0,,
Special Income Charges,763000.0,610000.0,-690000.0,-1970000.0,-3070000.0,,
Other Special Charges,,,,,,,4320000.0
Restructuring And Mergern Acquisition,-763000.0,-610000.0,690000.0,1970000.0,3070000.0,,
Net Non Operating Interest Income Expense,-3950000.0,-4506000.0,-14920000.0,-5210000.0,-4943000.0,,
Interest Expense Non Operating,3950000.0,4506000.0,14920000.0,5210000.0,4943000.0,,
Operating Income,-16766000.0,-49483000.0,-10787000.0,-16929000.0,-21836000.0,,
Operating Expense,156299000.0,171102000.0,159628000.0,151982000.0,156585000.0,,
Depreciation Amortization Depletion Income Statement,3872000.0,18355000.0,4341000.0,4551000.0,4318000.0,,
Depreciation And Amortization In Income Statement,3872000.0,18355000.0,4341000.0,4551000.0,4318000.0,,
Amortization,3872000.0,18355000.0,4341000.0,4551000.0,4318000.0,,
Amortization Of Intangibles Income Statement,3872000.0,18355000.0,4341000.0,4551000.0,4318000.0,,
Research And Development,15934000.0,19766000.0,18808000.0,17294000.0,18049000.0,,
Selling General And Administration,136493000.0,132981000.0,136479000.0,130137000.0,134218000.0,,
Selling And Marketing Expense,,,,96576000.0,100224000.0,100043000.0,97749000.0
General And Administrative Expense,,,,33561000.0,33994000.0,31648000.0,34535000.0
Other Gand A,,,,33561000.0,33994000.0,31648000.0,34535000.0
Gross Profit,139533000.0,121619000.0,148841000.0,135053000.0,134749000.0,,
Cost Of Revenue,63588000.0,72027000.0,66816000.0,61553000.0,63871000.0,,
Total Revenue,203121000.0,193646000.0,215657000.0,196606000.0,198620000.0,,
Operating Revenue,203121000.0,193646000.0,215657000.0,196606000.0,198620000.0,,
