,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-189631.143388,-189146.457602,867152.747576,-227774.335118,-73791.124367,,
Tax Rate For Calcs,0.117491,0.120629,0.156979,0.212674,0.127666,,
Normalized EBITDA,24234000.0,26913000.0,32957000.0,28120000.0,26891000.0,,
Total Unusual Items,-1614000.0,-1568000.0,5524000.0,-1071000.0,-578000.0,,
Total Unusual Items Excluding Goodwill,-1614000.0,-1568000.0,5524000.0,-1071000.0,-578000.0,,
Net Income From Continuing Operation Net Minority Interest,15676000.0,18283000.0,28689000.0,17940000.0,19303000.0,,
Reconciled Depreciation,4634000.0,4434000.0,4353000.0,4146000.0,4012000.0,,
Reconciled Cost Of Revenue,50862000.0,50693000.0,47772000.0,33115000.0,27656000.0,,
EBITDA,22620000.0,25345000.0,38481000.0,27049000.0,26313000.0,,
EBIT,17986000.0,20911000.0,34128000.0,22903000.0,22301000.0,,
Net Interest Income,671000.0,558000.0,840000.0,667000.0,763000.0,,
Interest Expense,223000.0,120000.0,98000.0,117000.0,173000.0,,
Interest Income,894000.0,678000.0,994000.0,784000.0,936000.0,,
Normalized Income,17100368.856612,19661853.542398,24032152.747576,18783225.664882,19807208.875633,,
Net Income From Continuing And Discontinued Operation,15676000.0,18283000.0,28689000.0,17940000.0,19303000.0,,
Total Expenses,124247000.0,120908000.0,118168000.0,100020000.0,87793000.0,,
Rent Expense Supplemental,506000.0,631000.0,541000.0,593000.0,576000.0,,
Total Operating Income As Reported,18109000.0,21075000.0,27559000.0,23185000.0,21943000.0,,
Diluted Average Shares,90316000.0,90188000.0,89741000.0,89487000.0,89315000.0,,
Basic Average Shares,89505000.0,89486000.0,88480000.0,88472000.0,88458000.0,,
Diluted EPS,0.17,0.2,0.32,0.2,0.22,,
Basic EPS,0.18,0.2,0.32,0.2,0.22,,
Diluted NI Availto Com Stockholders,15676000.0,18283000.0,28689000.0,17940000.0,19303000.0,,
Net Income Common Stockholders,15676000.0,18283000.0,28689000.0,17940000.0,19303000.0,,
Net Income,15676000.0,18283000.0,28689000.0,17940000.0,19303000.0,,
Net Income Including Noncontrolling Interests,15676000.0,18283000.0,28689000.0,17940000.0,19303000.0,,
Net Income Continuous Operations,15676000.0,18283000.0,28688000.0,17940000.0,19303000.0,,
Tax Provision,2087000.0,2508000.0,5342000.0,4846000.0,2825000.0,,
Pretax Income,17763000.0,20791000.0,34030000.0,22786000.0,22128000.0,,
Other Income Expense,-1622000.0,-1575000.0,5522000.0,-1071000.0,-578000.0,,
Special Income Charges,-605000.0,-733000.0,-109000.0,-4000.0,0.0,,
Write Off,605000.0,733000.0,109000.0,4000.0,0.0,,
Earnings From Equity Interest,-8000.0,-7000.0,,,0.0,0.0,0.0
Gain On Sale Of Security,-1009000.0,-835000.0,5633000.0,-1067000.0,-578000.0,,
Net Non Operating Interest Income Expense,671000.0,558000.0,840000.0,667000.0,763000.0,,
Interest Expense Non Operating,223000.0,120000.0,98000.0,117000.0,173000.0,,
Interest Income Non Operating,894000.0,678000.0,994000.0,784000.0,936000.0,,
Operating Income,18715000.0,21808000.0,27666000.0,23189000.0,21941000.0,,
Operating Expense,73385000.0,70215000.0,70396000.0,66905000.0,60137000.0,,
Other Operating Expenses,5297000.0,5016000.0,5423000.0,4911000.0,4298000.0,,
Provision For Doubtful Accounts,-166000.0,160000.0,-532000.0,-45000.0,-143000.0,,
Depreciation Amortization Depletion Income Statement,4634000.0,4434000.0,4353000.0,4146000.0,4012000.0,,
Depreciation And Amortization In Income Statement,4634000.0,4434000.0,4353000.0,4146000.0,4012000.0,,
Selling General And Administration,63620000.0,60605000.0,61152000.0,57893000.0,51970000.0,,
Selling And Marketing Expense,33994000.0,34204000.0,40944000.0,32516000.0,29026000.0,,
General And Administrative Expense,29626000.0,26401000.0,20208000.0,25377000.0,22944000.0,,
Other Gand A,1699000.0,2202000.0,1899000.0,1600000.0,2588000.0,,
Rent And Landing Fees,506000.0,631000.0,541000.0,593000.0,576000.0,,
Salaries And Wages,27421000.0,23568000.0,17768000.0,23184000.0,19780000.0,,
Gross Profit,92100000.0,92023000.0,98062000.0,90094000.0,82078000.0,,
Cost Of Revenue,50862000.0,50693000.0,47772000.0,33115000.0,27656000.0,,
Total Revenue,142962000.0,142716000.0,145834000.0,123209000.0,109734000.0,,
Operating Revenue,142962000.0,142716000.0,145834000.0,123209000.0,109734000.0,,
