,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,2631042.0
Tax Rate For Calcs,0.119,0.327
Normalized EBITDA,5581000.0,88302000.0
Total Unusual Items,0.0,8046000.0
Total Unusual Items Excluding Goodwill,0.0,8046000.0
Net Income From Continuing Operation Net Minority Interest,-10910000.0,49138000.0
Reconciled Depreciation,8776000.0,7902000.0
Reconciled Cost Of Revenue,827980000.0,799953000.0
EBITDA,5581000.0,96348000.0
EBIT,-3195000.0,88446000.0
Net Interest Income,-9187000.0,-15391000.0
Interest Expense,9187000.0,15391000.0
Normalized Income,-10910000.0,43723042.0
Net Income From Continuing And Discontinued Operation,-10910000.0,49138000.0
Total Expenses,981136000.0,854761000.0
Rent Expense Supplemental,65833000.0,63961000.0
Total Operating Income As Reported,710000.0,79960000.0
Diluted Average Shares,149463655.0,147773386.0
Basic Average Shares,149463655.0,147773386.0
Diluted EPS,-0.07,0.332523
Basic EPS,-0.07,0.332523
Diluted NI Availto Com Stockholders,-10910000.0,49138000.0
Net Income Common Stockholders,-10910000.0,49138000.0
Net Income,-10910000.0,49138000.0
Minority Interests,-2000.0,-2000.0
Net Income Including Noncontrolling Interests,-10908000.0,49140000.0
Net Income Continuous Operations,-10908000.0,49140000.0
Tax Provision,-1474000.0,23915000.0
Pretax Income,-12382000.0,73055000.0
Other Income Expense,-3905000.0,8486000.0
Other Non Operating Income Expenses,-3905000.0,440000.0
Special Income Charges,0.0,8046000.0
Other Special Charges,,-8046000.0
Net Non Operating Interest Income Expense,-9187000.0,-15391000.0
Interest Expense Non Operating,9187000.0,15391000.0
Operating Income,710000.0,79960000.0
Operating Expense,153156000.0,54808000.0
Depreciation Amortization Depletion Income Statement,8776000.0,7902000.0
Depreciation And Amortization In Income Statement,8776000.0,7902000.0
Selling General And Administration,144380000.0,46906000.0
General And Administrative Expense,144380000.0,46906000.0
Other Gand A,144380000.0,46906000.0
Gross Profit,153866000.0,134768000.0
Cost Of Revenue,827980000.0,799953000.0
Total Revenue,981846000.0,934721000.0
Operating Revenue,981398000.0,934298000.0
