,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0
Normalized EBITDA,-58120000.0,-76068000.0,-55665000.0,-66902000.0,-73485000.0
Net Income From Continuing Operation Net Minority Interest,-75810000.0,-94316000.0,-74451000.0,-85577000.0,-91446000.0
Reconciled Depreciation,172000.0,177000.0,193000.0,191000.0,197000.0
Reconciled Cost Of Revenue,5038000.0,3724000.0,3815000.0,2356000.0,1376000.0
EBITDA,-58120000.0,-76068000.0,-55665000.0,-66902000.0,-73485000.0
EBIT,-58292000.0,-76245000.0,-55858000.0,-67093000.0,-73682000.0
Net Interest Income,-15731000.0,-15431000.0,-15083000.0,-14773000.0,-14140000.0
Interest Expense,17518000.0,18071000.0,18593000.0,18484000.0,17764000.0
Interest Income,1787000.0,2640000.0,3510000.0,3711000.0,3624000.0
Normalized Income,-75810000.0,-94316000.0,-74451000.0,-85577000.0,-91446000.0
Net Income From Continuing And Discontinued Operation,-75810000.0,-94316000.0,-74451000.0,-85577000.0,-91446000.0
Total Expenses,99427000.0,107382000.0,89081000.0,87148000.0,84624000.0
Total Operating Income As Reported,-59924000.0,-78863000.0,-59417000.0,-70796000.0,-77300000.0
Diluted Average Shares,72466203.0,71969411.0,71044948.0,64627847.0,58558145.0
Basic Average Shares,72466203.0,71969411.0,71044948.0,64627847.0,58558145.0
Diluted EPS,-1.05,-1.31,-1.05,-1.32,-1.56
Basic EPS,-1.05,-1.31,-1.05,-1.32,-1.56
Diluted NI Availto Com Stockholders,-75810000.0,-94316000.0,-74451000.0,-85577000.0,-91446000.0
Net Income Common Stockholders,-75810000.0,-94316000.0,-74451000.0,-85577000.0,-91446000.0
Net Income,-75810000.0,-94316000.0,-74451000.0,-85577000.0,-91446000.0
Net Income Including Noncontrolling Interests,-75810000.0,-94316000.0,-74451000.0,-85577000.0,-91446000.0
Net Income Continuous Operations,-75810000.0,-94316000.0,-74451000.0,-85577000.0,-91446000.0
Pretax Income,-75810000.0,-94316000.0,-74451000.0,-85577000.0,-91446000.0
Other Income Expense,-155000.0,-22000.0,49000.0,-8000.0,-6000.0
Other Non Operating Income Expenses,-155000.0,-22000.0,49000.0,-8000.0,-6000.0
Net Non Operating Interest Income Expense,-15731000.0,-15431000.0,-15083000.0,-14773000.0,-14140000.0
Interest Expense Non Operating,17518000.0,18071000.0,18593000.0,18484000.0,17764000.0
Interest Income Non Operating,1787000.0,2640000.0,3510000.0,3711000.0,3624000.0
Operating Income,-59924000.0,-78863000.0,-59417000.0,-70796000.0,-77300000.0
Operating Expense,94389000.0,103658000.0,85266000.0,84792000.0,83248000.0
Research And Development,9076000.0,9184000.0,8583000.0,8693000.0,7376000.0
Selling General And Administration,85313000.0,94474000.0,76683000.0,76099000.0,75872000.0
Gross Profit,34465000.0,24795000.0,25849000.0,13996000.0,5948000.0
Cost Of Revenue,5038000.0,3724000.0,3815000.0,2356000.0,1376000.0
Total Revenue,39503000.0,28519000.0,29664000.0,16352000.0,7324000.0
Operating Revenue,39503000.0,28519000.0,29664000.0,16352000.0,7324000.0
