,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-2790624.0,-1005720.0,-1335222.925305,-1088360.0,-840180.0,,
Tax Rate For Calcs,0.246,0.232,0.227854,0.23,0.228,,
Normalized EBITDA,843687000.0,710267000.0,1212902000.0,933132000.0,1073944000.0,,
Total Unusual Items,-11344000.0,-4335000.0,-5860000.0,-4732000.0,-3685000.0,,
Total Unusual Items Excluding Goodwill,-11344000.0,-4335000.0,-5860000.0,-4732000.0,-3685000.0,,
Net Income From Continuing Operation Net Minority Interest,608483000.0,522799000.0,913239000.0,697914000.0,809133000.0,,
Reconciled Depreciation,25046000.0,24668000.0,24187000.0,22084000.0,21830000.0,,
Reconciled Cost Of Revenue,3182804000.0,2802739000.0,3545402000.0,3155873000.0,3186357000.0,,
EBITDA,832343000.0,705932000.0,1207042000.0,928400000.0,1070259000.0,,
EBIT,807297000.0,681264000.0,1182855000.0,906316000.0,1048429000.0,,
Net Interest Income,9440000.0,10135000.0,11091000.0,13628000.0,17024000.0,,
Interest Expense,141000.0,127000.0,127000.0,120000.0,117000.0,,
Interest Income,9581000.0,10262000.0,11218000.0,13748000.0,17141000.0,,
Normalized Income,617036376.0,526128280.0,917763777.074695,701557640.0,811977820.0,,
Net Income From Continuing And Discontinued Operation,608483000.0,522799000.0,913239000.0,697914000.0,809133000.0,,
Total Expenses,3598303000.0,3220744000.0,3765228000.0,3584854000.0,3569332000.0,,
Diluted Average Shares,200681000.0,203664000.0,206180000.0,208460000.0,211201000.0,,
Basic Average Shares,199243000.0,202063000.0,204339000.0,206774000.0,209547000.0,,
Diluted EPS,3.03,2.57,4.43,3.35,3.83,,
Basic EPS,3.05,2.59,4.47,3.38,3.86,,
Diluted NI Availto Com Stockholders,608483000.0,522799000.0,913239000.0,697914000.0,809133000.0,,
Average Dilution Earnings,,,,,,,18000.0
Net Income Common Stockholders,608483000.0,522799000.0,913239000.0,697914000.0,809133000.0,,
Otherunder Preferred Stock Dividend,,,,,,,2447000.0
Net Income,608483000.0,522799000.0,913239000.0,697914000.0,809133000.0,,
Net Income Including Noncontrolling Interests,608483000.0,522799000.0,913239000.0,697914000.0,809133000.0,,
Net Income Continuous Operations,608483000.0,522799000.0,913239000.0,697914000.0,809133000.0,,
Tax Provision,198673000.0,158338000.0,269489000.0,208282000.0,239179000.0,,
Pretax Income,807156000.0,681137000.0,1182728000.0,906196000.0,1048312000.0,,
Other Income Expense,-7736000.0,-904000.0,15071000.0,1080000.0,965000.0,,
Other Non Operating Income Expenses,3199000.0,2929000.0,19307000.0,3304000.0,2483000.0,,
Special Income Charges,-11344000.0,-4335000.0,-5860000.0,-4732000.0,-3685000.0,,
Other Special Charges,,,0.0,,158000.0,64000.0,-301000.0
Write Off,11344000.0,4335000.0,5860000.0,4732000.0,3685000.0,,
Earnings From Equity Interest,409000.0,502000.0,1624000.0,2508000.0,2167000.0,,
Net Non Operating Interest Income Expense,9440000.0,10135000.0,11091000.0,13628000.0,17024000.0,,
Interest Expense Non Operating,141000.0,127000.0,127000.0,120000.0,117000.0,,
Interest Income Non Operating,9581000.0,10262000.0,11218000.0,13748000.0,17141000.0,,
Operating Income,805452000.0,671906000.0,1156566000.0,891488000.0,1030323000.0,,
Operating Expense,392754000.0,395704000.0,198137000.0,409395000.0,363643000.0,,
Depreciation Amortization Depletion Income Statement,2301000.0,2367000.0,2498000.0,2498000.0,2498000.0,,
Depreciation And Amortization In Income Statement,2301000.0,2367000.0,2498000.0,2498000.0,2498000.0,,
Amortization,2301000.0,2367000.0,2498000.0,2498000.0,2498000.0,,
Amortization Of Intangibles Income Statement,2301000.0,2367000.0,2498000.0,2498000.0,2498000.0,,
Selling General And Administration,390453000.0,393337000.0,195639000.0,406897000.0,361145000.0,,
Gross Profit,1198206000.0,1067610000.0,1354703000.0,1300883000.0,1393966000.0,,
Cost Of Revenue,3205549000.0,2825040000.0,3567091000.0,3175459000.0,3205689000.0,,
Total Revenue,4403755000.0,3892650000.0,4921794000.0,4476342000.0,4599655000.0,,
Operating Revenue,4403755000.0,3892650000.0,4921794000.0,4476342000.0,4599655000.0,,
