GradeDate,Firm,ToGrade,FromGrade,Action
2024-07-25 11:25:48,DA Davidson,Buy,Neutral,up
2024-07-24 18:17:23,Citigroup,Neutral,Neutral,main
2024-07-24 17:37:58,RBC Capital,Sector Perform,Sector Perform,main
2024-07-24 16:30:39,Baird,Outperform,Outperform,main
2024-07-24 15:01:16,Longbow Research,Neutral,Buy,down
2024-07-24 13:04:29,Roth MKM,Neutral,Neutral,main
2024-07-24 12:57:22,Keybanc,Overweight,Overweight,main
2024-07-24 12:28:10,B of A Securities,Neutral,Neutral,main
2024-07-24 11:13:25,BMO Capital,Market Perform,Market Perform,main
2024-07-16 16:20:37,Citigroup,Neutral,Neutral,main
2024-07-08 15:41:38,Truist Securities,Hold,Hold,main
2024-07-03 11:17:55,Baird,Outperform,Outperform,main
2024-07-02 17:37:27,DA Davidson,Neutral,Neutral,main
2024-04-24 17:54:49,Citigroup,Neutral,Neutral,main
2024-04-24 16:32:57,RBC Capital,Sector Perform,Sector Perform,main
2024-04-24 13:02:41,Truist Securities,Hold,Hold,main
2024-04-24 10:45:31,Baird,Outperform,Outperform,main
2024-04-08 21:27:20,Longbow Research,Buy,Neutral,up
2024-04-03 11:10:54,B of A Securities,Neutral,,init
2024-03-05 15:39:38,DA Davidson,Neutral,Neutral,reit
2024-01-31 19:34:28,Truist Securities,Hold,Hold,main
2024-01-31 17:37:23,BMO Capital,Market Perform,Market Perform,main
2024-01-31 16:52:27,RBC Capital,Sector Perform,Sector Perform,main
2024-01-17 11:54:56,Morgan Stanley,Overweight,Equal-Weight,up
2024-01-12 12:53:56,Keybanc,Overweight,Overweight,main
2023-12-15 17:40:48,DA Davidson,Neutral,Neutral,main
2023-10-25 17:41:00,Truist Securities,Hold,Hold,main
2023-10-25 16:43:23,RBC Capital,Sector Perform,Sector Perform,main
2023-10-25 15:01:54,Roth MKM,Neutral,Neutral,main
2023-10-25 12:48:19,Morgan Stanley,Equal-Weight,Equal-Weight,main
2023-10-25 09:44:17,Keybanc,Overweight,Overweight,main
2023-10-04 11:19:28,Baird,Outperform,Outperform,main
2023-09-27 12:00:58,Morgan Stanley,Equal-Weight,,init
2023-09-12 16:10:17,Citigroup,Neutral,Neutral,main
2023-09-07 13:56:08,Baird,Outperform,Outperform,reit
2023-07-27 15:15:57,Citigroup,Neutral,Neutral,main
2023-07-26 16:55:09,Truist Securities,Hold,Hold,main
2023-07-26 14:13:32,RBC Capital,Sector Perform,Sector Perform,main
2023-07-26 12:00:53,BMO Capital,Market Perform,Market Perform,main
2023-07-26 08:07:11,Keybanc,Overweight,Overweight,main
2023-07-19 18:19:59,Citigroup,Neutral,Neutral,main
2023-07-18 10:32:41,Raymond James,Market Perform,Strong Buy,down
2023-07-17 08:16:12,Keybanc,Overweight,Overweight,main
2023-04-05 12:53:20,Truist Securities,Hold,,main
2023-03-21 14:02:44,RBC Capital,Sector Perform,,main
2023-02-02 13:56:26,DA Davidson,Neutral,,main
2023-02-02 13:45:12,Citigroup,Neutral,,main
2023-02-01 12:15:50,Raymond James,Strong Buy,,main
2023-02-01 12:03:25,Baird,Outperform,,main
2023-01-27 13:12:21,UBS,Neutral,Buy,down
2023-01-13 13:25:45,Northcoast Research,Neutral,Buy,down
2022-12-08 10:22:47,BMO Capital,Market Perform,Outperform,down
2022-11-30 10:00:13,MKM Partners,Neutral,,init
2022-10-26 12:03:22,Raymond James,Strong Buy,,main
2022-10-19 10:20:31,Citigroup,Neutral,Buy,down
2022-10-06 12:20:18,Baird,Outperform,,main
2022-10-05 12:42:09,Truist Securities,Hold,,main
2022-07-27 11:37:36,Raymond James,Strong Buy,,main
2022-06-28 12:20:44,Jefferies,Hold,,init
2022-05-05 09:02:19,DA Davidson,Neutral,,init
2022-04-27 11:47:48,Raymond James,Strong Buy,,main
