,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-2367217.647578,2070482.537051,39697704.209662,1691295.421317,14599534.306906,,
Tax Rate For Calcs,0.036247,0.063527,0.060789,0.003947,0.045109,,
Normalized EBITDA,1620104000.0,1534369000.0,1637743000.0,1518534000.0,1476480000.0,,
Total Unusual Items,-65308000.0,32592000.0,653043000.0,428509000.0,323652000.0,,
Total Unusual Items Excluding Goodwill,-65308000.0,32592000.0,653043000.0,428509000.0,323652000.0,,
Net Income From Continuing Operation Net Minority Interest,571229000.0,592953000.0,1278853000.0,1005719000.0,861348000.0,,
Reconciled Depreciation,657221000.0,652058000.0,656444000.0,649265000.0,637305000.0,,
Reconciled Cost Of Revenue,552880000.0,549094000.0,519635000.0,488767000.0,515771000.0,,
EBITDA,1554796000.0,1566961000.0,2290786000.0,1947043000.0,1800132000.0,,
EBIT,897575000.0,914903000.0,1634342000.0,1297778000.0,1162827000.0,,
Net Interest Income,-251866000.0,-232000000.0,-231932000.0,-230113000.0,-208267000.0,,
Interest Expense,251866000.0,232000000.0,205296000.0,230113000.0,208267000.0,,
Normalized Income,634169782.352422,562431482.537051,665507704.209662,578901295.421317,552295534.306906,,
Net Income From Continuing And Discontinued Operation,571229000.0,592953000.0,1278853000.0,1005719000.0,861348000.0,,
Total Expenses,1328678000.0,1325502000.0,1286476000.0,1251869000.0,1271116000.0,,
Total Operating Income As Reported,912712000.0,878413000.0,1421256000.0,1250971000.0,1023338000.0,,
Diluted Average Shares,955882000.0,956080000.0,,953813000.0,953200000.0,953912000.0,
Basic Average Shares,928476000.0,927338000.0,,926427000.0,926276000.0,925322000.0,
Diluted EPS,0.61,0.63,,1.08,0.92,0.63,
Basic EPS,0.61,0.64,,1.08,0.93,0.63,
Diluted NI Availto Com Stockholders,583660000.0,606492000.0,1309580000.0,1029397000.0,881396000.0,,
Average Dilution Earnings,13936000.0,14991000.0,32201000.0,25130000.0,21551000.0,,
Net Income Common Stockholders,569724000.0,591501000.0,1277379000.0,1004267000.0,859845000.0,,
Preferred Stock Dividends,1505000.0,1452000.0,1474000.0,1452000.0,1503000.0,,
Net Income,571229000.0,592953000.0,1278853000.0,1005719000.0,861348000.0,,
Minority Interests,-51075000.0,-46567000.0,-63323000.0,-57732000.0,-50153000.0,,
Net Income Including Noncontrolling Interests,622304000.0,639520000.0,1342176000.0,1063451000.0,911501000.0,,
Net Income Continuous Operations,622304000.0,639520000.0,1342176000.0,1063451000.0,911501000.0,,
Tax Provision,23405000.0,43383000.0,86870000.0,4214000.0,43059000.0,,
Pretax Income,645709000.0,682903000.0,1429046000.0,1067665000.0,954560000.0,,
Other Income Expense,42384000.0,100491000.0,747108000.0,513258000.0,425989000.0,,
Special Income Charges,0.0,0.0,0.0,0.0,0.0,,
Other Special Charges,,,0.0,,,-536000.0,0.0
Earnings From Equity Interest,107692000.0,67899000.0,94065000.0,84749000.0,102337000.0,,
Gain On Sale Of Security,-65308000.0,32592000.0,653043000.0,428509000.0,323652000.0,,
Net Non Operating Interest Income Expense,-251866000.0,-232000000.0,-231932000.0,-230113000.0,-208267000.0,,
Interest Expense Non Operating,251866000.0,232000000.0,205296000.0,230113000.0,208267000.0,,
Operating Income,855191000.0,814163000.0,914170000.0,784520000.0,736838000.0,,
Operating Expense,775798000.0,776408000.0,766841000.0,763102000.0,755345000.0,,
Other Operating Expenses,11706000.0,9649000.0,7673000.0,15683000.0,11444000.0,,
Depreciation Amortization Depletion Income Statement,657221000.0,652058000.0,656444000.0,649265000.0,637305000.0,,
Depreciation And Amortization In Income Statement,657221000.0,652058000.0,656444000.0,649265000.0,637305000.0,,
Selling General And Administration,106871000.0,114701000.0,102724000.0,98154000.0,106596000.0,,
General And Administrative Expense,106871000.0,114701000.0,102724000.0,98154000.0,106596000.0,,
Other Gand A,106871000.0,114701000.0,102724000.0,98154000.0,106596000.0,,
Gross Profit,1630989000.0,1590571000.0,1681011000.0,1547622000.0,1492183000.0,,
Cost Of Revenue,552880000.0,549094000.0,519635000.0,488767000.0,515771000.0,,
Total Revenue,2183869000.0,2139665000.0,2200646000.0,2036389000.0,2007954000.0,,
Operating Revenue,2183869000.0,2139665000.0,2200646000.0,2036389000.0,2007954000.0,,
