,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,2545368.9,0.0,,
Tax Rate For Calcs,0.0,0.0,0.0,0.15,0.0,,
Normalized EBITDA,-10117029.0,-7347903.0,-5805604.0,-7693301.0,-2682744.0,,
Total Unusual Items,,,5567397.0,16969126.0,59087.0,-14132.0,183170.0
Total Unusual Items Excluding Goodwill,,,5567397.0,16969126.0,59087.0,-14132.0,183170.0
Net Income From Continuing Operation Net Minority Interest,-10117029.0,-7347903.0,-238207.0,9275825.0,-2623657.0,,
Reconciled Depreciation,,,0.0,0.0,0.0,0.0,18021.0
EBITDA,-10117029.0,-7347903.0,-238207.0,9275825.0,-2623657.0,,
EBIT,-10117029.0,-7347903.0,-238207.0,9275825.0,-2623657.0,,
Net Interest Income,0.0,0.0,0.0,0.0,0.0,,
Interest Expense,0.0,0.0,0.0,0.0,0.0,,
Normalized Income,-10117029.0,-7347903.0,-5805604.0,-5147932.1,-2682744.0,,
Net Income From Continuing And Discontinued Operation,-10117029.0,-7347903.0,-238207.0,9275825.0,-2623657.0,,
Total Expenses,10184661.0,7460095.0,6002445.0,4434677.0,2713706.0,,
Total Operating Income As Reported,-10184661.0,-7460095.0,-6002445.0,-4434677.0,-2713706.0,,
Diluted Average Shares,34851203.0,34851203.0,,30067095.0,19770739.0,19533976.0,
Basic Average Shares,34851203.0,34851203.0,,30023675.0,19770739.0,19533976.0,
Diluted EPS,-0.29,-0.21,,0.31,-0.13,-0.19,
Basic EPS,-0.29,-0.21,,0.31,-0.13,-0.19,
Diluted NI Availto Com Stockholders,-10117029.0,-7347903.0,-238207.0,9275825.0,-2623657.0,,
Net Income Common Stockholders,-10117029.0,-7347903.0,-238207.0,9275825.0,-2623657.0,,
Net Income,-10117029.0,-7347903.0,-238207.0,9275825.0,-2623657.0,,
Net Income Including Noncontrolling Interests,-10117029.0,-7347903.0,-238207.0,9275825.0,-2623657.0,,
Net Income Continuous Operations,-10117029.0,-7347903.0,-238207.0,9275825.0,-2623657.0,,
Pretax Income,-10117029.0,-7347903.0,-238207.0,9275825.0,-2623657.0,,
Other Income Expense,67632.0,112192.0,5764238.0,13710502.0,90049.0,,
Other Non Operating Income Expenses,67632.0,112192.0,196841.0,-3258624.0,30962.0,,
Special Income Charges,,,,,,,0.0
Gain On Sale Of Security,,,5567397.0,16969126.0,59087.0,-14132.0,183170.0
Net Non Operating Interest Income Expense,0.0,0.0,0.0,0.0,0.0,,
Interest Expense Non Operating,0.0,0.0,0.0,0.0,0.0,,
Operating Income,-10184661.0,-7460095.0,-6002445.0,-4434677.0,-2713706.0,,
Operating Expense,10184661.0,7460095.0,6002445.0,4434677.0,2713706.0,,
Research And Development,8749784.0,5464250.0,4324603.0,2563774.0,1625821.0,,
Selling General And Administration,1434877.0,1995845.0,1677842.0,1870903.0,1087885.0,,
General And Administrative Expense,1434877.0,1995845.0,1677842.0,1870903.0,1087885.0,,
Other Gand A,860124.0,1012772.0,2664267.0,1294056.0,909201.0,,
Salaries And Wages,574753.0,983073.0,,576847.0,178684.0,230894.0,
Total Revenue,0.0,0.0,0.0,0.0,0.0,,
Operating Revenue,0.0,0.0,0.0,0.0,0.0,,
