,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-1475887.656033,-1715666.0,-3898842.015134,-2349177.0,-1901075.0,
Tax Rate For Calcs,0.270458,0.227,0.271886,0.269,0.275,
Normalized EBITDA,73454000.0,77552000.0,63144000.0,64230000.0,63108000.0,
Total Unusual Items,-5457000.0,-7558000.0,-14340000.0,-8733000.0,-6913000.0,
Total Unusual Items Excluding Goodwill,-5457000.0,-7558000.0,-14340000.0,-8733000.0,-6913000.0,
Net Income From Continuing Operation Net Minority Interest,41028000.0,43688000.0,31464000.0,38255000.0,38429000.0,
Reconciled Depreciation,10148000.0,11807000.0,5507000.0,3053000.0,3069000.0,
Reconciled Cost Of Revenue,50241000.0,48542000.0,35199000.0,28287000.0,27516000.0,
EBITDA,67997000.0,69994000.0,48804000.0,55497000.0,56195000.0,
EBIT,57849000.0,58187000.0,43297000.0,52444000.0,53126000.0,
Net Interest Income,4849000.0,4794000.0,7224000.0,7620000.0,7078000.0,
Interest Expense,1611000.0,1682000.0,84000.0,82000.0,112000.0,
Interest Income,6460000.0,6476000.0,7308000.0,7702000.0,7190000.0,
Normalized Income,45009112.343967,49530334.0,41905157.984866,44638823.0,43440925.0,
Net Income From Continuing And Discontinued Operation,41028000.0,43688000.0,31464000.0,38255000.0,38429000.0,
Total Expenses,152725000.0,153719000.0,124916000.0,116301000.0,113821000.0,
Rent Expense Supplemental,5903000.0,6459000.0,,1680000.0,1461000.0,2247000.0
Total Operating Income As Reported,51399000.0,51727000.0,37175000.0,44794000.0,46006000.0,
Diluted Average Shares,,66872000.0,67456000.0,67312000.0,67077000.0,66841000.0
Basic Average Shares,,65680000.0,65718000.0,65699000.0,65611000.0,65555000.0
Diluted EPS,,0.65,0.47,0.57,0.57,0.59
Basic EPS,,0.67,0.48,0.58,0.59,0.6
Diluted NI Availto Com Stockholders,41028000.0,43688000.0,31464000.0,38255000.0,38429000.0,
Net Income Common Stockholders,41028000.0,43688000.0,31464000.0,38255000.0,38429000.0,
Net Income,41028000.0,43688000.0,31464000.0,38255000.0,38429000.0,
Net Income Including Noncontrolling Interests,41028000.0,43688000.0,31464000.0,38255000.0,38429000.0,
Net Income Continuous Operations,41028000.0,43688000.0,31464000.0,38255000.0,38429000.0,
Tax Provision,15210000.0,12817000.0,11749000.0,14107000.0,14585000.0,
Pretax Income,56238000.0,56505000.0,43213000.0,52362000.0,53014000.0,
Other Income Expense,-5467000.0,-7574000.0,-15526000.0,-8785000.0,-6983000.0,
Other Non Operating Income Expenses,-10000.0,-16000.0,-1186000.0,-52000.0,-70000.0,
Special Income Charges,-5457000.0,-7558000.0,-14340000.0,-8733000.0,-6913000.0,
Write Off,5457000.0,7558000.0,14340000.0,8733000.0,6913000.0,
Net Non Operating Interest Income Expense,4849000.0,4794000.0,7224000.0,7620000.0,7078000.0,
Interest Expense Non Operating,1611000.0,1682000.0,84000.0,82000.0,112000.0,
Interest Income Non Operating,6460000.0,6476000.0,7308000.0,7702000.0,7190000.0,
Operating Income,56856000.0,59285000.0,51515000.0,53527000.0,52919000.0,
Operating Expense,102484000.0,105177000.0,89717000.0,88014000.0,86305000.0,
Depreciation Amortization Depletion Income Statement,10148000.0,11807000.0,5507000.0,3053000.0,3069000.0,
Depreciation And Amortization In Income Statement,10148000.0,11807000.0,5507000.0,3053000.0,3069000.0,
Selling General And Administration,92336000.0,93370000.0,84210000.0,84961000.0,83236000.0,
Selling And Marketing Expense,27039000.0,27958000.0,26785000.0,26807000.0,23132000.0,
General And Administrative Expense,65297000.0,65412000.0,57425000.0,58154000.0,60104000.0,
Other Gand A,65297000.0,65412000.0,57425000.0,58154000.0,60104000.0,
Gross Profit,159340000.0,164462000.0,141232000.0,141541000.0,139224000.0,
Cost Of Revenue,50241000.0,48542000.0,35199000.0,28287000.0,27516000.0,
Total Revenue,209581000.0,213004000.0,176431000.0,169828000.0,166740000.0,
Operating Revenue,208375000.0,211848000.0,175227000.0,168442000.0,165404000.0,
