,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,50610.0,-401310.0,33058.789425,-2958060.0,3925530.0,,
Tax Rate For Calcs,0.21,0.21,0.013103,0.21,0.21,,
Normalized EBITDA,-5270000.0,-7400000.0,1241000.0,-6140000.0,-8048000.0,,
Total Unusual Items,241000.0,-1911000.0,2523000.0,-14086000.0,18693000.0,,
Total Unusual Items Excluding Goodwill,241000.0,-1911000.0,2523000.0,-14086000.0,18693000.0,,
Net Income From Continuing Operation Net Minority Interest,-17345000.0,-19137000.0,-8479000.0,-39228000.0,27000.0,,
Reconciled Depreciation,4831000.0,5050000.0,7907000.0,14627000.0,6439000.0,,
Reconciled Cost Of Revenue,67417000.0,63125000.0,73696000.0,83405000.0,71331000.0,,
EBITDA,-5029000.0,-9311000.0,3764000.0,-20226000.0,10645000.0,,
EBIT,-9860000.0,-14361000.0,-4143000.0,-34853000.0,4206000.0,,
Net Interest Income,-7457000.0,-4764000.0,-4481000.0,-4394000.0,-4161000.0,,
Interest Expense,7457000.0,4764000.0,4481000.0,4394000.0,4161000.0,,
Normalized Income,-17535390.0,-17627310.0,-10968941.210575,-28100060.0,-14740470.0,,
Net Income From Continuing And Discontinued Operation,-17345000.0,-19137000.0,-8479000.0,-39228000.0,27000.0,,
Total Expenses,115202000.0,116690000.0,135577000.0,146530000.0,134811000.0,,
Total Operating Income As Reported,-14239000.0,-14479000.0,-7694000.0,-46813000.0,-14540000.0,,
Diluted Average Shares,108230000.0,107596000.0,107710000.0,107508000.0,107779000.0,,
Basic Average Shares,108230000.0,107596000.0,107528000.0,107508000.0,107489000.0,,
Diluted EPS,-0.16,-0.18,-0.08,-0.36,0.0,,
Basic EPS,-0.16,-0.18,-0.08,-0.36,0.0,,
Diluted NI Availto Com Stockholders,-17345000.0,-19137000.0,-8680000.0,-39228000.0,-9000.0,,
Average Dilution Earnings,0.0,,-201000.0,0.0,-36000.0,0.0,
Net Income Common Stockholders,-17345000.0,-19137000.0,-8479000.0,-39228000.0,27000.0,,
Net Income,-17345000.0,-19137000.0,-8479000.0,-39228000.0,27000.0,,
Minority Interests,26000.0,29000.0,32000.0,82000.0,36000.0,,
Net Income Including Noncontrolling Interests,-17371000.0,-19166000.0,-8511000.0,-39310000.0,-9000.0,,
Net Income Continuous Operations,-17371000.0,-19166000.0,-8511000.0,-39310000.0,-9000.0,,
Tax Provision,54000.0,41000.0,-113000.0,63000.0,54000.0,,
Pretax Income,-17317000.0,-19125000.0,-8624000.0,-39247000.0,45000.0,,
Other Income Expense,242000.0,-1842000.0,2459000.0,-6921000.0,18746000.0,,
Other Non Operating Income Expenses,1000.0,69000.0,-64000.0,7165000.0,53000.0,,
Special Income Charges,-4137000.0,-1960000.0,-1092000.0,-18881000.0,0.0,,
Other Special Charges,,,0.0,,,3394000.0,0.0
Impairment Of Capital Assets,,,0.0,0.0,,,0.0
Restructuring And Mergern Acquisition,4137000.0,1960000.0,1092000.0,18881000.0,0.0,,
Gain On Sale Of Security,4378000.0,49000.0,3615000.0,4795000.0,18693000.0,,
Net Non Operating Interest Income Expense,-7457000.0,-4764000.0,-4481000.0,-4394000.0,-4161000.0,,
Interest Expense Non Operating,7457000.0,4764000.0,4481000.0,4394000.0,4161000.0,,
Operating Income,-10102000.0,-12519000.0,-6602000.0,-27932000.0,-14540000.0,,
Operating Expense,47785000.0,53565000.0,61881000.0,63125000.0,63480000.0,,
Research And Development,2178000.0,2452000.0,2390000.0,2920000.0,3986000.0,,
Selling General And Administration,45607000.0,51113000.0,59491000.0,60205000.0,59494000.0,,
Selling And Marketing Expense,30616000.0,36626000.0,45485000.0,42939000.0,41377000.0,,
General And Administrative Expense,14991000.0,14487000.0,14006000.0,17266000.0,18117000.0,,
Other Gand A,14991000.0,14487000.0,14006000.0,17266000.0,18117000.0,,
Gross Profit,37683000.0,41046000.0,55279000.0,35193000.0,48940000.0,,
Cost Of Revenue,67417000.0,63125000.0,73696000.0,83405000.0,71331000.0,,
Total Revenue,105100000.0,104171000.0,128975000.0,118598000.0,120271000.0,,
Operating Revenue,105100000.0,104171000.0,128975000.0,118598000.0,120271000.0,,
