,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.21,0.0,0.21,0.21,0.21,,
Net Income From Continuing Operation Net Minority Interest,7169976.0,-8389211.0,11917627.0,7555185.0,5312813.0,,
Net Interest Income,18249386.0,17357756.0,19772290.0,20309527.0,20463519.0,,
Interest Expense,12576374.0,12969757.0,14159616.0,15670636.0,14997028.0,,
Interest Income,30825760.0,30327513.0,33931906.0,35980163.0,35460547.0,,
Normalized Income,7169976.0,-8389211.0,11917627.0,7555185.0,5312813.0,,
Net Income From Continuing And Discontinued Operation,7169976.0,-8389211.0,11917627.0,7555185.0,5312813.0,,
Diluted Average Shares,32349999.0,32602053.0,,32613897.0,32569280.0,31594552.0,
Basic Average Shares,32349999.0,32602053.0,,32613897.0,32569280.0,31594552.0,
Diluted EPS,0.22,-0.26,,0.23,0.16,0.72,
Basic EPS,0.22,-0.26,,0.23,0.16,0.72,
Diluted NI Availto Com Stockholders,7169976.0,-8389211.0,11917627.0,7555185.0,5312813.0,,
Net Income Common Stockholders,7169976.0,-8389211.0,11917627.0,7555185.0,5312813.0,,
Net Income,7169976.0,-8389211.0,11917627.0,7555185.0,5312813.0,,
Net Income Including Noncontrolling Interests,7169976.0,-8389211.0,11917627.0,7555185.0,5312813.0,,
Net Income Continuous Operations,7169976.0,-8389211.0,11917627.0,7555185.0,5312813.0,,
Pretax Income,7169976.0,-8389211.0,11917627.0,7555185.0,5312813.0,,
Gain On Sale Of Security,-5745139.0,-5894493.0,489435.0,-7119299.0,-9411924.0,,
Operating Expense,1085861.0,1154990.0,1354742.0,1252646.0,1094584.0,,
Other Operating Expenses,,,0.0,,,-50511.0,-281509.0
Selling General And Administration,1085861.0,1154990.0,1354742.0,1252646.0,1094584.0,,
General And Administrative Expense,1085861.0,1154990.0,1354742.0,1252646.0,1094584.0,,
Total Revenue,8255837.0,-7234221.0,13272369.0,8807831.0,6407397.0,,
Operating Revenue,8255837.0,-7234221.0,13272369.0,8807831.0,6407397.0,,
