,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-3392144.140166,-3281456.0,-6580244.890824,-1381548.395961,-12184269.83992,
Tax Rate For Calcs,0.241056,0.241,0.298207,0.158,0.17897,
Normalized EBITDA,197976000.0,184367000.0,204613000.0,186677000.0,-91056000.0,
Total Unusual Items,-14072000.0,-13616000.0,-22066000.0,-8744000.0,-68080000.0,
Total Unusual Items Excluding Goodwill,-14072000.0,-13616000.0,-22066000.0,-8744000.0,-68080000.0,
Net Income From Continuing Operation Net Minority Interest,96250000.0,90758000.0,88322000.0,98056000.0,-183460000.0,
Reconciled Depreciation,49478000.0,43908000.0,45552000.0,49993000.0,53393000.0,
Reconciled Cost Of Revenue,151593000.0,132660000.0,144169000.0,145920000.0,410904000.0,
EBITDA,183904000.0,170751000.0,182547000.0,177933000.0,-159136000.0,
EBIT,134426000.0,126843000.0,136995000.0,127940000.0,-212529000.0,
Net Interest Income,6254000.0,8096000.0,3949000.0,6770000.0,5990000.0,
Interest Expense,7605000.0,7294000.0,11143000.0,11484000.0,10922000.0,
Interest Income,13859000.0,15390000.0,15092000.0,18254000.0,16912000.0,
Normalized Income,106929855.859834,101092544.0,103807755.109176,105418451.604039,-127564269.83992,
Net Income From Continuing And Discontinued Operation,96250000.0,90758000.0,88322000.0,98056000.0,-183460000.0,
Total Expenses,397566000.0,358293000.0,380038000.0,381022000.0,656704000.0,
Total Operating Income As Reported,121902000.0,115347000.0,119098000.0,112103000.0,-228437000.0,
Diluted Average Shares,218183000.0,220189000.0,218015972.0,217811805.0,224016000.0,
Basic Average Shares,216556269.0,218377000.0,216115277.0,216138611.0,216070555.0,
Diluted EPS,0.44,0.41,0.401143,0.452571,-0.849075,
Basic EPS,0.444457,0.42,0.40868,0.452571,-0.849075,
Diluted NI Availto Com Stockholders,96250000.0,90758000.0,88322000.0,98056000.0,-183460000.0,
Net Income Common Stockholders,96250000.0,90758000.0,88322000.0,98056000.0,-183460000.0,
Net Income,96250000.0,90758000.0,88322000.0,98056000.0,-183460000.0,
Net Income Including Noncontrolling Interests,96250000.0,90758000.0,88322000.0,98056000.0,-183460000.0,
Net Income Continuous Operations,96250000.0,90758000.0,88322000.0,98056000.0,-183460000.0,
Tax Provision,30571000.0,28791000.0,37530000.0,18400000.0,-39991000.0,
Pretax Income,126821000.0,119549000.0,125852000.0,116456000.0,-223451000.0,
Other Income Expense,-15407000.0,-13716000.0,-19261000.0,-11161000.0,-69084000.0,
Other Non Operating Income Expenses,-1335000.0,,2805000.0,-2417000.0,-1004000.0,-123000.0
Special Income Charges,-14072000.0,-12316000.0,-22066000.0,-8744000.0,-68080000.0,
Write Off,,2500000.0,,,,
Restructuring And Mergern Acquisition,14072000.0,9816000.0,22066000.0,8744000.0,68080000.0,
Earnings From Equity Interest,,-100000.0,,,,
Gain On Sale Of Security,,-1300000.0,,,,
Net Non Operating Interest Income Expense,6254000.0,8096000.0,3949000.0,6770000.0,5990000.0,
Interest Expense Non Operating,7605000.0,7294000.0,11143000.0,11484000.0,10922000.0,
Interest Income Non Operating,13859000.0,15390000.0,15092000.0,18254000.0,16912000.0,
Operating Income,135974000.0,125163000.0,141164000.0,120847000.0,-160357000.0,
Operating Expense,198312000.0,183518000.0,192126000.0,187460000.0,195121000.0,
Depreciation Amortization Depletion Income Statement,1817000.0,1793000.0,1809000.0,2351000.0,2714000.0,
Depreciation And Amortization In Income Statement,1817000.0,1793000.0,1809000.0,2351000.0,2714000.0,
Amortization,1817000.0,1793000.0,1809000.0,2351000.0,2714000.0,
Amortization Of Intangibles Income Statement,1817000.0,1793000.0,1809000.0,2351000.0,2714000.0,
Research And Development,47750000.0,43783000.0,48605000.0,44453000.0,49103000.0,
Selling General And Administration,148745000.0,137942000.0,141712000.0,140656000.0,143304000.0,
Selling And Marketing Expense,118097000.0,106334000.0,113860000.0,111262000.0,114686000.0,
General And Administrative Expense,30648000.0,31608000.0,27852000.0,29394000.0,28618000.0,
Other Gand A,30648000.0,31608000.0,27852000.0,29394000.0,28618000.0,
Gross Profit,334286000.0,308681000.0,333290000.0,308307000.0,34764000.0,
Cost Of Revenue,199254000.0,174775000.0,187912000.0,193562000.0,461583000.0,
Total Revenue,533540000.0,483456000.0,521202000.0,501869000.0,496347000.0,
Operating Revenue,533540000.0,483456000.0,521202000.0,501869000.0,496347000.0,
