,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-41393162.393162,-23403000.0,21406000.0,-8183000.0,-8780991.735537,
Tax Rate For Calcs,0.247863,0.269,0.278,0.167,0.17562,
Normalized EBITDA,726000000.0,595000000.0,639000000.0,706000000.0,743000000.0,
Total Unusual Items,-167000000.0,-87000000.0,77000000.0,-49000000.0,-50000000.0,
Total Unusual Items Excluding Goodwill,-167000000.0,-87000000.0,77000000.0,-49000000.0,-50000000.0,
Net Income From Continuing Operation Net Minority Interest,190000000.0,161000000.0,259000000.0,252000000.0,280000000.0,
Reconciled Depreciation,77000000.0,71000000.0,77000000.0,79000000.0,59000000.0,
Reconciled Cost Of Revenue,1595000000.0,1405000000.0,1552000000.0,1493000000.0,1294000000.0,
EBITDA,559000000.0,508000000.0,716000000.0,657000000.0,693000000.0,
EBIT,482000000.0,437000000.0,639000000.0,578000000.0,634000000.0,
Net Interest Income,-132000000.0,-130000000.0,-135000000.0,-147000000.0,-147000000.0,
Interest Expense,131000000.0,132000000.0,139000000.0,149000000.0,150000000.0,
Interest Income,6000000.0,8000000.0,10000000.0,9000000.0,9000000.0,
Normalized Income,315606837.606838,224597000.0,203406000.0,292817000.0,321219008.264463,
Net Income From Continuing And Discontinued Operation,189000000.0,159000000.0,259000000.0,252000000.0,280000000.0,
Total Expenses,1765000000.0,1592000000.0,1738000000.0,1663000000.0,1468000000.0,
Total Operating Income As Reported,483000000.0,435000000.0,635000000.0,577000000.0,663000000.0,
Diluted Average Shares,457000000.0,456000000.0,455000000.0,454000000.0,453000000.0,
Basic Average Shares,328000000.0,326000000.0,324000000.0,319000000.0,317000000.0,
Diluted EPS,0.57,0.49,0.79,0.79,0.88,
Basic EPS,0.58,0.49,0.8,0.79,0.89,
Diluted NI Availto Com Stockholders,263000000.0,223000000.0,360000000.0,356000000.0,399000000.0,
Average Dilution Earnings,74000000.0,63000000.0,101000000.0,104000000.0,119000000.0,
Net Income Common Stockholders,189000000.0,159000000.0,259000000.0,252000000.0,280000000.0,
Net Income,189000000.0,159000000.0,259000000.0,252000000.0,280000000.0,
Minority Interests,-74000000.0,-62000000.0,-102000000.0,-105000000.0,-119000000.0,
Net Income Including Noncontrolling Interests,263000000.0,221000000.0,361000000.0,357000000.0,399000000.0,
Net Income Discontinuous Operations,-1000000.0,-2000000.0,,,0.0,0.0
Net Income Continuous Operations,264000000.0,223000000.0,361000000.0,357000000.0,399000000.0,
Tax Provision,87000000.0,82000000.0,139000000.0,72000000.0,85000000.0,
Pretax Income,351000000.0,305000000.0,500000000.0,429000000.0,484000000.0,
Other Income Expense,-162000000.0,-82000000.0,77000000.0,-52000000.0,19000000.0,
Special Income Charges,-35000000.0,-12000000.0,-9000000.0,-5000000.0,-56000000.0,
Gain On Sale Of Ppe,-13000000.0,-2000000.0,3000000.0,4000000.0,-8000000.0,
Other Special Charges,1000000.0,3000000.0,-2000000.0,2000000.0,33000000.0,
Restructuring And Mergern Acquisition,21000000.0,7000000.0,14000000.0,7000000.0,15000000.0,
Earnings From Equity Interest,5000000.0,5000000.0,0.0,-3000000.0,69000000.0,
Gain On Sale Of Security,-132000000.0,-75000000.0,86000000.0,-44000000.0,6000000.0,
Net Non Operating Interest Income Expense,-132000000.0,-130000000.0,-135000000.0,-147000000.0,-147000000.0,
Total Other Finance Cost,7000000.0,6000000.0,6000000.0,7000000.0,6000000.0,
Interest Expense Non Operating,131000000.0,132000000.0,139000000.0,149000000.0,150000000.0,
Interest Income Non Operating,6000000.0,8000000.0,10000000.0,9000000.0,9000000.0,
Operating Income,645000000.0,517000000.0,558000000.0,628000000.0,612000000.0,
Operating Expense,170000000.0,187000000.0,186000000.0,170000000.0,174000000.0,
Other Operating Expenses,3000000.0,3000000.0,1000000.0,1000000.0,4000000.0,
Selling General And Administration,167000000.0,184000000.0,185000000.0,169000000.0,170000000.0,
General And Administrative Expense,167000000.0,184000000.0,185000000.0,169000000.0,170000000.0,
Other Gand A,167000000.0,184000000.0,185000000.0,169000000.0,170000000.0,
Gross Profit,815000000.0,704000000.0,744000000.0,798000000.0,786000000.0,
Cost Of Revenue,1595000000.0,1405000000.0,1552000000.0,1493000000.0,1294000000.0,
Total Revenue,2410000000.0,2109000000.0,2296000000.0,2291000000.0,2080000000.0,
Operating Revenue,2410000000.0,2109000000.0,2296000000.0,2291000000.0,2080000000.0,
