GradeDate,Firm,ToGrade,FromGrade,Action
2024-08-05 09:54:53,Macquarie,Outperform,Outperform,main
2024-08-02 18:21:22,Deutsche Bank,Buy,Buy,main
2024-08-02 17:17:16,Roth MKM,Neutral,Neutral,main
2024-08-02 16:47:55,Goldman Sachs,Neutral,Neutral,main
2024-08-02 16:18:01,Benchmark,Buy,Buy,main
2024-08-02 15:33:17,Barclays,Equal-Weight,Equal-Weight,main
2024-08-02 14:04:11,Wedbush,Outperform,Outperform,main
2024-08-02 10:13:12,Needham,Buy,Buy,main
2024-07-30 16:21:56,BMO Capital,Outperform,Outperform,reit
2024-07-29 14:04:59,Roth MKM,Neutral,Neutral,main
2024-07-29 13:05:25,Wedbush,Outperform,Outperform,reit
2024-07-08 16:11:06,Wells Fargo,Overweight,Overweight,main
2024-06-14 12:26:44,Macquarie,Outperform,,init
2024-06-13 15:49:05,Wells Fargo,Overweight,Overweight,main
2024-05-14 09:34:29,Roth MKM,Neutral,Buy,down
2024-05-13 15:53:06,Goldman Sachs,Neutral,Neutral,main
2024-05-13 13:38:00,BMO Capital,Outperform,Outperform,reit
2024-05-10 19:36:53,Barclays,Equal-Weight,Equal-Weight,main
2024-05-10 18:46:40,Canaccord Genuity,Buy,Buy,main
2024-05-10 18:23:43,BTIG,Buy,Buy,main
2024-05-10 16:41:23,MoffettNathanson,Neutral,Sell,up
2024-05-10 16:29:31,Deutsche Bank,Buy,Buy,main
2024-05-10 15:54:22,Wells Fargo,Overweight,Overweight,main
2024-05-10 15:47:06,Morgan Stanley,Equal-Weight,Equal-Weight,main
2024-05-10 15:46:50,Benchmark,Buy,Buy,main
2024-05-10 13:54:05,Wedbush,Outperform,Outperform,main
2024-05-10 13:36:53,Piper Sandler,Overweight,Overweight,reit
2024-05-10 09:31:50,Needham,Buy,Buy,main
2024-05-01 16:04:41,Roth MKM,Buy,Buy,reit
2024-04-23 13:24:09,Benchmark,Buy,Buy,reit
2024-04-23 11:46:50,JP Morgan,Overweight,Neutral,up
2024-04-22 17:40:24,Stifel,Buy,Buy,main
2024-02-09 15:41:14,Goldman Sachs,Neutral,Neutral,main
2024-02-08 18:45:24,BMO Capital,Outperform,Outperform,main
2024-02-08 14:00:59,Roth MKM,Buy,Buy,main
2024-02-08 13:40:13,Wedbush,Outperform,Outperform,main
2024-02-08 11:02:00,Barclays,Equal-Weight,Underweight,up
2024-02-08 10:54:38,Goldman Sachs,Neutral,Sell,up
2024-02-08 10:41:11,Needham,Buy,Buy,main
2024-01-31 14:38:17,Wedbush,Outperform,Outperform,reit
2024-01-24 16:50:31,Benchmark,Buy,Buy,reit
2024-01-23 13:54:46,Benchmark,Buy,Buy,reit
2024-01-19 13:42:25,Goldman Sachs,Sell,Sell,main
2024-01-09 11:46:38,BMO Capital,Outperform,,init
2023-12-13 12:26:13,Wells Fargo,Overweight,,init
2023-11-17 14:14:32,Goldman Sachs,Sell,Sell,main
2023-11-17 09:19:04,Wolfe Research,Peer Perform,Underperform,up
2023-11-16 17:05:46,Benchmark,Buy,Buy,reit
2023-11-16 15:21:24,Piper Sandler,Overweight,Overweight,main
2023-11-16 14:59:10,JP Morgan,Neutral,Neutral,main
2023-11-16 13:49:07,Goldman Sachs,Sell,Sell,main
2023-11-09 21:13:28,Piper Sandler,Overweight,Overweight,main
2023-11-09 16:25:49,Benchmark,Buy,Buy,main
2023-11-09 15:59:48,Wedbush,Outperform,Outperform,main
2023-11-09 13:51:47,Raymond James,Strong Buy,Strong Buy,main
2023-11-09 10:44:24,Needham,Buy,Buy,main
2023-10-27 10:23:48,Truist Securities,Buy,Hold,up
2023-10-27 10:04:06,Raymond James,Strong Buy,,init
2023-10-13 18:37:06,Roth MKM,Buy,Buy,reit
2023-10-05 17:59:22,Jefferies,Buy,Buy,main
2023-10-02 16:51:29,BTIG,Buy,Buy,main
2023-08-18 10:17:37,Truist Securities,Hold,Hold,main
2023-08-17 13:51:35,Citigroup,Buy,Buy,main
2023-08-11 12:20:40,Canaccord Genuity,Buy,Buy,main
2023-08-10 17:02:27,DA Davidson,Buy,Buy,main
2023-08-10 15:28:48,Stifel,Buy,Buy,main
2023-08-10 15:22:14,Benchmark,Buy,Buy,main
2023-08-10 14:24:44,Barclays,Underweight,Underweight,main
2023-08-10 13:37:27,Wedbush,Outperform,Neutral,up
2023-08-10 11:06:19,Needham,Buy,Buy,main
2023-08-10 09:20:38,Morgan Stanley,Equal-Weight,Underweight,up
2023-08-03 12:55:43,Wedbush,Neutral,Neutral,reit
2023-07-18 14:17:36,Truist Securities,Hold,Hold,main
2023-06-28 09:12:37,Needham,Buy,Buy,reit
2023-06-13 09:43:12,Canaccord Genuity,Buy,,init
2023-05-11 12:21:53,Benchmark,Buy,Hold,up
2023-05-11 10:55:48,Needham,Buy,Buy,main
2023-05-11 10:09:47,Barclays,Underweight,Underweight,main
2023-05-11 09:19:29,BTIG,Buy,Buy,main
2023-05-11 09:03:45,Roth MKM,Buy,Neutral,up
2023-05-08 13:40:11,Roth MKM,Neutral,,main
2023-04-17 21:48:49,Needham,Buy,,main
2023-03-10 11:49:52,Jefferies,Buy,Hold,up
2023-02-16 15:21:31,Morgan Stanley,Underweight,,main
2023-02-16 15:18:02,Piper Sandler,Overweight,,main
2023-02-16 14:08:08,DA Davidson,Buy,,main
2023-02-16 13:58:05,Wedbush,Neutral,,main
2023-02-16 13:53:03,Goldman Sachs,Sell,,main
2023-02-16 13:40:45,Citigroup,Buy,,main
2023-02-16 13:33:23,BTIG,Buy,,main
2023-02-16 12:50:05,Credit Suisse,Hold,,main
2023-02-16 11:35:52,Truist Securities,Hold,,main
2023-02-16 11:34:26,Benchmark,Hold,Sell,up
2023-02-16 10:54:36,Needham,Buy,,main
2023-01-26 09:40:31,Oppenheimer,Perform,,init
2023-01-25 12:03:27,Barclays,Underweight,,main
2023-01-19 14:18:45,Goldman Sachs,Sell,,main
2023-01-19 09:47:16,Morgan Stanley,Underweight,Equal-Weight,down
2023-01-18 11:13:41,Needham,Buy,,main
2022-12-21 11:12:42,Wolfe Research,Underperform,Peer Perform,down
2022-12-16 14:19:13,Morgan Stanley,Equal-Weight,,main
2022-11-21 13:10:41,Citigroup,Buy,,main
2022-11-14 14:05:57,Deutsche Bank,Buy,,main
2022-11-10 15:15:26,Goldman Sachs,Sell,,main
2022-11-10 11:55:13,Needham,Buy,,main
