GradeDate,Firm,ToGrade,FromGrade,Action
2024-07-30 18:24:53,Alliance Global Partners,Buy,Buy,main
2024-07-22 17:59:57,Cantor Fitzgerald,Overweight,Overweight,reit
2024-07-22 09:46:40,B. Riley Securities,Neutral,Buy,down
2024-07-15 15:06:54,Cantor Fitzgerald,Overweight,Overweight,reit
2024-07-01 16:09:18,Cantor Fitzgerald,Overweight,Overweight,reit
2024-05-28 14:14:20,Cantor Fitzgerald,Overweight,Overweight,reit
2024-05-10 15:06:40,Cantor Fitzgerald,Overweight,Overweight,main
2024-05-10 14:12:45,Roth MKM,Buy,Buy,main
2024-05-10 14:00:33,Longbow Research,Buy,Buy,main
2024-02-02 12:52:59,Cantor Fitzgerald,Overweight,,init
2023-09-13 13:45:57,Roth MKM,Buy,,init
2023-04-21 10:19:26,B. Riley Securities,Buy,,init
2021-09-28 13:23:13,Jefferies,Buy,,init
