,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,3380797.125973,-201286.254,-1511926.018864,5673434.775,-414569.014434,,
Tax Rate For Calcs,0.228381,0.2503,0.241736,0.2294,0.233263,,
Normalized EBITDA,47029979.0,43554982.0,52798253.0,54157947.0,65279344.0,,
Total Unusual Items,14803347.0,-804180.0,-6254448.0,24731625.0,-1777261.0,,
Total Unusual Items Excluding Goodwill,14803347.0,-804180.0,-6254448.0,24731625.0,-1777261.0,,
Net Income From Continuing Operation Net Minority Interest,20634887.0,9110738.0,5657519.0,33878424.0,22418994.0,,
Reconciled Depreciation,25569914.0,22615983.0,24548849.0,25662123.0,24699421.0,,
Reconciled Cost Of Revenue,51606048.0,47788801.0,51459127.0,52623329.0,49255697.0,,
EBITDA,61833326.0,42750802.0,46543805.0,78889572.0,63502083.0,,
EBIT,36263412.0,20134819.0,21994956.0,53227449.0,38802662.0,,
Net Interest Income,-11687746.0,-9408728.0,-9987731.0,-10610539.0,-10801194.0,,
Interest Expense,9521100.0,7982904.0,14533808.0,9261071.0,9563183.0,,
Interest Income,69658.0,90058.0,124765.0,143704.0,228894.0,,
Normalized Income,9212337.125973,9713631.746,10400040.981136,14820233.775,23781685.985566,,
Net Income From Continuing And Discontinued Operation,20634887.0,9110738.0,5657519.0,33878424.0,22418994.0,,
Total Expenses,59126818.0,56735326.0,59818189.0,59399091.0,57321415.0,,
Total Operating Income As Reported,23475941.0,22355881.0,23622357.0,29845292.0,41817934.0,,
Diluted Average Shares,206982327.0,201072594.0,200723863.0,200723863.0,200428813.0,,
Basic Average Shares,206522356.0,199314182.0,198177046.0,198177046.0,197976721.0,,
Diluted EPS,0.1,0.05,0.03,0.17,0.11,,
Basic EPS,0.1,0.05,0.03,0.17,0.11,,
Diluted NI Availto Com Stockholders,20634887.0,9110738.0,5657519.0,33878424.0,22418994.0,,
Net Income Common Stockholders,20634887.0,9110738.0,5657519.0,33878424.0,22418994.0,,
Net Income,20634887.0,9110738.0,5657519.0,33878424.0,22418994.0,,
Net Income Including Noncontrolling Interests,20634887.0,9110738.0,5657519.0,33878424.0,22418994.0,,
Net Income Continuous Operations,20634887.0,9110738.0,5657519.0,33878424.0,22418994.0,,
Tax Provision,6107425.0,3041177.0,1803629.0,10087954.0,6820485.0,,
Pretax Income,26742312.0,12151915.0,7461148.0,43966378.0,29239479.0,,
Other Income Expense,14954117.0,-795238.0,-6173478.0,24731625.0,-1777261.0,,
Other Non Operating Income Expenses,150770.0,8942.0,80970.0,,,25686.0,72725.0
Special Income Charges,155293.0,124610.0,0.0,0.0,51338.0,,
Gain On Sale Of Ppe,155293.0,124610.0,0.0,0.0,51338.0,,
Gain On Sale Of Security,14648054.0,-928790.0,-6254448.0,24731625.0,-1828599.0,,
Net Non Operating Interest Income Expense,-11687746.0,-9408728.0,-9987731.0,-10610539.0,-10801194.0,,
Total Other Finance Cost,2236304.0,1515882.0,,1493172.0,1466905.0,1461235.0,
Interest Expense Non Operating,9521100.0,7982904.0,14533808.0,9261071.0,9563183.0,,
Interest Income Non Operating,69658.0,90058.0,124765.0,143704.0,228894.0,,
Operating Income,23475941.0,22355881.0,23622357.0,29845292.0,41817934.0,,
Operating Expense,7520770.0,8946525.0,8359062.0,6775762.0,8065718.0,,
Other Operating Expenses,382251.0,326549.0,323085.0,354195.0,352184.0,,
Selling General And Administration,7138519.0,8619976.0,8035977.0,6421567.0,7713534.0,,
General And Administrative Expense,7138519.0,8619976.0,8035977.0,6421567.0,7713534.0,,
Other Gand A,5786680.0,6929018.0,11869674.0,6389480.0,5635756.0,,
Salaries And Wages,1351839.0,1690958.0,,32087.0,2077778.0,1723832.0,
Gross Profit,30996711.0,31302406.0,31981419.0,36621054.0,49883652.0,,
Cost Of Revenue,51606048.0,47788801.0,51459127.0,52623329.0,49255697.0,,
Total Revenue,82602759.0,79091207.0,83440546.0,89244383.0,99139349.0,,
Operating Revenue,82602759.0,79091207.0,83440546.0,89244383.0,99139349.0,,
