,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.222,0.333333,0.267,0.243
Net Income From Continuing Operation Net Minority Interest,180000000.0,286000000.0,148000000.0,156000000.0,203000000.0
EBIT,431000000.0,449000000.0,311000000.0,292000000.0,341000000.0
Net Interest Income,-90000000.0,-80000000.0,-86000000.0,-78000000.0,-72000000.0
Interest Expense,90000000.0,80000000.0,86000000.0,78000000.0,72000000.0
Normalized Income,180000000.0,286000000.0,148000000.0,156000000.0,203000000.0
Net Income From Continuing And Discontinued Operation,180000000.0,286000000.0,148000000.0,156000000.0,203000000.0
Total Expenses,5155000000.0,4906000000.0,4978000000.0,5391000000.0,4588000000.0
Diluted Average Shares,66731000.0,66861000.0,66982000.0,66797000.0,66732000.0
Basic Average Shares,66088000.0,66008000.0,65867000.0,65850000.0,65807000.0
Diluted EPS,2.7,4.27,2.22,2.33,3.03
Basic EPS,2.72,4.33,2.26,2.37,3.07
Diluted NI Availto Com Stockholders,180000000.0,286000000.0,148000000.0,156000000.0,203000000.0
Net Income Common Stockholders,180000000.0,286000000.0,148000000.0,156000000.0,203000000.0
Net Income,180000000.0,286000000.0,148000000.0,156000000.0,203000000.0
Minority Interests,-1000000.0,-2000000.0,-2000000.0,-2000000.0,-1000000.0
Net Income Including Noncontrolling Interests,181000000.0,288000000.0,150000000.0,158000000.0,204000000.0
Net Income Continuous Operations,181000000.0,288000000.0,150000000.0,158000000.0,204000000.0
Tax Provision,160000000.0,81000000.0,75000000.0,56000000.0,65000000.0
Pretax Income,341000000.0,369000000.0,225000000.0,214000000.0,269000000.0
Other Income Expense,84000000.0,88000000.0,147000000.0,150000000.0,147000000.0
Net Non Operating Interest Income Expense,-90000000.0,-80000000.0,-86000000.0,-78000000.0,-72000000.0
Interest Expense Non Operating,90000000.0,80000000.0,86000000.0,78000000.0,72000000.0
Other Operating Expenses,325000000.0,300000000.0,385000000.0,299000000.0,301000000.0
Total Revenue,5496000000.0,5275000000.0,5203000000.0,5605000000.0,4857000000.0
Operating Revenue,5496000000.0,5275000000.0,5203000000.0,5605000000.0,4857000000.0
Loss Adjustment Expense,4096000000.0,3795000000.0,3842000000.0,4298000000.0,3614000000.0
Net Policyholder Benefits And Claims,4096000000.0,3795000000.0,3842000000.0,4298000000.0,3614000000.0
Policyholder Benefits Gross,4096000000.0,3795000000.0,4225000000.0,4298000000.0,3614000000.0
