,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0
Normalized EBITDA,-14946000.0,-17651000.0,-15197000.0,-14299000.0,-13320000.0
Total Unusual Items,-22814000.0,62099000.0,-135567000.0,2020000.0,3415000.0
Total Unusual Items Excluding Goodwill,-22814000.0,62099000.0,-135567000.0,2020000.0,3415000.0
Net Income From Continuing Operation Net Minority Interest,-39654000.0,42619000.0,-152961000.0,-14833000.0,-12421000.0
Reconciled Depreciation,1894000.0,1829000.0,1751000.0,1821000.0,1547000.0
Reconciled Cost Of Revenue,1235000.0,1030000.0,1271000.0,1174000.0,1096000.0
EBITDA,-37760000.0,44448000.0,-150764000.0,-12279000.0,-9905000.0
EBIT,-39654000.0,42619000.0,-152515000.0,-14100000.0,-11452000.0
Net Interest Income,3042000.0,2152000.0,1100000.0,493000.0,249000.0
Interest Expense,0.0,0.0,446000.0,733000.0,969000.0
Interest Income,3042000.0,2152000.0,1546000.0,1226000.0,1218000.0
Normalized Income,-16840000.0,-19480000.0,-17394000.0,-16853000.0,-15836000.0
Net Income From Continuing And Discontinued Operation,-39654000.0,42619000.0,-152961000.0,-14833000.0,-12421000.0
Total Expenses,21683000.0,23104000.0,20768000.0,19724000.0,19171000.0
Total Operating Income As Reported,-19882000.0,-21632000.0,-18494000.0,-17346000.0,-16085000.0
Diluted Average Shares,298254000.0,301595000.0,226364000.0,188389000.0,171903000.0
Basic Average Shares,298254000.0,284698000.0,226364000.0,188389000.0,171903000.0
Diluted EPS,-0.13,0.13,-0.68,-0.08,-0.07
Basic EPS,-0.13,0.15,-0.68,-0.08,-0.07
Diluted NI Availto Com Stockholders,-39654000.0,42619000.0,-152961000.0,-14833000.0,-12421000.0
Average Dilution Earnings,0.0,,,,0.0
Net Income Common Stockholders,-39654000.0,42619000.0,-152961000.0,-14833000.0,-12421000.0
Net Income,-39654000.0,42619000.0,-152961000.0,-14833000.0,-12421000.0
Net Income Including Noncontrolling Interests,-39654000.0,42619000.0,-152961000.0,-14833000.0,-12421000.0
Net Income Continuous Operations,-39654000.0,42619000.0,-152961000.0,-14833000.0,-12421000.0
Tax Provision,0.0,0.0,0.0,0.0,0.0
Pretax Income,-39654000.0,42619000.0,-152961000.0,-14833000.0,-12421000.0
Other Income Expense,-22814000.0,62099000.0,-135567000.0,2020000.0,3415000.0
Special Income Charges,-2257000.0,8837000.0,-44682000.0,820000.0,1315000.0
Restructuring And Mergern Acquisition,2257000.0,-8837000.0,44256000.0,-820000.0,-1315000.0
Gain On Sale Of Security,-20557000.0,53262000.0,-90885000.0,1200000.0,2100000.0
Net Non Operating Interest Income Expense,3042000.0,2152000.0,1100000.0,493000.0,249000.0
Interest Expense Non Operating,0.0,0.0,446000.0,733000.0,969000.0
Interest Income Non Operating,3042000.0,2152000.0,1546000.0,1226000.0,1218000.0
Operating Income,-19882000.0,-21632000.0,-18494000.0,-17346000.0,-16085000.0
Operating Expense,20448000.0,22074000.0,19497000.0,18550000.0,18075000.0
Research And Development,13522000.0,15455000.0,13657000.0,12752000.0,11870000.0
Selling General And Administration,6926000.0,6619000.0,5840000.0,5798000.0,6205000.0
Gross Profit,566000.0,442000.0,1003000.0,1204000.0,1990000.0
Cost Of Revenue,1235000.0,1030000.0,1271000.0,1174000.0,1096000.0
Total Revenue,1801000.0,1472000.0,2274000.0,2378000.0,3086000.0
Operating Revenue,1801000.0,1472000.0,2274000.0,2378000.0,3086000.0
