,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-12-31
Tax Effect Of Unusual Items,-5476.423887,107302.36584,-5155.083762,79632.908382,36188.037363,
Tax Rate For Calcs,0.011702,0.084824,0.085918,0.018029,0.010429,
Normalized EBITDA,102815000.0,74788000.0,79136000.0,89805000.0,106609000.0,
Total Unusual Items,-468000.0,1265000.0,-60000.0,4417000.0,3470000.0,
Total Unusual Items Excluding Goodwill,-468000.0,1265000.0,-60000.0,4417000.0,3470000.0,
Net Income From Continuing Operation Net Minority Interest,28453000.0,3362000.0,5376000.0,20602000.0,37106000.0,
Reconciled Depreciation,47402000.0,46866000.0,46683000.0,46220000.0,45890000.0,
Reconciled Cost Of Revenue,251571000.0,243178000.0,241047000.0,246423000.0,252163000.0,
EBITDA,102347000.0,76053000.0,79076000.0,94222000.0,110079000.0,
EBIT,54945000.0,29187000.0,32393000.0,48002000.0,64189000.0,
Net Interest Income,-24515000.0,-24297000.0,-24085000.0,-24357000.0,-23931000.0,
Interest Expense,25975000.0,25721000.0,26364000.0,26980000.0,26505000.0,
Interest Income,3361000.0,3255000.0,4123000.0,4286000.0,4118000.0,
Normalized Income,28915523.576113,2204302.36584,5430844.916238,16264632.908382,33672188.037363,
Net Income From Continuing And Discontinued Operation,28453000.0,3362000.0,5376000.0,20602000.0,37106000.0,
Total Expenses,310111000.0,302690000.0,300708000.0,305424000.0,311993000.0,
Diluted Average Shares,149598953.0,150909513.0,151751999.0,153240169.0,154105871.0,
Basic Average Shares,149532971.0,150909513.0,151751999.0,153070639.0,153641065.0,
Diluted EPS,0.15,-0.02,-0.01,0.09,0.2,
Basic EPS,0.15,-0.02,-0.01,0.09,0.2,
Diluted NI Availto Com Stockholders,21874000.0,-3203000.0,-1141000.0,14081000.0,30501000.0,
Net Income Common Stockholders,21874000.0,-3203000.0,-1141000.0,14081000.0,30501000.0,
Otherunder Preferred Stock Dividend,300000.0,286000.0,238000.0,242000.0,326000.0,
Preferred Stock Dividends,6279000.0,6279000.0,6279000.0,6279000.0,6279000.0,
Net Income,28453000.0,3362000.0,5376000.0,20602000.0,37106000.0,
Minority Interests,-178000.0,190000.0,-135000.0,-41000.0,-185000.0,
Net Income Including Noncontrolling Interests,28631000.0,3172000.0,5511000.0,20643000.0,37291000.0,
Net Income Continuous Operations,28631000.0,3172000.0,5511000.0,20643000.0,37291000.0,
Tax Provision,339000.0,294000.0,518000.0,379000.0,393000.0,
Pretax Income,28970000.0,3466000.0,6029000.0,21022000.0,37684000.0,
Other Income Expense,493000.0,2334000.0,833000.0,5059000.0,4311000.0,
Other Non Operating Income Expenses,1148000.0,888000.0,673000.0,791000.0,687000.0,
Special Income Charges,-90000.0,-56000.0,-21000.0,-338000.0,-76000.0,
Other Special Charges,34000.0,,0.0,129000.0,,0.0
Restructuring And Mergern Acquisition,56000.0,56000.0,21000.0,209000.0,76000.0,
Earnings From Equity Interest,-187000.0,181000.0,220000.0,-149000.0,154000.0,
Gain On Sale Of Security,-378000.0,1321000.0,-39000.0,4755000.0,3546000.0,
Net Non Operating Interest Income Expense,-24515000.0,-24297000.0,-24085000.0,-24357000.0,-23931000.0,
Total Other Finance Cost,1901000.0,1831000.0,1844000.0,1663000.0,1544000.0,
Interest Expense Non Operating,25975000.0,25721000.0,26364000.0,26980000.0,26505000.0,
Interest Income Non Operating,3361000.0,3255000.0,4123000.0,4286000.0,4118000.0,
Operating Income,52992000.0,25429000.0,29281000.0,40320000.0,57304000.0,
Operating Expense,57501000.0,58434000.0,58364000.0,57673000.0,58414000.0,
Depreciation Amortization Depletion Income Statement,46363000.0,45788000.0,45386000.0,44892000.0,44474000.0,
Depreciation And Amortization In Income Statement,46363000.0,45788000.0,45386000.0,44892000.0,44474000.0,
Selling General And Administration,11138000.0,12646000.0,12978000.0,12781000.0,13940000.0,
General And Administrative Expense,11138000.0,12646000.0,12978000.0,12781000.0,13940000.0,
Other Gand A,11138000.0,12646000.0,12978000.0,12781000.0,13940000.0,
Gross Profit,110493000.0,83863000.0,87645000.0,97993000.0,115718000.0,
Cost Of Revenue,252610000.0,244256000.0,242344000.0,247751000.0,253579000.0,
Total Revenue,363103000.0,328119000.0,329989000.0,345744000.0,369297000.0,
Operating Revenue,338035000.0,305167000.0,307283000.0,320597000.0,344495000.0,
