,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,
Normalized EBITDA,219276000.0,548853000.0,400012000.0,761335000.0,290714000.0,
Total Unusual Items,-59973000.0,-50159000.0,100000.0,111529000.0,-47324000.0,
Total Unusual Items Excluding Goodwill,-59973000.0,-50159000.0,100000.0,111529000.0,-47324000.0,
Net Income From Continuing Operation Net Minority Interest,30176000.0,238349000.0,208214000.0,543987000.0,102004000.0,
Reconciled Depreciation,,,,,,0.0
EBITDA,159303000.0,498694000.0,400112000.0,872864000.0,243390000.0,
EBIT,159303000.0,498694000.0,400112000.0,872864000.0,243390000.0,
Net Interest Income,-60341000.0,-53971000.0,-56724000.0,-48998000.0,-35632000.0,
Interest Expense,68668000.0,65261000.0,65761000.0,66506000.0,49013000.0,
Interest Income,8327000.0,11290000.0,9037000.0,17508000.0,13381000.0,
Normalized Income,90149000.0,288508000.0,208114000.0,432458000.0,149328000.0,
Net Income From Continuing And Discontinued Operation,30176000.0,238349000.0,208214000.0,543987000.0,102004000.0,
Total Expenses,368866000.0,34065000.0,232127000.0,-170384000.0,267637000.0,
Total Operating Income As Reported,209799000.0,534182000.0,361514000.0,735074000.0,269630000.0,
Diluted Average Shares,562000000.0,578000000.0,589000000.0,593000000.0,596912000.0,
Basic Average Shares,432288000.0,425590000.0,445985000.0,446038000.0,451020000.0,
Diluted EPS,0.053381,0.411765,0.353141,0.917369,0.23,
Basic EPS,0.069398,0.559224,0.466383,1.219627,0.23,
Diluted NI Availto Com Stockholders,39873000.0,238349000.0,275263000.0,719386000.0,134910000.0,
Average Dilution Earnings,9697000.0,,67049000.0,175399000.0,32906000.0,
Net Income Common Stockholders,30176000.0,238349000.0,208214000.0,543987000.0,102004000.0,
Net Income,30176000.0,238349000.0,208214000.0,543987000.0,102004000.0,
Minority Interests,-60459000.0,-195084000.0,-126137000.0,-262371000.0,-92373000.0,
Net Income Including Noncontrolling Interests,90635000.0,433433000.0,334351000.0,806358000.0,194377000.0,
Net Income Continuous Operations,90635000.0,433433000.0,334351000.0,806358000.0,194377000.0,
Tax Provision,0.0,0.0,0.0,0.0,0.0,
Pretax Income,90635000.0,433433000.0,334351000.0,806358000.0,194377000.0,
Other Income Expense,-58823000.0,-46778000.0,29561000.0,120282000.0,-39621000.0,
Other Non Operating Income Expenses,-1543000.0,-3062000.0,-2189000.0,-1654000.0,6000000.0,
Earnings From Equity Interest,2693000.0,6443000.0,31650000.0,10407000.0,1703000.0,
Gain On Sale Of Security,-59973000.0,-50159000.0,100000.0,111529000.0,-47324000.0,
Net Non Operating Interest Income Expense,-60341000.0,-53971000.0,-56724000.0,-48998000.0,-35632000.0,
Interest Expense Non Operating,68668000.0,65261000.0,65761000.0,66506000.0,49013000.0,
Interest Income Non Operating,8327000.0,11290000.0,9037000.0,17508000.0,13381000.0,
Operating Income,209799000.0,534182000.0,361514000.0,735074000.0,269630000.0,
Operating Expense,368866000.0,34065000.0,232127000.0,-170384000.0,267637000.0,
Other Operating Expenses,-111403000.0,-127140000.0,164036000.0,-227604000.0,212429000.0,
Depreciation Amortization Depletion Income Statement,,,,,,0.0
Depreciation And Amortization In Income Statement,,,,,,0.0
Amortization,,,,,,0.0
Amortization Of Intangibles Income Statement,,,,,,0.0
Research And Development,300500000.0,50500000.0,500000.0,500000.0,500000.0,
Selling General And Administration,179769000.0,110705000.0,67591000.0,56720000.0,54708000.0,
General And Administrative Expense,179769000.0,110705000.0,67591000.0,56720000.0,54708000.0,
Other Gand A,179769000.0,110705000.0,67591000.0,56720000.0,54708000.0,
Total Revenue,578665000.0,568247000.0,593641000.0,564690000.0,537267000.0,
Operating Revenue,578665000.0,568247000.0,593641000.0,564690000.0,537267000.0,
