,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,957632.570658,-1084283.55,-216054.894,478394.681755,-1571759.852041
Tax Rate For Calcs,0.272261,0.21,0.393,0.297459,0.300054
Normalized EBITDA,16271841.0,16553078.0,11246768.0,14046049.0,12865366.0
Total Unusual Items,3517330.0,-5163255.0,-549758.0,1608269.0,-5238259.0
Total Unusual Items Excluding Goodwill,3517330.0,-5163255.0,-549758.0,1608269.0,-5238259.0
Net Income From Continuing Operation Net Minority Interest,5244091.0,185015.0,-346655.0,2795273.0,-2963059.0
Reconciled Depreciation,6713621.0,6430019.0,6384757.0,6372662.0,6342918.0
Reconciled Cost Of Revenue,15068000.0,14831000.0,13281000.0,54006286.0,13222000.0
EBITDA,19789171.0,11389823.0,10697010.0,15654318.0,7627107.0
EBIT,13075550.0,4959804.0,4312253.0,9281656.0,1284189.0
Net Interest Income,-5776861.0,-4960408.0,-5059398.0,-5222389.0,-5372285.0
Interest Expense,5776861.0,4960408.0,5059398.0,5222389.0,5372285.0
Normalized Income,2684393.570658,4263986.45,-12951.894,1665398.681755,703440.147959
Net Income From Continuing And Discontinued Operation,5244091.0,185015.0,-346655.0,2795273.0,-2963059.0
Total Expenses,32745717.0,30544996.0,29355194.0,70045992.0,28954262.0
Total Operating Income As Reported,9557957.0,10122026.0,4961533.0,8763877.0,6521936.0
Diluted Average Shares,66106474.0,65837273.0,64970693.0,65600530.0,64826026.0
Basic Average Shares,65240858.0,65186357.0,64970693.0,64834304.0,64826026.0
Diluted EPS,0.08,0.00281,-0.01,0.04,-0.05
Basic EPS,0.08,0.002838,-0.01,0.04,-0.05
Diluted NI Availto Com Stockholders,5244091.0,185015.0,-346655.0,2795273.0,-2963059.0
Net Income Common Stockholders,5244091.0,185015.0,-346655.0,2795273.0,-2963059.0
Net Income,5244091.0,185015.0,-346655.0,2795273.0,-2963059.0
Minority Interests,-67448.0,33026.0,106522.0,-56527.0,-101612.0
Net Income Including Noncontrolling Interests,5311539.0,151989.0,-453177.0,2851800.0,-2861447.0
Net Income Continuous Operations,5311539.0,151989.0,-453177.0,2851800.0,-2861447.0
Tax Provision,1987150.0,-152593.0,-293968.0,1207467.0,-1226649.0
Pretax Income,7298689.0,-604.0,-747145.0,4059267.0,-4088096.0
Other Income Expense,3517593.0,-5162222.0,-649280.0,517779.0,-5237747.0
Other Non Operating Income Expenses,263.0,1033.0,-99522.0,-1090490.0,512.0
Special Income Charges,405000.0,,,991000.0,-991000.0
Write Off,,,,,991000.0
Restructuring And Mergern Acquisition,-405000.0,,,,
Gain On Sale Of Security,3112330.0,-5163255.0,-549758.0,617269.0,-4247259.0
Net Non Operating Interest Income Expense,-5776861.0,-4960408.0,-5059398.0,-5222389.0,-5372285.0
Interest Expense Non Operating,5776861.0,4960408.0,5059398.0,5222389.0,5372285.0
Operating Income,9557999.0,10122397.0,4961649.0,-30900360.0,6521910.0
Operating Expense,17677717.0,15713996.0,16074194.0,16039706.0,15732262.0
Depreciation Amortization Depletion Income Statement,6713621.0,6430019.0,6384757.0,6372662.0,6342918.0
Depreciation And Amortization In Income Statement,6713621.0,6430019.0,6384757.0,6372662.0,6342918.0
Selling General And Administration,10964096.0,9283977.0,9689437.0,9667044.0,9389344.0
General And Administrative Expense,10964096.0,9283977.0,9689437.0,9667044.0,9389344.0
Other Gand A,10964096.0,9283977.0,9689437.0,9667044.0,9389344.0
Gross Profit,27235716.0,25836393.0,21035843.0,-14860654.0,22254172.0
Cost Of Revenue,15068000.0,14831000.0,13281000.0,54006286.0,13222000.0
Total Revenue,42303716.0,40667393.0,34316843.0,39145632.0,35476172.0
Operating Revenue,38857438.0,39288422.0,33630797.0,37505290.0,33143030.0
