,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,-30769.37355,0.0,-15750.0,0.0,-254913.211434,,
Tax Rate For Calcs,0.127146,0.152241,0.15,0.133288,0.165851,,
Normalized EBITDA,10570000.0,10512000.0,11670000.0,11566000.0,10650000.0,,
Total Unusual Items,-242000.0,0.0,-105000.0,0.0,-1537000.0,,
Total Unusual Items Excluding Goodwill,-242000.0,0.0,-105000.0,0.0,-1537000.0,,
Net Income From Continuing Operation Net Minority Interest,-1881000.0,-1910000.0,-1708000.0,-1268000.0,-3239000.0,,
Reconciled Depreciation,11378000.0,11387000.0,11482000.0,11306000.0,11201000.0,,
Reconciled Cost Of Revenue,15655000.0,15780000.0,15980000.0,14991000.0,15698000.0,,
EBITDA,10328000.0,10512000.0,11565000.0,11566000.0,9113000.0,,
EBIT,-1050000.0,-875000.0,83000.0,260000.0,-2088000.0,,
Net Interest Income,-1105000.0,-1378000.0,-1464000.0,-1718000.0,-1795000.0,,
Interest Expense,1105000.0,1378000.0,1445000.0,1723000.0,1795000.0,,
Interest Income,,,,5000.0,8000.0,,7000.0
Normalized Income,-1669769.37355,-1910000.0,-1618750.0,-1268000.0,-1956913.211434,,
Net Income From Continuing And Discontinued Operation,-1881000.0,-1910000.0,-1708000.0,-1268000.0,-3239000.0,,
Total Expenses,59921000.0,61025000.0,60727000.0,60791000.0,62827000.0,,
Diluted Average Shares,33419116.0,33402422.0,,33156525.0,33154121.0,33126673.0,
Basic Average Shares,33419116.0,33402422.0,,33156525.0,33154121.0,33126673.0,
Diluted EPS,-0.06,-0.06,,-0.04,-0.1,-0.07,
Basic EPS,-0.06,-0.06,,-0.04,-0.1,-0.07,
Diluted NI Availto Com Stockholders,-1881000.0,-1910000.0,-1708000.0,-1268000.0,-3239000.0,,
Net Income Common Stockholders,-1881000.0,-1910000.0,-1708000.0,-1268000.0,-3239000.0,,
Net Income,-1881000.0,-1910000.0,-1708000.0,-1268000.0,-3239000.0,,
Net Income Including Noncontrolling Interests,-1881000.0,-1910000.0,-1708000.0,-1268000.0,-3239000.0,,
Net Income Continuous Operations,-1881000.0,-1910000.0,-1708000.0,-1268000.0,-3239000.0,,
Tax Provision,-274000.0,-343000.0,346000.0,-195000.0,-644000.0,,
Pretax Income,-2155000.0,-2253000.0,-1362000.0,-1463000.0,-3883000.0,,
Other Income Expense,-242000.0,,-105000.0,,-1537000.0,-156000.0,-23547000.0
Other Non Operating Income Expenses,,,0.0,,,,-810000.0
Special Income Charges,-242000.0,0.0,-105000.0,0.0,-1537000.0,,
Restructuring And Mergern Acquisition,242000.0,0.0,105000.0,0.0,1537000.0,,
Gain On Sale Of Security,,,,,,-55000.0,-115000.0
Net Non Operating Interest Income Expense,-1105000.0,-1378000.0,-1464000.0,-1718000.0,-1795000.0,,
Interest Expense Non Operating,1105000.0,1378000.0,1445000.0,1723000.0,1795000.0,,
Interest Income Non Operating,,,,5000.0,8000.0,,7000.0
Operating Income,-808000.0,-875000.0,207000.0,255000.0,-551000.0,,
Operating Expense,41296000.0,42056000.0,41600000.0,42745000.0,44537000.0,,
Depreciation Amortization Depletion Income Statement,8408000.0,8198000.0,8335000.0,8251000.0,8609000.0,,
Depreciation And Amortization In Income Statement,8408000.0,8198000.0,8335000.0,8251000.0,8609000.0,,
Amortization,8199000.0,8198000.0,8335000.0,8251000.0,8362000.0,,
Amortization Of Intangibles Income Statement,8199000.0,8198000.0,8335000.0,8251000.0,8362000.0,,
Depreciation Income Statement,209000.0,,,,247000.0,,
Research And Development,10323000.0,11342000.0,10034000.0,10189000.0,10005000.0,,
Selling General And Administration,22565000.0,22516000.0,23231000.0,24305000.0,25923000.0,,
Selling And Marketing Expense,12599000.0,12556000.0,13018000.0,13653000.0,14652000.0,,
General And Administrative Expense,9966000.0,9960000.0,10213000.0,10652000.0,11271000.0,,
Other Gand A,9966000.0,9960000.0,10213000.0,10652000.0,11271000.0,,
Gross Profit,40488000.0,41181000.0,41807000.0,43000000.0,43986000.0,,
Cost Of Revenue,18625000.0,18969000.0,19127000.0,18046000.0,18290000.0,,
Total Revenue,59113000.0,60150000.0,60934000.0,61046000.0,62276000.0,,
Operating Revenue,59113000.0,60150000.0,60934000.0,61046000.0,62276000.0,,
