,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-507200.0,-211600.0,622250.0,1535000.0,1836000.0
Tax Rate For Calcs,0.4,0.4,0.25,0.25,0.25
Normalized EBITDA,10807000.0,15176000.0,24726000.0,26664000.0,27819000.0
Total Unusual Items,-1268000.0,-529000.0,2489000.0,6140000.0,7344000.0
Total Unusual Items Excluding Goodwill,-1268000.0,-529000.0,2489000.0,6140000.0,7344000.0
Net Income From Continuing Operation Net Minority Interest,1698000.0,7245000.0,19361000.0,25123000.0,27595000.0
Reconciled Cost Of Revenue,47557000.0,42775000.0,38624000.0,42209000.0,44105000.0
EBITDA,9539000.0,14647000.0,27215000.0,32804000.0,35163000.0
EBIT,9539000.0,14647000.0,27215000.0,32804000.0,35163000.0
Net Interest Income,-7526000.0,-7142000.0,-7768000.0,-7735000.0,-7600000.0
Interest Expense,7841000.0,7402000.0,7854000.0,7681000.0,7568000.0
Interest Income,1106000.0,1226000.0,1027000.0,725000.0,782000.0
Normalized Income,2458800.0,7562400.0,17494250.0,20518000.0,22087000.0
Net Income From Continuing And Discontinued Operation,1698000.0,7245000.0,19361000.0,25123000.0,27595000.0
Total Expenses,55253000.0,49432000.0,46852000.0,49205000.0,50697000.0
Total Operating Income As Reported,10492000.0,14916000.0,24640000.0,34392000.0,34466000.0
Diluted Average Shares,102483778.0,105058628.0,106352539.0,106774053.0,106768296.0
Basic Average Shares,102483778.0,105058628.0,106352539.0,106774053.0,106768296.0
Diluted EPS,0.0,0.05,0.16,0.22,0.24
Basic EPS,0.0,0.05,0.16,0.22,0.24
Diluted NI Availto Com Stockholders,-302000.0,5245000.0,17361000.0,23123000.0,25595000.0
Net Income Common Stockholders,-302000.0,5245000.0,17361000.0,23123000.0,25595000.0
Preferred Stock Dividends,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
Net Income,1698000.0,7245000.0,19361000.0,25123000.0,27595000.0
Net Income Including Noncontrolling Interests,1698000.0,7245000.0,19361000.0,25123000.0,27595000.0
Net Income Continuous Operations,1698000.0,7245000.0,19361000.0,25123000.0,27595000.0
Pretax Income,1698000.0,7245000.0,19361000.0,25123000.0,27595000.0
Other Income Expense,-1268000.0,-529000.0,2489000.0,6140000.0,7344000.0
Special Income Charges,0.0,0.0,0.0,7674000.0,6615000.0
Gain On Sale Of Ppe,0.0,0.0,0.0,7674000.0,6615000.0
Gain On Sale Of Security,-1268000.0,-529000.0,2489000.0,-1534000.0,729000.0
Net Non Operating Interest Income Expense,-7526000.0,-7142000.0,-7768000.0,-7735000.0,-7600000.0
Total Other Finance Cost,791000.0,966000.0,941000.0,779000.0,814000.0
Interest Expense Non Operating,7841000.0,7402000.0,7854000.0,7681000.0,7568000.0
Interest Income Non Operating,1106000.0,1226000.0,1027000.0,725000.0,782000.0
Operating Income,10492000.0,14916000.0,24640000.0,26718000.0,27851000.0
Operating Expense,7696000.0,6657000.0,8228000.0,6996000.0,6592000.0
Selling General And Administration,7696000.0,6657000.0,6966000.0,6996000.0,6592000.0
General And Administrative Expense,7696000.0,6657000.0,6966000.0,6996000.0,6592000.0
Other Gand A,7696000.0,6657000.0,6225000.0,6996000.0,6592000.0
Gross Profit,18188000.0,21573000.0,32868000.0,33714000.0,34443000.0
Cost Of Revenue,47557000.0,42775000.0,38624000.0,42209000.0,44105000.0
Total Revenue,65745000.0,64348000.0,71492000.0,75923000.0,78548000.0
Operating Revenue,68689000.0,67215000.0,70394000.0,79236000.0,81947000.0
