,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,1766126.505696,-857850.0,0.0,,
Tax Rate For Calcs,0.198026,0.232,0.236714,0.21,0.12,,
Normalized EBITDA,53946000.0,42119000.0,35006000.0,16258000.0,21419000.0,,
Total Unusual Items,,,7461000.0,-4085000.0,,,0.0
Total Unusual Items Excluding Goodwill,,,7461000.0,-4085000.0,,,0.0
Net Income From Continuing Operation Net Minority Interest,11955000.0,5320000.0,6251000.0,-968000.0,6208000.0,,
Reconciled Depreciation,18377000.0,20064000.0,16728000.0,10991000.0,9565000.0,,
Reconciled Cost Of Revenue,97626000.0,87774000.0,68708000.0,57914000.0,55696000.0,,
EBITDA,53946000.0,42119000.0,42467000.0,12173000.0,21419000.0,,
EBIT,35569000.0,22055000.0,25739000.0,1182000.0,11854000.0,,
Net Interest Income,-5482000.0,-5171000.0,-7392000.0,-2932000.0,-685000.0,,
Interest Expense,5482000.0,5171000.0,7392000.0,2932000.0,685000.0,,
Normalized Income,11955000.0,5320000.0,556126.505696,2259150.0,6208000.0,,
Net Income From Continuing And Discontinued Operation,11955000.0,5320000.0,6251000.0,-968000.0,6208000.0,,
Total Expenses,113759000.0,104277000.0,78019000.0,69751000.0,62032000.0,,
Rent Expense Supplemental,25226000.0,15551000.0,,,,0.0,
Total Operating Income As Reported,35569000.0,22055000.0,25739000.0,5267000.0,11854000.0,,
Diluted Average Shares,37818000.0,36176000.0,30447000.0,28377000.0,28335000.0,,
Basic Average Shares,37818000.0,36176000.0,29747000.0,28377000.0,28335000.0,,
Diluted EPS,0.3,0.14,0.19,-0.04,0.2,,
Basic EPS,0.3,0.14,0.2,-0.04,0.2,,
Diluted NI Availto Com Stockholders,11402000.0,5063000.0,5918000.0,-1196000.0,5808000.0,,
Net Income Common Stockholders,11402000.0,5063000.0,5918000.0,-1196000.0,5808000.0,,
Otherunder Preferred Stock Dividend,553000.0,257000.0,333000.0,228000.0,400000.0,,
Net Income,11955000.0,5320000.0,6251000.0,-968000.0,6208000.0,,
Minority Interests,-12174000.0,-7648000.0,-7753000.0,1242000.0,-3616000.0,,
Net Income Including Noncontrolling Interests,24129000.0,12968000.0,14004000.0,-2210000.0,9824000.0,,
Net Income Continuous Operations,24129000.0,12968000.0,14004000.0,-2210000.0,9824000.0,,
Tax Provision,5958000.0,3916000.0,4343000.0,460000.0,1345000.0,,
Pretax Income,30087000.0,16884000.0,18347000.0,-1750000.0,11169000.0,,
Other Income Expense,,,7461000.0,-4085000.0,,,0.0
Special Income Charges,,,7461000.0,-4085000.0,,,0.0
Other Special Charges,,,0.0,4085000.0,,,
Impairment Of Capital Assets,,,0.0,0.0,,,
Net Non Operating Interest Income Expense,-5482000.0,-5171000.0,-7392000.0,-2932000.0,-685000.0,,
Interest Expense Non Operating,5482000.0,5171000.0,7392000.0,2932000.0,685000.0,,
Operating Income,35569000.0,22055000.0,18278000.0,5267000.0,11854000.0,,
Operating Expense,16133000.0,16503000.0,9311000.0,11837000.0,6336000.0,,
Other Operating Expenses,1234000.0,1229000.0,-1258000.0,3038000.0,560000.0,,
Other Taxes,0.0,,0.0,0.0,-2483000.0,,0.0
Selling General And Administration,14899000.0,15274000.0,10569000.0,8799000.0,8259000.0,,
Gross Profit,51702000.0,38558000.0,27589000.0,17104000.0,18190000.0,,
Cost Of Revenue,97626000.0,87774000.0,68708000.0,57914000.0,55696000.0,,
Total Revenue,149328000.0,126332000.0,96297000.0,75018000.0,73886000.0,,
Operating Revenue,149328000.0,126332000.0,96297000.0,75018000.0,73886000.0,,
