GradeDate,Firm,ToGrade,FromGrade,Action
2024-08-02 10:40:55,Janney Montgomery Scott,Buy,,init
2024-06-27 10:55:29,JMP Securities,Market Outperform,Market Outperform,main
2024-04-30 18:31:04,JonesTrading,Buy,Buy,reit
2024-02-22 14:08:41,JonesTrading,Buy,Buy,reit
2024-02-21 17:01:47,JMP Securities,Market Outperform,Market Outperform,main
2023-09-06 14:27:23,JMP Securities,Market Outperform,Market Outperform,reit
2023-08-02 13:45:32,JMP Securities,Market Outperform,Market Outperform,reit
2023-08-02 08:20:37,JonesTrading,Buy,Buy,reit
2023-06-02 14:14:35,JMP Securities,Market Outperform,Market Outperform,reit
2023-05-01 08:30:24,JonesTrading,Buy,,reit
2023-04-26 11:52:12,JMP Securities,Market Outperform,,reit
2022-11-30 13:32:21,JonesTrading,Buy,,init
2022-06-29 10:08:05,JMP Securities,Market Outperform,Market Perform,up
