,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.274834,0.164,0.083381,0.268,0.271492
Net Income From Continuing Operation Net Minority Interest,155055000.0,52992000.0,244005000.0,158505000.0,165294000.0
Reconciled Depreciation,20813000.0,20405000.0,20769000.0,20987000.0,22703000.0
Net Interest Income,270256000.0,262075000.0,272471000.0,259631000.0,250823000.0
Interest Expense,206800000.0,213557000.0,228190000.0,251192000.0,247329000.0
Interest Income,477056000.0,475632000.0,500661000.0,510823000.0,498152000.0
Normalized Income,155055000.0,52992000.0,244005000.0,158505000.0,165294000.0
Net Income From Continuing And Discontinued Operation,155055000.0,52992000.0,244005000.0,158505000.0,165294000.0
Diluted Average Shares,108847000.0,110635000.0,112089000.0,110994000.0,110285000.0
Basic Average Shares,103349000.0,104764000.0,103856000.0,103966000.0,104150000.0
Diluted EPS,1.34,0.39,2.09,1.34,1.41
Basic EPS,1.41,0.42,2.26,1.43,1.5
Diluted NI Availto Com Stockholders,145734000.0,43672000.0,234685000.0,149185000.0,155973000.0
Net Income Common Stockholders,145734000.0,43672000.0,234685000.0,149185000.0,155973000.0
Preferred Stock Dividends,9321000.0,9320000.0,9320000.0,9320000.0,9321000.0
Net Income,155055000.0,52992000.0,244005000.0,158505000.0,165294000.0
Net Income Including Noncontrolling Interests,155055000.0,52992000.0,244005000.0,158505000.0,165294000.0
Net Income Continuous Operations,155055000.0,52992000.0,244005000.0,158505000.0,165294000.0
Tax Provision,58765000.0,10372000.0,22196000.0,58153000.0,61600000.0
Pretax Income,213820000.0,63364000.0,266201000.0,216658000.0,226894000.0
Gain On Sale Of Security,0.0,0.0,0.0,0.0,0.0
Selling General And Administration,774936000.0,732220000.0,795750000.0,718065000.0,722719000.0
General And Administrative Expense,774936000.0,732220000.0,795750000.0,718065000.0,722719000.0
Salaries And Wages,774936000.0,732220000.0,795750000.0,718065000.0,722719000.0
Total Revenue,1267140000.0,1238663000.0,1348248000.0,1208429000.0,1203549000.0
Operating Revenue,1267140000.0,1238663000.0,1348248000.0,1208429000.0,1203549000.0
Occupancy And Equipment,95678000.0,90766000.0,94213000.0,89625000.0,89852000.0
Other Non Interest Expense,174378000.0,340293000.0,180191000.0,178794000.0,161130000.0
