,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.21,0.057214,0.21
Normalized EBITDA,-3233000.0,-2403000.0,-2107000.0,-33861000.0,-14971000.0
Net Income From Continuing Operation Net Minority Interest,-7381000.0,-6623000.0,-6263000.0,-35741000.0,-22017000.0
Reconciled Depreciation,6475000.0,6622000.0,6859000.0,8027000.0,9869000.0
Reconciled Cost Of Revenue,181458000.0,173249000.0,174013000.0,177073000.0,175753000.0
EBITDA,-3233000.0,-2403000.0,-2107000.0,-33861000.0,-14971000.0
EBIT,-9708000.0,-9025000.0,-8966000.0,-41888000.0,-24840000.0
Net Interest Income,2627000.0,2663000.0,2932000.0,3327000.0,3002000.0
Interest Income,2627000.0,2663000.0,2932000.0,3327000.0,3002000.0
Normalized Income,-7381000.0,-6623000.0,-6263000.0,-35741000.0,-22017000.0
Net Income From Continuing And Discontinued Operation,-7378000.0,-6529000.0,-6256000.0,-36498000.0,-21328000.0
Total Expenses,334724000.0,321135000.0,327784000.0,361438000.0,347571000.0
Total Operating Income As Reported,-9708000.0,-9025000.0,-8966000.0,-41888000.0,-24840000.0
Diluted Average Shares,129792798.0,127984475.0,125972658.0,123635392.0,121268047.0
Basic Average Shares,129792798.0,127984475.0,125972658.0,123635392.0,121268047.0
Diluted EPS,-0.06,-0.05,-0.05,-0.3,-0.18
Basic EPS,-0.06,-0.05,-0.05,-0.3,-0.18
Diluted NI Availto Com Stockholders,-7378000.0,-6529000.0,-6256000.0,-36498000.0,-21328000.0
Net Income Common Stockholders,-7378000.0,-6529000.0,-6256000.0,-36498000.0,-21328000.0
Net Income,-7378000.0,-6529000.0,-6256000.0,-36498000.0,-21328000.0
Net Income Including Noncontrolling Interests,-7378000.0,-6529000.0,-6256000.0,-36498000.0,-21328000.0
Net Income Discontinuous Operations,3000.0,94000.0,7000.0,-757000.0,689000.0
Net Income Continuous Operations,-7381000.0,-6623000.0,-6263000.0,-35741000.0,-22017000.0
Tax Provision,241000.0,182000.0,157000.0,-2169000.0,170000.0
Pretax Income,-7140000.0,-6441000.0,-6106000.0,-37910000.0,-21847000.0
Other Income Expense,-59000.0,-79000.0,-72000.0,651000.0,-9000.0
Other Non Operating Income Expenses,-59000.0,-79000.0,-72000.0,651000.0,-9000.0
Net Non Operating Interest Income Expense,2627000.0,2663000.0,2932000.0,3327000.0,3002000.0
Interest Income Non Operating,2627000.0,2663000.0,2932000.0,3327000.0,3002000.0
Operating Income,-9708000.0,-9025000.0,-8966000.0,-41888000.0,-24840000.0
Operating Expense,153266000.0,147886000.0,153771000.0,184365000.0,171818000.0
Selling General And Administration,153266000.0,147886000.0,153771000.0,184365000.0,171818000.0
Gross Profit,143558000.0,138861000.0,144805000.0,142477000.0,146978000.0
Cost Of Revenue,181458000.0,173249000.0,174013000.0,177073000.0,175753000.0
Total Revenue,325016000.0,312110000.0,318818000.0,319550000.0,322731000.0
Operating Revenue,325016000.0,312110000.0,318818000.0,319550000.0,322731000.0
