,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.05,0.15,0.16,0.088026,0.11,
Normalized EBITDA,86060000.0,71637000.0,60438000.0,65603000.0,84561000.0,
Net Income From Continuing Operation Net Minority Interest,38652000.0,20696000.0,11699000.0,18949000.0,36222000.0,
Reconciled Depreciation,27964000.0,28923000.0,28924000.0,27594000.0,27034000.0,
Reconciled Cost Of Revenue,103677000.0,77794000.0,57927000.0,70971000.0,88520000.0,
EBITDA,86060000.0,71637000.0,60438000.0,65603000.0,84561000.0,
EBIT,58096000.0,42714000.0,31514000.0,38009000.0,57527000.0,
Net Interest Income,-17516000.0,-18294000.0,-17584000.0,-17231000.0,-16744000.0,
Interest Expense,17516000.0,18294000.0,17584000.0,17231000.0,16744000.0,
Normalized Income,38652000.0,20696000.0,11699000.0,18949000.0,36222000.0,
Net Income From Continuing And Discontinued Operation,38652000.0,20696000.0,11699000.0,18949000.0,36222000.0,
Total Expenses,166710000.0,134665000.0,121469000.0,134845000.0,148237000.0,
Total Operating Income As Reported,58353000.0,40570000.0,27913000.0,36493000.0,56606000.0,
Diluted Average Shares,32982580.0,32460894.0,32144579.0,32068000.0,31934636.0,
Basic Average Shares,32896967.0,32397501.0,32076720.0,31988000.0,31862518.0,
Diluted EPS,1.17,0.64,0.36,0.59,1.13,
Basic EPS,1.17,0.64,0.36,0.59,1.14,
Diluted NI Availto Com Stockholders,38652000.0,20696000.0,11699000.0,18949000.0,36222000.0,
Net Income Common Stockholders,38652000.0,20696000.0,11699000.0,18949000.0,36222000.0,
Net Income,38652000.0,20696000.0,11699000.0,18949000.0,36222000.0,
Minority Interests,,,,,,9000.0
Net Income Including Noncontrolling Interests,38652000.0,20696000.0,11699000.0,18949000.0,36222000.0,
Net Income Continuous Operations,38652000.0,20696000.0,11699000.0,18949000.0,36222000.0,
Tax Provision,1928000.0,3724000.0,2231000.0,1829000.0,4561000.0,
Pretax Income,40580000.0,24420000.0,13930000.0,20778000.0,40783000.0,
Other Income Expense,-257000.0,1205000.0,3601000.0,1516000.0,921000.0,
Other Non Operating Income Expenses,-257000.0,1205000.0,3601000.0,1516000.0,921000.0,
Net Non Operating Interest Income Expense,-17516000.0,-18294000.0,-17584000.0,-17231000.0,-16744000.0,
Interest Expense Non Operating,17516000.0,18294000.0,17584000.0,17231000.0,16744000.0,
Operating Income,58353000.0,41509000.0,27913000.0,36493000.0,56606000.0,
Operating Expense,62492000.0,56314000.0,62988000.0,63276000.0,59138000.0,
Other Taxes,9361000.0,8419000.0,8830000.0,9383000.0,8795000.0,
Depreciation Amortization Depletion Income Statement,27423000.0,28366000.0,28370000.0,26996000.0,26455000.0,
Depreciation And Amortization In Income Statement,27423000.0,28366000.0,28370000.0,26996000.0,26455000.0,
Selling General And Administration,25708000.0,19529000.0,25788000.0,26897000.0,23888000.0,
General And Administrative Expense,25708000.0,19529000.0,25788000.0,26897000.0,23888000.0,
Other Gand A,25708000.0,20468000.0,25788000.0,26897000.0,23888000.0,
Salaries And Wages,,-939000.0,,,,102000.0
Gross Profit,120845000.0,97823000.0,90901000.0,99769000.0,115744000.0,
Cost Of Revenue,104218000.0,78351000.0,58481000.0,71569000.0,89099000.0,
Total Revenue,225063000.0,176174000.0,149382000.0,171338000.0,204843000.0,
Operating Revenue,225063000.0,176174000.0,149382000.0,171338000.0,204843000.0,
