,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.240506,0.25,0.208738,0.221,0.248936
Normalized EBITDA,168300000.0,156200000.0,152400000.0,144800000.0,153800000.0
Net Income From Continuing Operation Net Minority Interest,36000000.0,26100000.0,32600000.0,30600000.0,35300000.0
Reconciled Depreciation,112300000.0,113600000.0,106500000.0,101900000.0,102500000.0
Reconciled Cost Of Revenue,1288200000.0,1285400000.0,1211100000.0,1204400000.0,1206000000.0
EBITDA,168300000.0,156200000.0,152400000.0,144800000.0,153800000.0
EBIT,56000000.0,42600000.0,45900000.0,42900000.0,51300000.0
Net Interest Income,-7100000.0,-6200000.0,-3100000.0,-2600000.0,-3400000.0
Interest Expense,8600000.0,7800000.0,4700000.0,3600000.0,4300000.0
Interest Income,1500000.0,1600000.0,1600000.0,1000000.0,900000.0
Normalized Income,36000000.0,26100000.0,32600000.0,30600000.0,35300000.0
Net Income From Continuing And Discontinued Operation,36000000.0,26100000.0,32600000.0,30600000.0,35300000.0
Total Expenses,1365500000.0,1359700000.0,1296700000.0,1272600000.0,1265700000.0
Total Operating Income As Reported,55000000.0,42100000.0,42400000.0,43100000.0,51000000.0
Diluted Average Shares,175700000.0,176000000.0,176200000.0,175900000.0,175800000.0
Basic Average Shares,175200000.0,175300000.0,175200000.0,175200000.0,175500000.0
Diluted EPS,0.2,0.15,0.18,0.17,0.2
Basic EPS,0.21,0.15,0.19,0.17,0.2
Diluted NI Availto Com Stockholders,36000000.0,26100000.0,32600000.0,30600000.0,35300000.0
Net Income Common Stockholders,36000000.0,26100000.0,32600000.0,30600000.0,35300000.0
Net Income,36000000.0,26100000.0,32600000.0,30600000.0,35300000.0
Net Income Including Noncontrolling Interests,36000000.0,26100000.0,32600000.0,30600000.0,35300000.0
Net Income Continuous Operations,36000000.0,26100000.0,32600000.0,30600000.0,35300000.0
Tax Provision,11400000.0,8700000.0,8600000.0,8700000.0,11700000.0
Pretax Income,47400000.0,34800000.0,41200000.0,39300000.0,47000000.0
Other Income Expense,-500000.0,-1100000.0,1900000.0,-1200000.0,-600000.0
Other Non Operating Income Expenses,-500000.0,-1100000.0,1900000.0,-1200000.0,-600000.0
Net Non Operating Interest Income Expense,-7100000.0,-6200000.0,-3100000.0,-2600000.0,-3400000.0
Interest Expense Non Operating,8600000.0,7800000.0,4700000.0,3600000.0,4300000.0
Interest Income Non Operating,1500000.0,1600000.0,1600000.0,1000000.0,900000.0
Operating Income,55000000.0,42100000.0,42400000.0,43100000.0,51000000.0
Operating Expense,77300000.0,74300000.0,85600000.0,68200000.0,59700000.0
Selling General And Administration,77300000.0,74300000.0,85600000.0,68200000.0,59700000.0
General And Administrative Expense,77300000.0,74300000.0,85600000.0,68200000.0,59700000.0
Other Gand A,34800000.0,33100000.0,34800000.0,31800000.0,26500000.0
Insurance And Claims,42500000.0,41200000.0,50800000.0,36400000.0,33200000.0
Gross Profit,132300000.0,116400000.0,128000000.0,111300000.0,110700000.0
Cost Of Revenue,1288200000.0,1285400000.0,1211100000.0,1204400000.0,1206000000.0
Total Revenue,1420500000.0,1401800000.0,1339100000.0,1315700000.0,1316700000.0
Operating Revenue,1420500000.0,1401800000.0,1124200000.0,1315700000.0,1316700000.0
