,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0
Normalized EBITDA,-1575000.0,-1621000.0,-1207000.0,-1465000.0,-1543000.0
Net Income From Continuing Operation Net Minority Interest,-1616000.0,-1665000.0,-1255000.0,-1513000.0,-1584000.0
Reconciled Depreciation,35000.0,39000.0,41000.0,42000.0,36000.0
Reconciled Cost Of Revenue,216000.0,172000.0,196000.0,167000.0,210000.0
EBITDA,-1575000.0,-1621000.0,-1207000.0,-1465000.0,-1543000.0
EBIT,-1610000.0,-1660000.0,-1248000.0,-1507000.0,-1579000.0
Net Interest Income,-2000.0,-2000.0,1000.0,5000.0,17000.0
Interest Expense,6000.0,5000.0,7000.0,6000.0,5000.0
Interest Income,4000.0,3000.0,8000.0,11000.0,22000.0
Normalized Income,-1616000.0,-1665000.0,-1255000.0,-1513000.0,-1584000.0
Net Income From Continuing And Discontinued Operation,-1616000.0,-1665000.0,-1255000.0,-1513000.0,-1584000.0
Total Expenses,2239000.0,2148000.0,1758000.0,2029000.0,2061000.0
Total Operating Income As Reported,-1614000.0,-1663000.0,-1257000.0,-1547000.0,-1602000.0
Diluted Average Shares,1854531.0,1299971.0,1029592.0,729400.0,514463.0
Basic Average Shares,1854531.0,1299971.0,1029592.0,729400.0,514463.0
Diluted EPS,-0.87,-1.28,-1.22,-2.07,-3.08
Basic EPS,-0.87,-1.28,-1.22,-2.07,-3.08
Diluted NI Availto Com Stockholders,-1616000.0,-1665000.0,-1255000.0,-1513000.0,-1584000.0
Net Income Common Stockholders,-1616000.0,-1665000.0,-1255000.0,-1513000.0,-1584000.0
Net Income,-1616000.0,-1665000.0,-1255000.0,-1513000.0,-1584000.0
Net Income Including Noncontrolling Interests,-1616000.0,-1665000.0,-1255000.0,-1513000.0,-1584000.0
Net Income Continuous Operations,-1616000.0,-1665000.0,-1255000.0,-1513000.0,-1584000.0
Pretax Income,-1616000.0,-1665000.0,-1255000.0,-1513000.0,-1584000.0
Other Income Expense,,,1000.0,29000.0,1000.0
Other Non Operating Income Expenses,,,1000.0,29000.0,1000.0
Net Non Operating Interest Income Expense,-2000.0,-2000.0,1000.0,5000.0,17000.0
Interest Expense Non Operating,6000.0,5000.0,7000.0,6000.0,5000.0
Interest Income Non Operating,4000.0,3000.0,8000.0,11000.0,22000.0
Operating Income,-1614000.0,-1663000.0,-1257000.0,-1547000.0,-1602000.0
Operating Expense,2023000.0,1976000.0,1562000.0,1862000.0,1851000.0
Research And Development,427000.0,418000.0,424000.0,451000.0,467000.0
Selling General And Administration,1596000.0,1558000.0,1138000.0,1411000.0,1384000.0
Selling And Marketing Expense,64000.0,64000.0,64000.0,80000.0,71000.0
General And Administrative Expense,1532000.0,1494000.0,1074000.0,1331000.0,1313000.0
Other Gand A,871000.0,732000.0,526000.0,624000.0,618000.0
Insurance And Claims,47000.0,50000.0,61000.0,59000.0,62000.0
Salaries And Wages,614000.0,712000.0,487000.0,648000.0,633000.0
Gross Profit,409000.0,313000.0,305000.0,315000.0,249000.0
Cost Of Revenue,216000.0,172000.0,196000.0,167000.0,210000.0
Total Revenue,625000.0,485000.0,501000.0,482000.0,459000.0
Operating Revenue,625000.0,485000.0,501000.0,482000.0,459000.0
