GradeDate,Firm,ToGrade,FromGrade,Action
2024-07-15 10:06:34,RBC Capital,Outperform,Sector Perform,up
2024-06-27 10:18:45,B of A Securities,Buy,Buy,main
2024-06-26 15:16:45,UBS,Buy,Buy,main
2024-06-26 14:52:45,RBC Capital,Sector Perform,Sector Perform,reit
2024-06-26 14:00:12,JP Morgan,Neutral,Neutral,main
2024-06-26 13:09:23,Barrington Research,Outperform,Outperform,main
2024-06-11 17:41:38,RBC Capital,Sector Perform,Sector Perform,main
2024-04-16 12:17:20,UBS,Buy,Neutral,up
2024-04-02 10:31:07,B of A Securities,Buy,Buy,main
2024-04-01 14:00:46,JP Morgan,Neutral,Neutral,main
2024-03-28 14:20:30,Barrington Research,Outperform,Outperform,main
2024-03-27 14:43:25,RBC Capital,Sector Perform,Sector Perform,reit
2024-03-27 12:12:27,Barclays,Equal-Weight,Equal-Weight,main
2024-03-26 18:21:48,CFRA,Hold,Hold,main
2024-01-10 15:06:24,RBC Capital,Sector Perform,Sector Perform,main
2024-01-08 15:55:41,JP Morgan,Neutral,Overweight,down
2023-11-22 11:16:25,UBS,Neutral,,init
2023-09-29 14:39:26,Barrington Research,Outperform,Outperform,main
2023-09-27 15:38:23,RBC Capital,Sector Perform,Sector Perform,reit
2023-09-27 12:22:47,JP Morgan,Overweight,Overweight,main
2023-09-27 12:15:59,Goldman Sachs,Buy,Buy,main
2023-09-27 11:24:09,Barclays,Equal-Weight,Equal-Weight,main
2023-09-19 11:05:14,Stifel,Buy,Buy,main
2023-07-19 09:58:54,CFRA,Hold,Hold,main
2023-07-10 12:33:42,RBC Capital,Sector Perform,Sector Perform,main
2023-07-05 14:38:15,Loop Capital,Buy,Buy,main
2023-06-28 15:41:34,Barrington Research,Outperform,Outperform,main
2023-06-28 13:26:14,RBC Capital,Sector Perform,Sector Perform,main
2023-06-28 12:44:13,Barclays,Equal-Weight,Equal-Weight,main
2023-06-28 12:09:22,Credit Suisse,Neutral,Neutral,main
2023-06-28 11:12:09,Raymond James,Strong Buy,Strong Buy,main
2023-06-09 08:13:01,Raymond James,Strong Buy,Strong Buy,main
2023-05-01 09:19:38,Goldman Sachs,Buy,,init
2023-04-03 13:07:40,Barrington Research,Outperform,,main
2023-03-29 12:14:12,JP Morgan,Overweight,,main
2023-03-29 11:18:09,Barclays,Equal-Weight,,main
2023-03-29 08:49:42,Raymond James,Strong Buy,,main
2023-03-28 15:04:04,CFRA,Hold,Buy,down
2023-03-27 13:10:39,Barrington Research,Outperform,,reit
2023-02-15 11:29:10,Barclays,Equal-Weight,,init
2023-01-11 19:12:52,Barrington Research,Outperform,,main
2023-01-11 13:25:53,JP Morgan,Overweight,,main
2023-01-11 12:26:30,Credit Suisse,Neutral,,main
2022-10-04 10:43:59,RBC Capital,Sector Perform,,init
2022-09-28 11:38:42,Raymond James,Strong Buy,,main
2022-09-28 11:24:35,Credit Suisse,Neutral,,main
2022-09-27 18:27:45,CFRA,Buy,,main
2022-09-14 11:21:22,Credit Suisse,Neutral,,main
2022-08-17 08:27:30,Credit Suisse,Neutral,,init
2022-07-14 09:07:25,JP Morgan,Overweight,,init
2022-07-01 13:48:24,Barrington Research,Outperform,,main
2022-06-29 17:31:07,Citigroup,Buy,,main
2022-04-14 10:32:30,Stifel,Buy,Hold,up
2022-03-25 12:04:24,Raymond James,Strong Buy,,main
2022-01-12 15:17:40,Citigroup,Buy,,main
2022-01-12 13:56:08,Cross Research,Buy,Hold,up
2022-01-12 09:54:38,Raymond James,Strong Buy,,main
2021-12-16 13:32:41,Northcoast Research,Buy,,init
2021-10-05 14:28:57,Loop Capital,Buy,,main
2021-09-29 08:38:46,Raymond James,Strong Buy,,main
2021-06-28 12:16:38,Barrington Research,Outperform,,main
