,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,
Normalized EBITDA,9735000.0,6256000.0,6856000.0,16860000.0,15219000.0,
Total Unusual Items,-46685000.0,-2229000.0,6871000.0,-17085000.0,-17435000.0,
Total Unusual Items Excluding Goodwill,-46685000.0,-2229000.0,6871000.0,-17085000.0,-17435000.0,
Net Income From Continuing Operation Net Minority Interest,-53525000.0,-8797000.0,-2453000.0,-30318000.0,-19109000.0,
Reconciled Depreciation,5233000.0,5228000.0,5234000.0,5141000.0,5555000.0,
Reconciled Cost Of Revenue,9657000.0,10139000.0,8868000.0,11556000.0,9810000.0,
EBITDA,-36950000.0,4027000.0,13727000.0,-225000.0,-2216000.0,
EBIT,-42183000.0,-1201000.0,8493000.0,-5366000.0,-7771000.0,
Net Interest Income,-5102000.0,-2334000.0,-5556000.0,-5433000.0,-2937000.0,
Interest Expense,11367000.0,7591000.0,10942000.0,24967000.0,11192000.0,
Interest Income,6265000.0,5257000.0,5386000.0,,8255000.0,3240000.0
Normalized Income,-6840000.0,-6568000.0,-9324000.0,-13233000.0,-1674000.0,
Net Income From Continuing And Discontinued Operation,-53529000.0,-8578000.0,-2454000.0,-30188000.0,-19313000.0,
Total Expenses,23178000.0,26840000.0,22337000.0,23585000.0,22201000.0,
Total Operating Income As Reported,-37159000.0,-3360000.0,-3597000.0,-8511000.0,-24517000.0,
Diluted Average Shares,18566015.0,19271954.0,19098246.0,,17351796.0,20200832.0
Basic Average Shares,18566015.0,19271954.0,19098246.0,,17351796.0,18611757.0
Diluted EPS,-2.88,-0.45,-0.13,,-1.11,0.15
Basic EPS,-2.88,-0.45,-0.13,,-1.11,0.16
Diluted NI Availto Com Stockholders,-53529000.0,-8578000.0,-2454000.0,-30188000.0,-19313000.0,
Net Income Common Stockholders,-53529000.0,-8578000.0,-2454000.0,-30188000.0,-19313000.0,
Net Income,-53529000.0,-8578000.0,-2454000.0,-30188000.0,-19313000.0,
Minority Interests,25000.0,-5000.0,-4000.0,15000.0,-146000.0,
Net Income Including Noncontrolling Interests,-53554000.0,-8573000.0,-2450000.0,-30203000.0,-19167000.0,
Net Income Discontinuous Operations,-4000.0,219000.0,-1000.0,130000.0,-204000.0,
Net Income Continuous Operations,-53550000.0,-8792000.0,-2449000.0,-30333000.0,-18963000.0,
Pretax Income,-53550000.0,-8792000.0,-2449000.0,-30333000.0,-18963000.0,
Other Income Expense,-46648000.0,-2099000.0,7157000.0,-17016000.0,-17075000.0,
Other Non Operating Income Expenses,37000.0,130000.0,286000.0,69000.0,360000.0,
Special Income Charges,-35359000.0,999000.0,453000.0,-627000.0,-25566000.0,
Gain On Sale Of Ppe,603000.0,999000.0,453000.0,499000.0,773000.0,
Other Special Charges,7205000.0,,,1126000.0,26339000.0,
Impairment Of Capital Assets,28757000.0,,,,0.0,
Gain On Sale Of Security,-11326000.0,-3228000.0,6418000.0,-16458000.0,8131000.0,
Net Non Operating Interest Income Expense,-5102000.0,-2334000.0,-5556000.0,-5433000.0,-2937000.0,
Interest Expense Non Operating,11367000.0,7591000.0,10942000.0,24967000.0,11192000.0,
Interest Income Non Operating,6265000.0,5257000.0,5386000.0,,8255000.0,3240000.0
Operating Income,-1800000.0,-4359000.0,-4050000.0,-7884000.0,1049000.0,
Operating Expense,13521000.0,16701000.0,13469000.0,12029000.0,12391000.0,
Selling General And Administration,13521000.0,16701000.0,13469000.0,12029000.0,12391000.0,
Gross Profit,11721000.0,12342000.0,9419000.0,4145000.0,13440000.0,
Cost Of Revenue,9657000.0,10139000.0,8868000.0,11556000.0,9810000.0,
Total Revenue,21378000.0,22481000.0,18287000.0,15701000.0,23250000.0,
Operating Revenue,21378000.0,22481000.0,18287000.0,15701000.0,23250000.0,
