,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,12392.166584,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.002479,0.0,0.21,0.21,
Normalized EBITDA,-197000.0,-2982000.0,-9658000.0,-14129000.0,-11626000.0,
Total Unusual Items,80000.0,4999000.0,-21559000.0,,0.0,0.0
Total Unusual Items Excluding Goodwill,80000.0,4999000.0,-21559000.0,,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,-117000.0,2012000.0,-31564000.0,-14534000.0,-12078000.0,
Reconciled Depreciation,0.0,0.0,347000.0,403000.0,449000.0,
EBITDA,-117000.0,2017000.0,-31217000.0,-14129000.0,-11626000.0,
EBIT,-117000.0,2017000.0,-31564000.0,-14532000.0,-12075000.0,
Net Interest Income,254000.0,394000.0,553000.0,675000.0,549000.0,
Interest Expense,0.0,0.0,0.0,0.0,0.0,
Interest Income,254000.0,394000.0,553000.0,675000.0,549000.0,
Normalized Income,-197000.0,-2974607.833416,-10005000.0,-14534000.0,-12078000.0,
Net Income From Continuing And Discontinued Operation,-117000.0,2012000.0,-31564000.0,-14534000.0,-12078000.0,
Total Expenses,452000.0,3376000.0,10564000.0,13410000.0,13016000.0,
Total Operating Income As Reported,-748000.0,419000.0,-38845000.0,-10641000.0,-12623000.0,
Diluted Average Shares,12223922.0,12399068.0,12131461.0,,4699847.0,4681287.0
Basic Average Shares,12223922.0,12203956.0,12131461.0,,4699847.0,4681287.0
Diluted EPS,-0.01,0.16,-2.6,,-2.57,-3.21
Basic EPS,-0.01,0.16,-2.6,,-2.57,-3.21
Diluted NI Availto Com Stockholders,-117000.0,2012000.0,-31564000.0,-14534000.0,-12078000.0,
Net Income Common Stockholders,-117000.0,2012000.0,-31564000.0,-14534000.0,-12078000.0,
Net Income,-117000.0,2012000.0,-31564000.0,-14534000.0,-12078000.0,
Net Income Including Noncontrolling Interests,-117000.0,2012000.0,-31564000.0,-14534000.0,-12078000.0,
Net Income Continuous Operations,-117000.0,2012000.0,-31564000.0,-14534000.0,-12078000.0,
Tax Provision,0.0,5000.0,,2000.0,3000.0,9000.0
Pretax Income,-117000.0,2017000.0,-31564000.0,-14532000.0,-12075000.0,
Other Income Expense,81000.0,4999000.0,-21561000.0,-4566000.0,-1000.0,
Other Non Operating Income Expenses,1000.0,,-2000.0,-508000.0,-1000.0,-2000.0
Special Income Charges,-296000.0,3795000.0,-28289000.0,,0.0,0.0
Restructuring And Mergern Acquisition,296000.0,-3795000.0,28289000.0,,0.0,0.0
Gain On Sale Of Security,376000.0,1204000.0,6730000.0,,,
Net Non Operating Interest Income Expense,254000.0,394000.0,553000.0,675000.0,549000.0,
Interest Expense Non Operating,0.0,0.0,0.0,0.0,0.0,
Interest Income Non Operating,254000.0,394000.0,553000.0,675000.0,549000.0,
Operating Income,-452000.0,-3376000.0,-10556000.0,-10641000.0,-12623000.0,
Operating Expense,452000.0,3376000.0,10564000.0,13410000.0,13016000.0,
Research And Development,-713000.0,2197000.0,7680000.0,10140000.0,9616000.0,
Selling General And Administration,1165000.0,1179000.0,2884000.0,3270000.0,3400000.0,
General And Administrative Expense,1165000.0,1179000.0,2884000.0,3270000.0,3400000.0,
Other Gand A,1165000.0,1179000.0,2884000.0,3270000.0,3400000.0,
Total Revenue,0.0,0.0,8000.0,2769000.0,393000.0,
Operating Revenue,0.0,0.0,8000.0,2769000.0,393000.0,
