,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-7145669.291339,-5040000.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.129921,0.144,0.21,0.2,0.173,,
Normalized EBITDA,1519000000.0,1179000000.0,1822000000.0,1353000000.0,1309000000.0,,
Total Unusual Items,-55000000.0,-35000000.0,,,,-3000000.0,-6000000.0
Total Unusual Items Excluding Goodwill,-55000000.0,-35000000.0,,,,-3000000.0,-6000000.0
Net Income From Continuing Operation Net Minority Interest,884000000.0,654000000.0,546000000.0,834000000.0,825000000.0,,
Reconciled Depreciation,296000000.0,272000000.0,264000000.0,268000000.0,258000000.0,,
Reconciled Cost Of Revenue,2072000000.0,2017000000.0,2154000000.0,1868000000.0,1903000000.0,,
EBITDA,1464000000.0,1144000000.0,1822000000.0,1353000000.0,1309000000.0,,
EBIT,1168000000.0,872000000.0,1558000000.0,1085000000.0,1051000000.0,,
Normalized Income,931854330.708661,683960000.0,546000000.0,834000000.0,825000000.0,,
Net Income From Continuing And Discontinued Operation,884000000.0,654000000.0,546000000.0,834000000.0,825000000.0,,
Total Expenses,4854000000.0,4994000000.0,4878000000.0,4409000000.0,4371000000.0,,
Total Operating Income As Reported,1113000000.0,837000000.0,581000000.0,1085000000.0,1051000000.0,,
Diluted Average Shares,386400000.0,386400000.0,386100000.0,385600000.0,385400000.0,,
Basic Average Shares,382200000.0,381700000.0,381300000.0,381100000.0,381000000.0,,
Diluted EPS,2.29,1.69,1.41,2.16,2.14,,
Basic EPS,2.32,1.71,1.43,2.18,2.17,,
Diluted NI Availto Com Stockholders,884000000.0,654000000.0,546000000.0,834000000.0,825000000.0,,
Net Income Common Stockholders,884000000.0,654000000.0,546000000.0,834000000.0,825000000.0,,
Net Income,884000000.0,654000000.0,546000000.0,834000000.0,825000000.0,,
Net Income Including Noncontrolling Interests,884000000.0,654000000.0,546000000.0,834000000.0,825000000.0,,
Net Income Continuous Operations,884000000.0,654000000.0,546000000.0,834000000.0,825000000.0,,
Tax Provision,132000000.0,110000000.0,-18000000.0,209000000.0,173000000.0,,
Pretax Income,1016000000.0,764000000.0,528000000.0,1043000000.0,998000000.0,,
Other Income Expense,-152000000.0,-108000000.0,-1030000000.0,-42000000.0,-53000000.0,,
Other Non Operating Income Expenses,-97000000.0,-73000000.0,-53000000.0,-42000000.0,-53000000.0,,
Special Income Charges,-55000000.0,-35000000.0,,,,-3000000.0,-6000000.0
Other Special Charges,,,,,,,6000000.0
Impairment Of Capital Assets,55000000.0,35000000.0,,,,3000000.0,
Operating Income,1168000000.0,872000000.0,1558000000.0,1085000000.0,1051000000.0,,
Operating Expense,2673000000.0,2872000000.0,2616000000.0,2432000000.0,2365000000.0,,
Depreciation Amortization Depletion Income Statement,187000000.0,167000000.0,156000000.0,159000000.0,155000000.0,,
Depreciation And Amortization In Income Statement,187000000.0,167000000.0,156000000.0,159000000.0,155000000.0,,
Amortization,187000000.0,167000000.0,156000000.0,159000000.0,155000000.0,,
Amortization Of Intangibles Income Statement,187000000.0,167000000.0,156000000.0,159000000.0,155000000.0,,
Research And Development,407000000.0,405000000.0,358000000.0,377000000.0,363000000.0,,
Selling General And Administration,2079000000.0,2300000000.0,2102000000.0,1896000000.0,1847000000.0,,
Gross Profit,3841000000.0,3744000000.0,4174000000.0,3517000000.0,3416000000.0,,
Cost Of Revenue,2181000000.0,2122000000.0,2262000000.0,1977000000.0,2006000000.0,,
Total Revenue,6022000000.0,5866000000.0,6436000000.0,5494000000.0,5422000000.0,,
Operating Revenue,6022000000.0,5866000000.0,6436000000.0,5494000000.0,5422000000.0,,
